dataset,cell_type,iGSEA_sel,L2S2_sel,both_sel,iGSEA_only_sel,L2S2_only_sel,iGSEA_only_ids,iGSEA_scored,L2S2_scored,iGSEA_only_scored
HL_cdHD_E_CTRL,ast,5,2,1,4,1,"DB00740,DB00908,DB02709,DB12116",12,3,10
HL_cdHD_E_CTRL,d1msn,5,1,0,5,1,"DB00313,DB00734,DB00908,DB02709,DB06819",12,2,12
HL_cdHD_E_CTRL,d2msn,5,3,1,4,2,"DB00734,DB00908,DB02709,DB06819",12,3,11
HL_cdHD_E_CTRL,endothelia,2,0,0,2,0,"DB02709,DB12116",12,1,11
HL_cdHD_E_CTRL,ependymal,6,2,2,4,0,"DB00915,DB02709,DB06819,DB12116",11,4,8
HL_cdHD_E_CTRL,hybridMSN,4,2,1,3,1,"DB00734,DB02709,DB06819",12,2,11
HL_cdHD_E_CTRL,interneuronCALB2,1,0,0,1,0,DB02709,12,1,12
HL_cdHD_E_CTRL,interneuronOPN3,0,0,0,0,0,,12,3,10
HL_cdHD_E_CTRL,microglia,5,3,2,3,1,"DB02709,DB06819,DB12116",11,4,8
HL_cdHD_E_CTRL,oligo,6,2,2,4,0,"DB02709,DB06819,DB12116,DB13978",12,3,9
HL_cdHD_E_CTRL,opc,2,1,1,1,0,DB06819,12,5,9
HL_puHD_E_CTRL,ast,7,4,3,4,1,"DB02709,DB06819,DB12116,DB13978",11,0,11
HL_puHD_E_CTRL,d1msn,6,2,2,4,0,"DB00908,DB02709,DB06819,DB12116",11,0,11
HL_puHD_E_CTRL,d2msn,6,1,1,5,0,"DB00734,DB00908,DB02709,DB06819,DB12116",11,2,9
HL_puHD_E_CTRL,endothelia,4,2,1,3,1,"DB02709,DB06819,DB12116",12,0,12
HL_puHD_E_CTRL,fibroblast,0,0,0,0,0,,12,5,8
HL_puHD_E_CTRL,hybridMSN,7,2,1,6,1,"DB00734,DB00908,DB02709,DB06819,DB12116,DB13978",11,0,11
HL_puHD_E_CTRL,interneuronCALB2,2,0,0,2,0,"DB02709,DB12116",12,3,10
HL_puHD_E_CTRL,interneuronOPN3,7,2,1,6,1,"DB00734,DB00908,DB02709,DB06819,DB12116,DB13978",12,2,11
HL_puHD_E_CTRL,interneuronSLC5A7,4,3,2,2,1,"DB02709,DB06819",12,0,12
HL_puHD_E_CTRL,interneuronSST,2,3,2,0,1,,12,0,12
HL_puHD_E_CTRL,microglia,5,3,2,3,1,"DB02709,DB06819,DB12116",11,0,11
HL_puHD_E_CTRL,oligo,5,2,2,3,0,"DB00908,DB02709,DB06819",12,0,12
HL_puHD_E_CTRL,opc,5,3,2,3,1,"DB00908,DB02709,DB06819",12,0,12
HL_puHD_E_CTRL,pericyte,1,1,1,0,0,,12,0,12
HL_puHD_E_CTRL,tcell,1,0,0,1,0,DB00313,12,0,12
RL_cdHDJ_E_CTRL,d2msn,4,0,0,4,0,"DB00313,DB00734,DB00915,DB02709",12,1,12
RL_cdHDJ_E_CTRL,hybridMSN,4,1,1,3,0,"DB00313,DB02709,DB06819",12,3,10
RL_cdHDJ_E_CTRL,interneuronCALB2,0,0,0,0,0,,12,1,11
RL_cdHDJ_E_CTRL,interneuronOPN3,3,0,0,3,0,"DB00734,DB00908,DB06819",12,1,12
RL_cdHD_E_CTRL,ast,7,2,1,6,1,"DB00313,DB00740,DB00908,DB02709,DB06819,DB12116",12,2,11
RL_cdHD_E_CTRL,d1msn,4,0,0,4,0,"DB00734,DB00908,DB02709,DB06819",12,0,12
RL_cdHD_E_CTRL,d2msn,5,1,1,4,0,"DB00908,DB00915,DB02709,DB06819",12,2,11
RL_cdHD_E_CTRL,endothelia,2,0,0,2,0,"DB02709,DB06819",12,2,10
RL_cdHD_E_CTRL,ependymal,3,2,2,1,0,DB02709,12,3,9
RL_cdHD_E_CTRL,hybridMSN,3,2,1,2,1,"DB00313,DB02709",12,3,11
RL_cdHD_E_CTRL,interneuronCALB2,2,1,1,1,0,DB02709,12,1,11
RL_cdHD_E_CTRL,interneuronOPN3,3,1,0,3,1,"DB00313,DB02709,DB06819",12,1,12
RL_cdHD_E_CTRL,microglia,3,1,1,2,0,"DB02709,DB12116",12,5,9
RL_cdHD_E_CTRL,oligo,3,0,0,3,0,"DB00313,DB02709,DB12116",12,2,10
RL_cdHD_E_CTRL,opc,3,3,2,1,1,DB06819,12,6,9
