dataset,cell_type,tool,list_len,sel_TP,top20_TP,cond_top20,top50_TP,cond_top50,mean_rank_pctile_selTP
HL_cdHD_E_CTRL,ast,iGSEA,167,5,0,0.0,0,0.0,0.5005988023952096
HL_cdHD_E_CTRL,ast,L2S2,50,2,1,0.5,2,1.0,0.37
HL_cdHD_E_CTRL,ast,L2S2_dir,7,0,0,,0,,
HL_cdHD_E_CTRL,d1msn,iGSEA,260,5,0,0.0,1,0.2,0.5807692307692308
HL_cdHD_E_CTRL,d1msn,L2S2,82,1,0,0.0,0,0.0,0.6463414634146342
HL_cdHD_E_CTRL,d1msn,L2S2_dir,2,0,0,,0,,
HL_cdHD_E_CTRL,d2msn,iGSEA,304,5,0,0.0,0,0.0,0.6375
HL_cdHD_E_CTRL,d2msn,L2S2,82,3,0,0.0,0,0.0,0.8617886178861789
HL_cdHD_E_CTRL,d2msn,L2S2_dir,1,0,0,,0,,
HL_cdHD_E_CTRL,endothelia,iGSEA,29,2,2,1.0,2,1.0,0.39655172413793105
HL_cdHD_E_CTRL,endothelia,L2S2,11,0,0,,0,,
HL_cdHD_E_CTRL,ependymal,iGSEA,228,6,0,0.0,0,0.0,0.6257309941520467
HL_cdHD_E_CTRL,ependymal,L2S2,37,2,2,1.0,2,1.0,0.1891891891891892
HL_cdHD_E_CTRL,ependymal,L2S2_dir,1,0,0,,0,,
HL_cdHD_E_CTRL,hybridMSN,iGSEA,185,4,0,0.0,1,0.25,0.5310810810810811
HL_cdHD_E_CTRL,hybridMSN,L2S2,50,2,0,0.0,2,1.0,0.79
HL_cdHD_E_CTRL,hybridMSN,L2S2_dir,2,0,0,,0,,
HL_cdHD_E_CTRL,interneuronCALB2,iGSEA,44,1,1,1.0,1,1.0,0.38636363636363635
HL_cdHD_E_CTRL,interneuronCALB2,L2S2,12,0,0,,0,,
HL_cdHD_E_CTRL,interneuronOPN3,iGSEA,30,0,0,,0,,
HL_cdHD_E_CTRL,interneuronOPN3,L2S2,22,0,0,,0,,
HL_cdHD_E_CTRL,microglia,iGSEA,355,5,0,0.0,0,0.0,0.6045070422535211
HL_cdHD_E_CTRL,microglia,L2S2,57,3,3,1.0,3,1.0,0.1929824561403509
HL_cdHD_E_CTRL,oligo,iGSEA,231,6,1,0.16666666666666666,2,0.3333333333333333,0.5577200577200577
HL_cdHD_E_CTRL,oligo,L2S2,44,2,2,1.0,2,1.0,0.17045454545454544
HL_cdHD_E_CTRL,oligo,L2S2_dir,2,0,0,,0,,
HL_cdHD_E_CTRL,opc,iGSEA,188,2,0,0.0,1,0.5,0.42287234042553196
HL_cdHD_E_CTRL,opc,L2S2,38,1,1,1.0,1,1.0,0.02631578947368421
HL_cdHD_E_CTRL,opc,L2S2_dir,6,0,0,,0,,
HL_puHD_E_CTRL,ast,iGSEA,356,7,1,0.14285714285714285,1,0.14285714285714285,0.5345104333868378
HL_puHD_E_CTRL,ast,L2S2,65,4,2,0.5,4,1.0,0.28846153846153844
HL_puHD_E_CTRL,d1msn,iGSEA,372,6,0,0.0,0,0.0,0.6406810035842293
HL_puHD_E_CTRL,d1msn,L2S2,86,2,1,0.5,1,0.5,0.4941860465116279
HL_puHD_E_CTRL,d2msn,iGSEA,372,6,0,0.0,0,0.0,0.6684587813620072
HL_puHD_E_CTRL,d2msn,L2S2,85,1,1,1.0,1,1.0,0.11764705882352941
HL_puHD_E_CTRL,endothelia,iGSEA,235,4,0,0.0,1,0.25,0.648936170212766
HL_puHD_E_CTRL,endothelia,L2S2,45,2,1,0.5,2,1.0,0.5888888888888889
HL_puHD_E_CTRL,endothelia,L2S2_dir,2,0,0,,0,,
