GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0051491	positive regulation of filopodium assembly	11	0.010978043912175649	7.7978181567898694	5.2678715244085113e-08	5.787954113091025e-05	4.237474920626662	0.0006366749524400127	RIPOR2, RHOQ, NLGN1, PIK3R1, NRP1, TENM1, PALM, DPYSL3, ZMYND8, TENM2, GPM6A
GO:0050804	modulation of chemical synaptic transmission	25	0.0249500998003992	4.318883241919522	4.623686552850632e-10	1.1176375135550549e-06	5.951699029534771	5.5881875677752745e-06	NLGN1, RTN4, SLC7A11, PPP3CA, PRKN, PTN, NLGN4X, NRG3, ADCY8, BTBD9, PAFAH1B1, DLGAP1, BAIAP3, PTPRD, TNR, ABR, FYN, STAT3, PXK, TUBB2B, GRIK4, GRM3, AKAP12, CACNA1A, BAIAP2
GO:0001764	neuron migration	24	0.023952095808383235	3.737797133006714	2.0977387078042245e-08	2.535327002252186e-05	4.595966018139381	0.00025353270022521857	PRKG1, AUTS2, CEP85L, CHL1, NRP1, DAB1, GPM6A, FAT3, NRP2, RAPGEF2, SDCCAG8, PAFAH1B1, PAX6, SEMA3A, HSP90AA1, ASTN2, ADGRL3, FYN, MAP1B, FGFR1, LARGE1, TUBB2B, DNER, SH3RF1
GO:0007411	axon guidance	34	0.033932135728542916	3.6404586660013307	5.30571851448674e-11	2.1374971322028914e-07	6.670094459275483	6.412491396608673e-07	BMP7, OPHN1, KIAA1755, CHL1, NRP1, EPHA6, NRP2, RPS6KA5, PTK2, ENAH, CDH4, LGI1, PAX6, ECE1, SOS1, CNTN1, SEMA3A, SLIT1, BOC, KALRN, ETV1, TNR, KLF7, EFNA5, ABLIM1, EPHA5, FYN, UNC5C, TGFB2, DSCAML1, FLRT2, SEMA3D, PALLD, NFASC
GO:0030036	actin cytoskeleton organization	39	0.038922155688622756	3.397277478940424	1.8606289748392642e-11	1.1243780894953674e-07	6.949087625981683	2.2487561789907348e-07	OPHN1, AUTS2, SSH2, BCL6, EHBP1, TJP1, ARHGAP26, KANK1, GSN, TESK2, EZR, DNAJB6, FMNL2, PAFAH1B1, ARHGEF10, ARHGEF10L, SPIRE1, MRTFA, DAAM2, FER, TLN2, ANTXR1, SPECC1L, SPTBN1, MRAS, DAAM1, STARD13, ELMO1, RHOQ, MICAL3, SIPA1L1, SPTAN1, FGD4, DLC1, PALLD, FMN2, FGD6, DIAPH3, MKLN1
GO:0098609	cell-cell adhesion	33	0.03293413173652695	3.015156353958749	1.4479647999300379e-08	1.9444558413282708e-05	4.711201915249987	0.00017500102571954437	BMP7, PLPP3, CTNNA2, SRPX2, IGSF11, BCL2, ITGA6, TJP1, TENM2, ITGB8, JAM2, CDH4, LPP, LIMS1, CD47, LRRC7, CNTN1, TLN2, CDH20, CTNNA3, ITGB5, BOC, CNN3, EGFR, STXBP6, ADGRL3, CDH23, CD44, TMEM47, CTNND2, PLEKHA7, NFASC, BAIAP2
GO:0007399	nervous system development	86	0.08582834331337326	2.7624656936127745	7.767968289645257e-18	9.388366474865257e-14	13.027409966058391	9.388366474865257e-14	SMARCA2, LSAMP, NLGN1, C3orf70, TCF12, NRP1, DAB1, CNTNAP3B, NRP2, INTU, DPF3, LAMA1, BMPR1A, PRKD1, SEMA3A, TTLL7, SLIT1, PTPRD, BOC, ZEB2, CABLES1, CRIM1, SEMA3D, GPM6B, SLC1A2, MBD5, NR2F1, DYRK1A, NAV2, GPM6A, SRGAP1, PAFAH1B1, ARID1A, RBFOX1, TNR, EFNA5, FGF14, EPHA5, CAMK1D, DOCK7, RGS9, TOX, APBA2, CAMK2G, OPHN1, ZHX2, TMEM14B, FBXL17, CHL1, TCF4, ERBB4, FOS, NAV3, PTN, VPS13B, NRBP2, KALRN, MEF2A, STAT3, NAIP, DNER, BRINP1, ARID1B, DIP2B, RTN4, ZMYND8, DPYSL2, MAGI2, LYPD6, ZEB1, NRG3, RAPGEF2, KIF2A, LGI1, PAX6, ZSWIM6, DPYSL3, DSCAML1, MAP1B, ZIC1, FN1, TUBB2B, CCDC88A, TENM1, DCLK1, RXRA
GO:0035556	intracellular signal transduction	56	0.05588822355289421	2.3736938494145727	2.438713340804951e-09	4.210612776709806e-06	5.3756546960460545	2.9474289436968637e-05	RPS6KA2, STK32A, DGKB, DCLK2, SIK3, MAP4K4, ASB3, WNK2, RPS6KA5, CNKSR2, JAK1, NRG3, SIK2, RAPGEF2, ADCY8, CAB39L, PRKD1, NRBP2, PRKCE, MARK3, FER, HSPB1, KALRN, PLCL1, GPRC5B, SRPK2, PLCE1, ABR, PLCB4, ERBIN, RGS7, PLCG2, MAP4K3, PRKAG2, FYN, AKT3, PRKCA, RGS9, PHLPP1, ADCY2, RGS6, GNA13, ACOT11, ARHGEF4, DLC1, PLCB1, SGK1, TGFBR3, FMN2, ADRA1A, DAPK1, DCLK1, PLCH1, MAP4K5, GAB1, PLCD3
GO:0007155	cell adhesion	70	0.06986027944111776	2.245010758514173	2.5419710390155346e-10	7.680565494385438e-07	6.114606803139075	3.072226197754175e-06	RIPOR2, IGFBP7, LSAMP, ARHGAP5, PLPP3, CTNNA2, NTM, NLGN1, SRPX2, EDIL3, CHL1, IGSF11, ITGA6, PCDH7, NCAN, S100B, PARD3, CNTNAP3B, DST, FAT3, NRP2, ADAM23, PARD3B, ITGB8, NLGN4X, CDH4, LAMA1, LPP, CADM2, CD47, SDK1, NCAM2, PRKCE, TENM3, CNTN1, FER, PTPRK, CDH20, CTNNA3, TLN2, ITGB5, BOC, TNC, NCAM1, FAT1, MFGE8, TNR, CASK, SPECC1L, MEGF10, DDR2, ERBIN, ADGRL3, CDH23, PCDH9, CD44, DSCAML1, FLRT2, PRKCA, COL16A1, FN1, NLGN4Y, SPON1, VCAN, CD99, APP, CTNND2, FAP, NFASC, TENM2
GO:0045944	positive regulation of transcription by RNA polymerase II	107	0.10678642714570859	1.8239582195476378	1.2479655312532526e-09	2.5138185684544687e-06	5.599666070151434	1.508291141072681e-05	SMARCA2, BMP7, FOXO1, TFDP2, TCF12, HNRNPU, CSRNP3, PRKN, TBL1XR1, PPARGC1A, SMAD9, BMPR1A, PRKD1, CAMTA1, SMYD3, MED12L, ZEB2, EGFR, RHOQ, HMGB1, LMO3, PIK3R1, TLR4, MED13L, SSBP3, TBL1X, NR2F1, ST18, MED13, NFIA, SOX2, ASH1L, RGMA, RPS6KA5, SSBP2, SEM1, PBX1, ZMIZ1, ATF7, AHI1, NFIX, MRTFA, GLIS3, WWTR1, CASK, MAML2, ASXL2, ABLIM1, EYA1, TOX, RFX2, MLLT10, PPP3R1, PLPP3, ZBTB16, NCOA2, AUTS2, PPP3CA, KMT2C, KAT6B, ITGA6, ATXN1, TCF4, RFX4, PRDM16, FOS, THRB, ARID4B, CREBBP, SMAD1, RNF220, MEIS2, ETV1, KLF7, KDM3A, MEF2A, ARNT2, STAT3, IFI16, RORA, CEBPD, TEAD1, APP, PRRX1, HIPK2, PLAGL1, MAML3, ZFPM2, ZNF609, DDX17, WWOX, NCOA1, ZFHX3, ZEB1, BCAS3, LPIN1, PAX6, YAP1, BPTF, NFIB, CTBP2, GTF2I, ZIC1, RFX3, KDM4C, RXRA, AGO2
