GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0043197	dendritic spine	30	0.029940119760479042	4.1671386955818095	2.214113749861984e-11	4.649638874710166e-09	8.332580776316705	4.18467498723915e-08	OPHN1, NLGN1, FARP1, PPP3CA, DNAJB1, CRYAB, PPFIA2, ZMYND8, KCND2, TENM2, GPM6A, PTCHD1, CPEB4, KCND3, APBA2, KCNN2, ABR, FXR1, SEPTIN11, MAP1B, MT3, SIPA1L1, PDE4B, GPHN, DOCK10, APP, GRM3, PALM, BAIAP2, MAPT
GO:0001725	stress fiber	17	0.016966067864271458	4.063767813210788	6.95925796821406e-07	6.576498779962288e-05	4.182005256117236	0.0013152997559924575	DST, DIXDC1, PTK2, SYNPO2, LPP, SEPTIN7, SIPA1L3, FAM107A, BAG3, MYLK, PALLD, PPP1R12B, ABLIM1, SEPTIN11, NEBL, DAAM1, SORBS1
GO:0030018	Z disc	24	0.023952095808383235	3.7096933951645585	2.4434278402282018e-08	3.0787190786875343e-06	5.511629936995411	4.618078618031301e-05	RYR1, PPP3CA, FHOD3, FBXO32, CRYAB, CSRP1, CACNA1C, DST, DNAJB6, PRKD1, NEBL, TTN, HSPB1, SYNPO2, ANK2, KCNN2, BAG3, ATP2B4, PDE4B, DMD, KCNN3, PALLD, PPP1R12B, RYR3
GO:0014069	postsynaptic density	44	0.043912175648702596	3.492459097249516	3.511542648062018e-13	1.1061359341395357e-10	9.95619149887301	6.636815604837214e-10	CAMK2G, CTNNA2, NLGN1, RTN4, DNAJB1, PPFIA2, CACNA1C, PRKN, DNAJC6, MAGI2, RTN1, RPL30, CNKSR2, ADCY8, FRMPD2, LRRC7, SOS1, MIB1, CPEB4, DLGAP1, PLEKHA5, RPS25, MPDZ, CPEB3, KALRN, CAP2, SPTBN1, ADD3, ABLIM1, FYN, SHISA6, STAT3, MAP1B, SIPA1L1, CAMK2D, PDE4B, GPHN, INPP4A, TANC1, GRM3, PALM, CTNND2, DAPK1, BAIAP2
GO:0005912	adherens junction	32	0.031936127744510975	3.3736015149188803	1.434924340833067e-09	2.465460912885906e-07	6.608101878329569	2.7120070041744964e-06	PLPP3, CTNNA2, SYNM, FRMD5, TJP1, PARD3, CRB1, FAT3, PARD3B, CDH4, FRMD4A, EZR, FRS2, LRRC7, CCDC85A, AHI1, FER, PTPRK, CDH20, CTNNA3, CNN3, FAT1, EFNA5, STXBP6, KLHL24, APC, TMEM47, CDC42EP4, CTNND2, PLEKHA7, BAIAP2, SORBS1
GO:0098794	postsynapse	35	0.03493013972055888	3.0880941978703538	2.801534922157436e-09	4.275659308907353e-07	6.368996907335164	5.294901002877554e-06	OPHN1, DOCK4, NLGN1, GABRA4, RTN4, GRK3, DNAJB1, ATXN1, DOCK1, PRKN, RNF220, CPEB4, STAU2, CPEB3, DIXDC1, HIP1, KCTD8, SPTBN1, ERBIN, FXR1, ELMO1, MAP1B, BAIAP2, GNA13, FGFR1, KIF1B, GPHN, DOCK10, APP, PALM, GABRG1, PPP3R1, MKLN1, PSD2, AGO2
GO:0098978	glutamatergic synapse	80	0.07984031936127745	2.93160559451507	3.4459338816603177e-18	3.256407518169e-15	14.48726125125904	6.5128150363380005e-15	DOCK4, NLGN1, SRPX2, FARP1, NRP1, DAB1, PCDH7, PRKN, NRP2, CNKSR2, MIB1, CNTN1, SEMA3A, DLGAP1, PLEKHA5, PTPRD, ABR, ERBIN, ADGRL3, RGS7, FYN, PCDH9, FLRT2, TENM4, DOCK10, GRIK4, DAPK1, GPC4, SLC1A2, DNAJB1, PPFIA2, LRFN5, GPM6A, CACNB4, PAFAH1B1, SOS1, DIXDC1, PRUNE2, HIP1, TNR, RAB11A, ELMO1, RGS9, GRM3, PPP3R1, PSD2, OPHN1, PPP3CA, CNNM2, ERBB4, DOCK1, KCND2, SIPA1L3, ADAM23, BTBD9, RNF220, ATP2B4, STAT3, SPARCL1, BRINP1, PLCB1, CADPS2, RTN4, IL1RAPL1, CADPS, NRG3, NLGN4X, ADCY8, LGI1, STAU2, APOE, SPTBN1, FXR1, SHISA6, DAAM1, MAP1B, FGFR1, TANC1, BAIAP2, AGO2
GO:0045211	postsynaptic membrane	32	0.031936127744510975	2.8113345957657336	1.2707651163394396e-07	1.392974808847539e-05	4.8560567374722545	0.00024017460698815408	GABRA4, NLGN1, GRM7, DGKB, IL1RAPL1, NRP1, ERBB4, KCND2, CADPS2, SYNE1, NRP2, CNKSR2, LRRC7, CNTN1, PICALM, KCND3, ANK2, KCTD8, RGS7, ADGRL3, SHISA6, FLRT2, KCNMA1, LRRTM4, DMD, GPHN, GRIK4, GRM3, UTRN, GABRG1, SLC6A11, TENM2
GO:0030424	axon	56	0.05588822355289421	2.7740759444965493	4.347729133628048e-12	1.0271510078196262e-09	8.988365703392251	8.217208062557011e-09	MAP7, CTNNA2, OPHN1, GRM7, IGF1R, IL1RAPL1, DYRK1A, NRP1, CRYAB, PPFIA2, PRKN, GPM6A, DST, NRP2, NIN, ALDH1A1, CADM2, ADCY8, PAFAH1B1, NCAM2, TENM3, SEMA3A, CPEB4, STAU2, SHTN1, CNTN1, BOC, KIF1A, AQP1, SLC38A1, WDFY3, ABR, ADGRL3, KLHL24, FXR1, SBF2, UNC5C, SEPTIN11, TGFB2, DSCAML1, EPHA5, DOCK7, SLC38A2, MAP1B, MT3, SACS, KIF1B, APP, GRM3, PALM, PALLD, DIP2B, NFASC, INSR, SLC1A2, MAPT
GO:0015629	actin cytoskeleton	34	0.033932135728542916	2.7303439995009984	1.0636831472044785e-07	1.2564757176352901e-05	4.90084590006695	0.00020103611482164644	CTNNA2, OPHN1, AUTS2, FAM107A, CLIC4, DST, ARHGAP21, GSN, EZR, MACF1, ADCY8, FER, TLN2, TTN, KALRN, CNN3, SYNPO2, CASK, SPECC1L, MYLK, ABLIM1, ARHGAP6, MYRIP, AHNAK, SIPA1L1, MTSS2, SEPTIN7, DMD, CDC42EP4, PALLD, FMN2, DAPK1, PEAK1, BAIAP2
GO:0043005	neuron projection	45	0.04491017964071856	2.635626183530375	2.9409296833754283e-09	4.275659308907353e-07	6.368996907335164	5.5583571015795596e-06	CAMK2G, RTN4, FARP1, CHL1, NRP1, FAM107A, PRKN, TENM2, MAGI2, GPM6A, LYPD6, FAT3, RTN1, AHCYL2, RAPGEF2, SLC1A3, PAFAH1B1, NCAM2, TENM3, CPEB4, STAU2, MPDZ, CPEB3, KIF1A, NCAM1, ANK2, RGS7, FXR1, EPHA5, UNC5C, FLRT2, DOCK7, RGS9, RGS6, HMGB1, SIPA1L1, TENM4, CAMK2D, KIF1B, APP, GRM3, TENM1, KCNN3, BAIAP2, MAPT
GO:0030425	dendrite	59	0.05888223552894212	2.548141112732518	3.980692121350973e-11	7.523508109353339e-09	8.123579606579508	7.523508109353339e-08	RABGEF1, OPHN1, NLGN1, GRM7, FARP1, CHL1, IL1RAPL1, DYRK1A, HNRNPU, EPHA6, MT-ND1, CACNA1C, KCND2, TENM2, MAGI2, RTN1, LYPD6, FAT3, NLGN4X, NIN, ADCY8, LGI1, BMPR1A, CPEB4, STAU2, TTLL7, MARK3, MPDZ, CPEB3, KIF1A, KCND3, KCNIP1, APOE, RGS7, BPTF, FXR1, FYN, UNC5C, EPHA5, SLC38A2, ELOVL5, MAP1B, SACS, ADCY2, NLGN4Y, DNER, KIF1B, BRINP1, GPHN, APP, TANC1, TRAK1, PALM, DIP2B, CTNND2, INSR, PSD2, MAPT, AGO2
GO:0005925	focal adhesion	49	0.04890219560878244	2.4750278313152565	6.109202667667948e-09	8.24742360135173e-07	6.08368169877929	1.1546393041892421e-05	GJA1, TNS1, SSH2, NRP1, FAM107A, ITGA6, PPFIA1, CSRP1, AKAP12, DST, MAP4K4, RPL30, ITGB8, PTK2, ARHGAP26, JAK1, ENAH, GSN, EZR, LPP, LIMS1, STX16, TLN2, HSPB1, ITGB5, DIXDC1, TNC, CNN3, SYNPO2, FAT1, CASK, PTPRA, EGFR, DDR2, CD44, SNTB1, FLRT2, DOCK7, AHNAK, GNA13, MTSS2, HSPA9, DLC1, CD99, PALLD, FAP, NFASC, PEAK1, SORBS1
GO:0043025	neuronal cell body	42	0.041916167664670656	2.4185746154749324	1.3266426750928943e-07	1.392974808847539e-05	4.8560567374722545	0.000250735465592557	RTN4, DNAJB1, MT-ND1, VTI1A, S100B, KCND2, PRKN, HSP90AB1, GPM6A, RTN1, CNKSR2, RAPGEF2, SLC1A3, PAFAH1B1, BMPR1A, SOS1, MBP, STAU2, HSP90AA1, PICALM, KCND3, SLC38A1, APOE, PTBP2, KCNN2, EPHA5, UNC5C, TGFB2, SLC38A2, ELOVL5, MAP1B, BAIAP2, DNER, BRINP1, SORL1, TANC1, KCNN3, INSR, AKAP12, CACNA1A, PSD2, MAPT
GO:0045202	synapse	87	0.08682634730538923	2.3626630490669913	7.914882905641653e-14	3.7397821729156806e-11	10.427153692948114	1.4959128691662725e-10	QKI, NLGN1, SRPX2, FARP1, DAB1, PRKN, CNTNAP3B, RIMS1, ALDH1A1, LAMA1, CADM2, PDE7B, SDK1, MBP, CNTN1, DLGAP1, ABR, USH1C, ERC1, SNTB1, FLRT2, KCNQ3, LRRTM4, VCAN, GRIK4, UTRN, MKLN1, SLC1A2, GPC4, PLP1, PDZRN3, FAM107A, DNAJC6, EXOC4, SLC1A3, CACNB4, TLN2, CPEB3, KIF1A, HIP1, CASK, MYLK, SEPTIN11, CDH23, SIPA1L1, NLGN4Y, DMD, RPS23, PPP3R1, OPHN1, CNNM2, IGSF11, NCAN, KCND2, RPS25, CPEB4, MPDZ, CLU, MYRIP, BRINP1, APP, CADPS2, GNG12, GPC6, TENM2, RPS6KA2, RTN4, MAGI2, LYPD6, RPL30, CADPS, NRG3, NLGN4X, PTCHD1, ENAH, RAPGEF2, ADCY8, LGI1, KCNIP1, DPYSL3, UNC5C, DSCAML1, CTBP2, DAAM1, MAP1B, SLC6A11, CACNA1A
