GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0031434	Abnormal prosody	7	0.006986027944111776	13.082289965523497	1.7539484807254458e-07	3.165415442319765e-05	4.499569283287483	0.0018042868021222662	MT-ND3, SRPX2, MT-ND4, MT-ATP6, MT-ND1, MT-ND2, MAPT
HP:0031546	Cardiac conduction abnormality	10	0.00998003992015968	7.342101511263188	4.174201218966274e-07	6.925807732178396e-05	4.159529569097993	0.004294000793950606	MT-ND3, MT-ND4, MT-CO2, MT-ATP6, CREBBP, SLC1A3, MT-ND1, MT-ND2, CACNA1A, MT-CO3
HP:0007270	Atypical absence seizure	12	0.011976047904191617	6.852628077178975	6.958690832868555e-08	1.5512923012303324e-05	4.8093063628241195	0.0007158405259771883	CHD2, SRPX2, MAPK10, CEP85L, ZEB2, PPP3CA, KCNMA1, HNRNPU, CACNB4, PAFAH1B1, CACNA1A, OTUD7A
HP:0002527	Falls	12	0.011976047904191617	5.7370839715917015	6.219545601321199e-07	9.694009939513815e-05	4.013496539319904	0.006398046560079118	SACS, LRAT, HSPB8, CHD2, MAPK10, DMD, SPTBN1, VPS13C, DAB1, CACNA1A, MAPT, TTN
HP:0001212	Prominent fingertip pads	13	0.012974051896207584	5.567760312707917	3.1132723171183996e-07	5.42817497054186e-05	4.265346161838367	0.0032026232326196977	MAP1B, WAC, NR2F1, MED12L, AHDC1, TBL1XR1, ARID1B, CREBBP, FOXP1, RPS23, TCF4, KANSL1, NFIX
HP:0000194	Open mouth	24	0.023952095808383235	4.044173947187592	4.143139250585887e-09	1.522159766813465e-06	5.817539761360478	4.262047347077702e-05	FOXP1, IL1RAPL1, MBD5, AP1S2, TCF4, ASH1L, DST, DIS3L2, VPS13B, BCAS3, AHI1, NFIX, ZSWIM6, PDE4D, REV3L, MED12L, AGO2, ZEB2, KANSL1, CCDC88A, SOX5, RPS23, MED13L, DPYD
HP:0000212	Gingival overgrowth	22	0.021956087824351298	3.6770199438521334	1.0930989866769731e-07	2.2048449560678475e-05	4.656621944559684	0.0011244709275946023	ZBTB16, CCBE1, CLIP2, TBL1XR1, VPS13B, SOS1, NFIX, ATG7, ZEB2, DDR2, RIN2, STAT3, GTF2I, MAP1B, KCNMA1, HIVEP2, GNAQ, GPC4, GTF2IRD1, KCNN3, PLAGL1, INSR
HP:0000574	Thick eyebrow	26	0.02594810379241517	3.4044903822927393	4.055795148817894e-08	1.0430491173972419e-05	4.981695240075551	0.00041721964695889675	SMARCA2, IGF1R, AUTS2, KMT2C, ANKRD11, FRMD4A, TBL1XR1, VPS13B, SOX6, CREBBP, BCAS3, NFIX, ARID1A, ZSWIM6, DNMT3A, WAC, TRPS1, SPECC1L, SPTBN1, BPTF, DOCK7, ARID1B, RPS23, KCNN3, DYM, MBD5
HP:0012469	Infantile spasms	25	0.0249500998003992	3.294532729412969	1.422653432886071e-07	2.7612897856790594e-05	4.558888013600765	0.0014634835864099013	MT-ND3, CTNNA2, GRM7, SRPX2, CEP85L, MT-ND1, BTD, HIBCH, GLUL, MACF1, PAFAH1B1, MT-ND2, CASK, NEDD4L, SPTBN1, DOCK7, OTUD7A, CDK19, SPTAN1, TRPM3, TUBB2B, MT-ATP6, GNAQ, PLCB1, MT-ND4
HP:0000729	Autistic behavior	70	0.06986027944111776	3.263156227228084	1.4415666781887457e-18	3.0781562269145325e-15	14.51170934202075	1.4829396418527626e-14	SMARCA2, CTNNA2, OPHN1, GRM7, ZFPM2, NLGN1, AUTS2, CEP85L, NR2F1, TCF12, FOXP1, AHDC1, DYRK1A, MED13, KMT2C, AP1S2, TCF4, SRRM2, ASH1L, HERC2, CRB1, SETD5, JAM2, CHD2, NLGN4X, PACS1, TBL1XR1, VPS13B, ATP9A, SOX6, CREBBP, ZMIZ1, ARID1A, CAMTA1, PDE4D, NFIX, LRAT, ZSWIM6, ATG7, WAC, DPYD, MEIS2, MED12L, AGO2, CASK, KCNN2, SPECC1L, SPTBN1, PLCB4, SBF2, TNRC6B, KANSL1, RERE, RORA, CELF2, MAP1B, ZIC1, SPTAN1, PHF21A, MTSS2, TRPM3, MAPK10, HIVEP2, GNAQ, ARID1B, STAG1, RPS23, MED13L, CACNA1A, MBD5
HP:0000752	Hyperactivity	33	0.03293413173652695	3.185024317562059	3.589347086059834e-09	1.3675412397887967e-06	5.864059568144327	3.692361347429751e-05	OPHN1, GRM7, AUTS2, CCBE1, AHDC1, IL1RAPL1, DYRK1A, TSHR, ASH1L, HERC2, SPRED1, THRB, CHD2, CNKSR2, ATP9A, CREBBP, DPP6, NFIX, ARID1A, PDE4D, CAMTA1, ZSWIM6, DPYD, CASK, SPTBN1, KANSL1, MAPK10, HIVEP2, ARID1B, MED13L, CACNA1A, DYM, MBD5
HP:0000717	Autism	41	0.04091816367265469	3.1568286647678425	6.144341108047841e-11	3.950427311155509e-08	7.403355924920463	6.320683697848815e-07	NR2F1, TCF12, WWOX, AHDC1, DYRK1A, IL1RAPL1, SOX2, PPP3CA, BBS9, ANKRD11, HERC2, GATM, CACNA1C, PRDM16, CLIP2, CNKSR2, PTCHD1, CREBBP, SDCCAG8, ZBTB20, PDE4D, REV3L, MEIS2, UBE4B, FRYL, SPTBN1, NFIB, ARNT2, RERE, CACNA2D1, CELF2, GTF2I, DOCK7, CDK19, FGFR1, TRAK1, GTF2IRD1, MED13L, CACNA1A, SLC1A2, DPYD
