GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0005096	GTPase activator activity	41	0.04091816367265469	3.098798726077257	1.1077497154624432e-10	1.761691297490439e-07	6.754070191010332	5.285073892471316e-07	ARHGAP42, ARHGAP5, OPHN1, DOCK4, AGAP1, NRP1, DOCK3, DOCK1, FAM13A, TBC1D5, SIPA1L3, ARHGAP21, SRGAP1, ARHGAP26, ALDH1A1, RAPGEF2, GARNL3, SOS1, ARHGEF10L, DOCK5, ASAP1, ABR, RIN2, RGS7, EVI5, ARHGAP6, STARD13, DOCK7, RGS9, RGS20, RGS6, SIPA1L1, MTSS2, STXBP5L, TBC1D22A, GNAQ, DLC1, PIK3R1, PLCB1, AGFG2, ARAP2
GO:0005516	calmodulin binding	30	0.029940119760479042	3.008470863151745	6.850838155570702e-08	3.3908326184506246e-05	4.469693647755799	0.0003268534884022782	CAMK2G, RYR1, PPP3CA, TJP1, CACNA1C, ITPKB, SLC24A4, ADCY8, MBP, TTN, CNN3, CASK, KCNN2, SPTBN1, MYLK, ADD3, ATP2B4, SNTB1, CAMK1D, KCNQ3, SPTAN1, TRPM3, AEBP1, CAMK2D, PLCB1, KCNN3, DAPK1, PPP3R1, AKAP12, RYR3
GO:0005085	guanyl-nucleotide exchange factor activity	33	0.03293413173652695	2.8267090818363276	7.107173796794433e-08	3.3908326184506246e-05	4.469693647755799	0.0003390832618450624	RABGEF1, DOCK4, KIAA1755, FARP1, DENND1A, DOCK3, DOCK1, RASGEF1B, HERC2, RAPGEF2, ARHGEF10, SOS1, DOCK5, ARHGEF10L, ARHGEF26, KALRN, PLCE1, ABR, RIN2, SBF2, DENND5B, DOCK7, ELMO1, GNA13, ITSN2, ARHGEF4, FGD4, SPATA13, CCDC88A, DOCK10, MCF2L2, FGD6, PSD2
GO:0003779	actin binding	52	0.05189620758483034	2.7551803609276293	3.319472065284083e-11	7.91860061173518e-08	7.101351560872537	1.583720122347036e-07	OPHN1, TNS1, SSH2, HNRNPU, FAM107A, DYRK1A, FHOD3, PRKN, SYNE1, CLMN, DST, PTK2, ENAH, GSN, EZR, MACF1, ADCY8, FMNL2, LIMS1, NEBL, SPIRE1, MRTFA, DAAM2, TLN2, DIXDC1, CNN3, HIP1, SYNPO2, CAP2, SPTBN1, MYLK, LMOD1, ADD3, ABLIM1, SNTB1, MYRIP, DAAM1, PXK, MAP1B, SORBS1, MICAL3, SPTAN1, MTSS2, KCNMA1, FGD4, CCDC88A, DMD, PALLD, FMN2, UTRN, DIAPH3, MAPT
GO:0004672	protein kinase activity	59	0.05888223552894212	2.3551750867197647	1.0405555736274514e-09	9.928981283553143e-07	6.003095307962532	4.964490641776571e-06	RPS6KA2, CDKL1, CAMK2G, STK32A, PRKG1, MMD2, IGF1R, GRK3, PEAK1, DYRK1A, DCLK2, EPHA6, BMP2K, ERBB4, CDK17, SIK3, MAP4K4, WNK2, RPS6KA5, PTK2, JAK1, HSPB8, MAP3K5, TESK2, SIK2, BMPR1A, PRKD1, NRBP2, PRKCE, PDK4, MARK3, FER, CLK1, TTN, KALRN, CSNK1G1, SRPK2, CASK, EGFR, MYLK, DDR2, FYN, MAP4K3, EPHA5, AKT3, CAMK1D, TAOK3, PRKCA, CDK19, PXK, FGFR1, CAMK2D, MAPK10, SGK1, DCLK1, DAPK1, HIPK2, MAP4K5, INSR
GO:0016301	kinase activity	64	0.06387225548902195	2.0687179100917663	3.3743454549724554e-08	2.0123752707091982e-05	4.696291028188132	0.00016099002165673585	RPS6KA2, CDKL1, CAMK2G, STK32A, PFKFB3, PRKG1, IGF1R, DGKB, GRK3, DYRK1A, DCLK2, EPHA6, BMP2K, ERBB4, CDK17, ITPKB, SIK3, CKB, MAP4K4, WNK2, RPS6KA5, PTK2, JAK1, MAP3K5, TESK2, CCNH, SIK2, BMPR1A, PRKD1, PRKCE, PDK4, MARK3, FER, CLK1, TTN, KALRN, CSNK1G1, SRPK2, CASK, EGFR, PFKFB2, MYLK, DDR2, SGMS1, FYN, MAP4K3, EPHA5, AKT3, CAMK1D, PIK3C2A, TAOK3, CDK19, PRKCA, FGFR1, CAMK2D, MAPK10, SGK1, PFKP, DAPK1, HIPK2, DCLK1, MAP4K5, INSR, NADK2
GO:0005524	ATP binding	122	0.1217564870259481	1.7131570192947438	3.3784008199437205e-09	2.3026214731359272e-06	5.637777449634445	1.6118350311951492e-05	SMARCA2, PFKFB3, STK32A, HSPA4, IGF1R, HNRNPU, NT5C2, SIK3, WNK2, JAK1, ATP9A, BMPR1A, PRKD1, HSP90AA1, TTLL7, FIGN, CSNK1G1, UBE2B, ACSL6, EGFR, UBE2E2, FYN, MAP4K3, ABCA1, AKT3, DNAH7, TAOK3, PXK, DNAH14, GPHN, SGK1, DAPK1, MAP4K5, RYR1, PRKG1, DNAJA1, DYRK1A, NAV2, PAPOLA, HSPD1, RPS6KA5, PTK2, PCCA, TTN, FER, UBE4B, KIF1A, SRPK2, CASK, PFKFB2, MYLK, EPHA5, DYNC2H1, CAMK1D, ADCY2, CDK19, PRKCA, ACSS1, CAMK2D, HSPA9, PFKP, NWD1, DCLK2, ATP10B, CAMK2G, ERCC6L2, DGKB, GRK3, ATP13A4, CNNM2, EPHA6, ERBB4, CDK17, ITPKB, NAV3, DDX3Y, MAP3K5, TESK2, SIK2, NRBP2, CLK1, KIF6, SMC5, KALRN, CCT4, HSPH1, ATP2B4, PIK3C2A, NAIP, ACACB, MAPK10, HIPK2, INSR, NADK2, RPS6KA2, CDKL1, CHD4, RHOBTB3, DDX17, CHORDC1, KIF13A, BMP2K, HSP90AB1, CKB, MAP4K4, CHD2, GLUL, ADCY8, KIF2A, PRKCE, PDK4, ABCC4, UBE2D3, MARK3, ABCC1, DDR2, PRKAG2, FGFR1, KIF1B, DCLK1, HSPA4L, PEAK1
GO:0005515	protein binding	786	0.7844311377245509	1.1996805260960741	2.994824544727872e-20	1.4288307902896678e-16	15.84501919961677	1.4288307902896676e-16	MT-ND3, CCSER1, PFKFB3, DOCK4, SRP14, IGF1R, BCL6, TSHR, PI16, SH3BGR, VOPP1, SETD5, PARD3B, INTU, JAM2, DPF3, ECE1, MBP, MIB1, PLXDC2, COL4A5, ARHGEF26, MOB3B, ZFP36L1, BAIAP3, ATF7IP, SLIT1, OSMR, DGLUCY, SFMBT2, SMYD3, FIGN, MBNL2, ANGPTL4, UBE2B, ACSL6, EGFR, KCNN2, ABR, TRIM2, SERPINI2, MRAS, PXK, TOB2, OXR1, LMO3, GNAQ, VCAN, PIK3R1, SGK1, GNA14, UTRN, SSBP3, JAKMIP2, BRWD1, GPC4, SLC9A9, MAP7, DYNLL1, PRKG1, NR2F1, PPFIA2, HSD17B12, LINGO1, HSPD1, EPS15L1, DST, GLRX, HSPB8, PBX1, SOS1, ATF7, AHI1, ARID1A, FER, DNAJC1, TLN2, GLIS3, UBE4B, ATP1B3, NUFIP2, PLCE1, MYLK, SEPTIN11, DYNC2H1, STARD3, CAMK1D, ELMO1, EYA1, FNBP1, GNA13, SIPA1L1, ACSS1, HSPA9, OSBPL6, PLEKHA7, PPP3R1, DPYD, RABGEF1, ZHX2, ERCC6L2, AGAP1, GRK3, FOXP1, PPP3CA, IGSF11, KAT6B, MSI2, ATXN1, FAM193A, TJP1, PTN, GSN, TRMT11, BTBD9, CCDC85A, NEBL, OSBP2, AGT, RPS25, CPEB4, RNF220, NPAS3, REV3L, SMC5, KALRN, TNC, ZNF704, KCTD8, TNRC6B, CLU, MEF2A, ATP2B4, TGFB2, IFI16, ARNT2, SLC35F1, TSC22D2, PHF21A, NAIP, ACACB, MAOB, BCKDHB, GTF2IRD1, PALM, MVB12B, GNG12, GINS3, INSR, PDE4DIP, GPC6, RIPOR2, MAML3, ARHGAP5, CTNNA2, WWOX, CALM2, PELI2, OTUD7B, ZFHX3, TBC1D5, PCNX2, CACNA1C, P4HA1, HSP90AB1, DPYSL2, NSMCE2, ENAH, KANK1, GLUL, MACF1, EZR, LPIN1, FRMPD2, CAB39L, PAX6, YAP1, PDK4, MARK3, CCDC6, APOE, LCOR, PRKAG2, SHISA6, EVI5, ST7, HACD2, EIF4G3, FXR1, FAM171A1, IL7, FGFR1, ACOT11, FN1, SPON1, ARHGEF4, USP34, KIF1B, TANC1, AGO2, PITPNC1, STK32A, FOXO1, PLPP1, PTPN9, SLC4A4, DAB1, AP1S2, HERC2, PARD3, FAT3, NRP2, CNKSR2, JAK1, CADM2, DNAJB6, APTX, TRDN, PLEKHA5, HSP90AA1, F3, HSPB1, IFNGR2, PTPRD, MT2A, MED12L, ANK2, NEDD4L, BAG3, GMPR, UBE2E2, USH1C, FYN, MAP4K3, SOD2, ABCA1, ERC1, PLCG2, SBF2, TAOK3, HMBOX1, APC, MT3, RGS20, TENM4, HIVEP2, CRB2, TMEM47, DAPK1, STX16, MBD5, BANP, PLP1, NTM, GYS1, SSH2, CCBE1, APOC1, MED13, FBXO32, NFIA, FAM107A, FRMD5, VTI1A, PAPOLA, BTD, LRFN5, DNAJC6, GPM6A, SRGAP1, FRMD6, SDCCAG8, LRRC7, SAT1, NPAS2, SPIRE1, LRAT, DNMT3A, ATG7, PRUNE2, TMTC2, WDFY3, WWTR1, LRBA, ABLIM1, EPHA5, ARHGAP6, SLC38A2, PRKCA, CAMK2D, SPATA13, DMD, TSPAN7, RPS23, FTL, TGFBR3, BAZ2B, APBA2, UMAD1, ATP10B, PLPP3, AGO3, CAMK2G, ZBTB16, TMEM14B, KMT2C, EPHA6, CRYAB, TCF4, ERBB4, SGIP1, DOCK1, CDK17, RFX4, JDP2, CDKAL1, ADAM23, THRB, MAP3K5, TESK2, CCDC91, CREBBP, SASH1, SMAD1, NRBP2, SPARC, DAAM2, ANGPT1, KIAA1958, MOB1B, KIF6, CLK1, MEIS2, TMTC1, CCT4, KDM3A, RASSF8, RORA, SPARCL1, ITSN2, CEBPD, DNER, PEX5L, GALNT15, KCNN3, PDE5A, ADRA1A, HIPK2, MAPT, DYM, UQCRB, SLC7A5, RNF19A, TSPAN5, IL1RAPL1, KIF13A, VGLL4, ATXN7, ZMYND8, ZEB1, AFF1, NLGN4X, MXD1, TLE3, ZFAND3, TCF7L1, RHBDD1, PICALM, KCTD1, UNC5C, NFIB, DSCAML1, PHYHIPL, PTPN4, ATXN2, SEPTIN7, SLC26A3, CRADD, TMEM144, NKAIN4, PEAK1, ANKHD1, QKI, TCF12, HNRNPU, HEATR5A, RBPMS, C3, MAN1C1, PPARGC1A, SMAD9, BMPR1A, KCNJ3, ADGRA3, DHRSX, RANBP3L, ITGB5, BOC, CSNK1G1, SESN3, BBX, ERBIN, LRP1B, ADGRL3, TLE4, RERE, AKT3, RHOQ, KCNQ3, HMGB1, UQCR10, SORL1, MOXD1, SH3RF1, GPM6B, TBL1X, SLC1A2, BBOX1, LIFR, PDZRN3, SYNM, CEP85L, DYRK1A, NMT1, SOX2, BCL2, NAV2, PTGES3, EXOC4, FAM135B, UBR5, IL17RB, SPRED1, SSBP2, PTK2, PTPRE, SOX6, SUFU, SLC1A3, TNRC6A, CD47, PAFAH1B1, ACYP2, PCCA, SHTN1, TTN, WAC, DIXDC1, TOM1L2, KIF1A, NCKAP5, PPP2R2B, HIP1, PTGDS, CAP2, RAB11A, PTBP2, FRYL, FGF14, ST3GAL3, SPECC1L, TRPS1, PFKFB2, EFNA5, ANAPC16, SMURF2, ATP5F1E, NLGN4Y, TOX, MTSS2, GRM3, PALLD, UGP2, MLLT10, UPP2, DCLK2, GAB1, AUTS2, CHL1, EFHD1, AHDC1, SLC7A11, EPHX1, ITGA6, KCND2, RTN1, PRDM16, FOS, PDZRN4, AHCYL2, FTH1, ARID4B, PACS1, CCNY, ZNF273, PRDX6, ZNF438, PDE4D, ANTXR1, CTNNA3, MPDZ, SLCO3A1, FAT1, STUM, KLHL24, STAT3, GRAMD2B, GFPT2, ELOVL5, WDR49, CIRBP, MAPK10, MT-ATP6, APP, PLCB1, TEAD1, KLHL32, PPP1R12B, NPL, CTNND2, USP54, TENM2, SORBS1, HDDC2, RPS6KA2, CFAP44, IGFBP7, DIPK1A, ZFPM2, SLC25A18, CHORDC1, BMP2K, SRRM2, LRRC3B, MAGI2, SYNE1, CKB, LYPD6, PLOD2, RPL30, CADPS, TSHZ2, CHD2, NALCN, NIN, KIF2A, LGI1, ZC3H12C, PRKCE, MT-ND2, ABCC4, UBE2D3, EYA2, PTPRK, L3MBTL4, ZHX3, CUX1, KCNIP1, MXI1, MT-CO2, ENSA, LDLRAD4, DDR2, WDFY2, BPTF, PLCB4, TPD52L1, MAP1B, SNX7, TUBB2B, KIAA1217, GFAP, DCLK1, CACNA1A, BAIAP2, SMARCA2, GJA1, BMP7, MMD2, LSAMP, TFDP2, HSPA4, SRPX2, MTUS1, NRP1, FHOD3, NR3C2, DOCK3, PDS5A, PRKN, NT5C2, SIK3, RIMS1, ARHGAP21, DIS3L2, ALDH1A1, WIF1, FUT8, LAMA1, FRS2, ATP9A, TBL1XR1, LIMS1, PRKD1, SLCO1C1, CNTN1, DLGAP1, TTLL7, PDS5B, BNC2, AQP1, NCAM1, ZEB2, GDAP1, LAMP2, CD44, SNTB1, OTUD7A, AKAP6, COPS9, C1orf21, PCSK5, PDE4B, CABLES1, PRMT3, GPHN, DOCK10, SOX5, TLR4, TOB1, FGD6, EGLN3, FAP, HYDIN, MKLN1, TLE1, PRSS23, RALYL, DNAJA1, DNAJB1, FKBP5, BBS9, TAF1D, ARL15, RASGEF1B, FOXN3, RGMA, CRB1, CEP170, FBXL7, ZNF638, TMEM135, RPS6KA5, ARHGAP26, SEM1, LPP, CACNB4, SPPL3, DOCK5, NFIX, MRTFA, RBFOX1, CPEB3, SRPK2, SLC38A1, DOK5, CASK, CERS6, RNF216, MAML2, ASXL2, CDH23, KANSL1, TTC3, DOCK7, RGS9, LARGE1, KCNMA1, RFX2, DLC1, STAG1, FAF1, CDC42EP4, SYTL4, PFKP, GABRG1, NFASC, ST13, ADAMTSL3, BCL2L1, TNS1, FTO, NCOA2, ZMAT3, FBXL17, KAZN, RASL12, CLIC4, MT-ND1, CTDSPL, S100B, ITPKB, SIPA1L3, DDX3Y, RETREG1, STX8, RPS24, SIK2, CCNH, GAREM1, TPT1, KIAA1671, RPL32, KCND3, ASAP1, ETV1, SYNPO2, PTPRA, MRPS6, HSPH1, ZNF516, FNIP1, MYRIP, RBM6, AHNAK, RGS6, MICAL3, SPTAN1, TBC1D22A, CDR2, BRINP1, ARID1B, SLC16A9, PRRX1, AKAP12, PLAGL1, PPP2CB, CHD4, RHOBTB3, RTN4, DDX17, KCNIP4, CST3, NCOA1, PPFIA1, CSRP1, CFAP47, GATM, LCORL, MAP4K4, PDE3A, RAPGEF2, BCAS3, USP32, RFTN2, ARHGEF10, DPP6, FHIT, SORT1, MT-CO3, STAU2, LARP1, MGST1, SPTBN1, STIP1, DPYSL3, LTBP1, CTBP2, RPL23A, OSBPL1A, GTF2I, PHLPP1, COL16A1, ZIC1, RFX3, PHYHD1, CACNB2, HP1BP3, CD99, ST6GAL1, TRAK1, OSBPL3, INPP4A, ZFAND5, HSPA4L, RXRA
GO:0004930	G protein-coupled receptor activity	8	0.007984031936127744	0.20279047330739258	9.854388602357197e-10	9.928981283553143e-07	6.003095307962532	4.701528802184619e-06	GRM7, P2RY14, GRM3, ADGRL3, TSHR, ADRA1A, GPRC5B, ADGRA3
GO:0004984	olfactory receptor activity	0	0.0	0.0	2.877115242662671e-09	2.287786137123934e-06	5.640584575948954	1.3726716822743602e-05	
