# Reference distribution mean: 1.0093870490417118 and standard deviation: 1.0930642395494148
# Threshold: 0.68
# 8.48% of reference distribution below threshold, 12.65% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB12274	-7.859026979751538	-8.113351171792983	Aducanumab
DB05150	-7.859026979751538	-8.113351171792983	CAD106
DB05846	-7.859026979751538	-8.113351171792983	Mito-4509
DB09148	-7.859026979751538	-8.113351171792983	Florbetaben (18F)
DB00746	-7.859026979751538	-8.113351171792983	Deferoxamine
DB03754	-7.859026979751538	-8.113351171792983	Tromethamine
DB05938	-7.859026979751538	-8.113351171792983	Edonerpic
DB09149	-7.859026979751538	-8.113351171792983	Florbetapir (18F)
DB09151	-7.859026979751538	-8.113351171792983	Flutemetamol (18F)
DB05088	-7.859026979751538	-8.113351171792983	Tetrathiomolybdate
DB06782	-7.859026979751538	-8.113351171792983	Dimercaprol
DB02235	-7.859026979751538	-8.113351171792983	L-methionine (R)-S-oxide
DB11737	-7.445417556701687	-7.734956738890897	Icotinib
DB11963	-7.445417556701687	-7.734956738890897	Dacomitinib
DB16640	-7.445417556701687	-7.734956738890897	Almonertinib
DB07602	-7.445417556701687	-7.734956738890897	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB05424	-7.445417556701687	-7.734956738890897	Canertinib
DB05524	-7.445417556701687	-7.734956738890897	Pelitinib
DB11828	-7.445417556701687	-7.734956738890897	Neratinib
DB00317	-7.445417556701687	-7.734956738890897	Gefitinib
DB05374	-7.445417556701687	-7.734956738890897	Rindopepimut
DB05101	-7.445417556701687	-7.734956738890897	Matuzumab
DB12202	-7.445417556701687	-7.734956738890897	Zalutumumab
DB01269	-7.445417556701687	-7.734956738890897	Panitumumab
DB09330	-7.445417556701687	-7.734956738890897	Osimertinib
DB09559	-7.445417556701687	-7.734956738890897	Necitumumab
DB13164	-7.445417556701687	-7.734956738890897	Olmutinib
DB16390	-7.445417556701687	-7.734956738890897	Mobocertinib
DB04505	-7.00397413672268	-7.331098114661291	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB04588	-7.00397413672268	-7.331098114661291	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB04254	-7.00397413672268	-7.331098114661291	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB07601	-7.00397413672268	-7.331098114661291	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB02840	-7.00397413672268	-7.331098114661291	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB02550	-7.00397413672268	-7.331098114661291	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB02359	-7.00397413672268	-7.331098114661291	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB03093	-7.00397413672268	-7.331098114661291	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB07319	-7.00397413672268	-7.331098114661291	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB07325	-7.00397413672268	-7.331098114661291	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
DB07324	-7.00397413672268	-7.331098114661291	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07317	-7.00397413672268	-7.331098114661291	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB03899	-7.00397413672268	-7.331098114661291	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB04054	-7.00397413672268	-7.331098114661291	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB08786	-7.00397413672268	-7.331098114661291	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB08787	-7.00397413672268	-7.331098114661291	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08788	-7.00397413672268	-7.331098114661291	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08789	-7.00397413672268	-7.331098114661291	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB03749	-7.00397413672268	-7.331098114661291	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB03504	-7.00397413672268	-7.331098114661291	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB03137	-7.00397413672268	-7.331098114661291	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB06956	-7.00397413672268	-7.331098114661291	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB06957	-7.00397413672268	-7.331098114661291	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB07495	-7.00397413672268	-7.331098114661291	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB07502	-7.00397413672268	-7.331098114661291	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB03809	-7.00397413672268	-7.331098114661291	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB08436	-7.00397413672268	-7.331098114661291	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB06958	-7.00397413672268	-7.331098114661291	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB06961	-7.00397413672268	-7.331098114661291	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB08197	-7.00397413672268	-7.331098114661291	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB08194	-7.00397413672268	-7.331098114661291	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB07100	-7.00397413672268	-7.331098114661291	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06964	-7.00397413672268	-7.331098114661291	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB06969	-7.00397413672268	-7.331098114661291	2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide
DB08557	-7.00397413672268	-7.331098114661291	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB08443	-7.00397413672268	-7.331098114661291	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB08442	-7.00397413672268	-7.331098114661291	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB12442	-7.00397413672268	-7.331098114661291	Alvespimycin
DB05134	-6.929164319488851	-7.262657656610383	Tanespimycin
DB06070	-6.929164319488851	-7.262657656610383	SNX-5422
DB07594	-6.929164319488851	-7.262657656610383	CCT-018159
DB07877	-6.929164319488851	-7.262657656610383	8-(6-BROMO-BENZO[1,3]DIOXOL-5-YLSULFANYL)-9-(3-ISOPROPYLAMINO-PROPYL)-ADENINE
DB02754	-6.929164319488851	-7.262657656610383	9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine
DB08293	-6.854354502255021	-7.194217198559475	(5E)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE
DB08153	-6.854354502255021	-7.194217198559475	(5E)-14-CHLORO-15,17-DIHYDROXY-4,7,8,9,10,11-HEXAHYDRO-2-BENZOXACYCLOPENTADECINE-1,12(3H,13H)-DIONE
DB08346	-6.854354502255021	-7.194217198559475	(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE
DB08045	-6.854354502255021	-7.194217198559475	4-{4-[4-(3-AMINOPROPOXY)PHENYL]-1H-PYRAZOL-5-YL}-6-CHLOROBENZENE-1,3-DIOL
DB08292	-6.854354502255021	-7.194217198559475	(5Z)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE
DB06094	-6.731018100482083	-7.0813817426819865	Apatorsen
DB06451	-6.467698726104353	-6.840481560560691	Aprinocarsen
DB08655	-6.385194398997725	-6.765001708488466	9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE
DB16630	-6.285998094508864	-6.6742510454444055	OPB-111077
DB07608	-6.100318952020064	-6.504380752582806	N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide
DB02285	-5.877735781779639	-6.300748466220408	Protoporphyrin
