GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0035235	ionotropic glutamate receptor signaling pathway	12	0.0069164265129683	6.194411727853653	6.888276776736808e-08	2.951127502467522e-05	4.530012026548208	0.0008325171312364106	GRIA3, GRID2, GRIA1, GRIK5, APP, CPEB4, GRIN1, GRIN2B, GRIN2A, GRIA2, GRIK2, GRID1
GO:0141162	negative regulation of cAMP/PKA signal transduction	14	0.008069164265129682	5.731610851634701	1.9822080313632272e-08	1.1408079174788553e-05	4.942787473374533	0.00023956966267055964	PDE7B, PDE5A, PDE7A, PDE2A, PDE8B, PDE1C, PDE10A, PDE1B, PDE3B, PDE9A, PKIA, PDE8A, PDE4B, PRKAR2B
GO:0099170	postsynaptic modulation of chemical synaptic transmission	12	0.0069164265129683	5.69885878962536	2.2578913825312797e-07	7.7968214997923e-05	4.10808240839092	0.0027288875249273045	DCC, GNAO1, SNX14, GRM3, BRAF, PPP3CA, NRGN, PLCB1, RASGRF2, TRIO, SORCS3, PPP3R1
GO:0035249	synaptic transmission, glutamatergic	19	0.01095100864553314	5.370948264031838	2.35359793445099e-10	2.1881218950595894e-07	6.65992848815342	2.8445584635774664e-06	CACNB4, GRIN2B, PRKN, GRIA1, GRIK5, GRIA2, NR3C1, UNC13A, GRID1, GRIA3, GRID2, UNC13B, EXT1, CLCN3, GRIN2A, CDH8, GRIK2, DSCAM, CLSTN3
GO:0019228	neuronal action potential	14	0.008069164265129682	5.361829506367946	5.7664161604262724e-08	2.752696398621231e-05	4.560241685328205	0.0006969290571491193	DRD1, KCNA2, GPR88, GRIA1, HCN1, KCNK2, KCNQ3, ANK3, SCN1A, SCN4B, KCND2, GPRIN3, SCN2A, GRIK2
GO:0060291	long-term synaptic potentiation	24	0.0138328530259366	4.829541347140135	1.65970205324596e-11	2.2287954461700745e-08	7.651929788260936	2.0059159015530672e-07	CAMK2B, GRIN2B, SNCA, NF1, CALM2, GRIA1, SNAP25, RASGRF2, CAMK2A, SLC24A2, SLC8A3, LARGE1, NPTN, GRIA3, CALN1, SHANK2, CALM3, CALM1, GRIN2A, MAPK1, DRD1, BRAF, VAMP2, NTRK2
GO:0050804	modulation of chemical synaptic transmission	46	0.026512968299711816	4.589417092485409	1.0664599694430598e-19	6.44461759534441e-16	15.190802847303429	1.288923519068882e-15	EPHA7, SYN3, DGKE, CDKL5, EPHB1, FYN, PRKN, GRIA1, PPP3CA, GRIK5, NLGN1, GRM3, PLPPR4, PTPRD, BTBD9, GRM5, CACNA1A, AKAP12, CAMKV, GRIA2, NPTN, DLGAP2, NRG3, LRRK2, GRID1, ABR, GRIA3, GRID2, BSN, CACNA1B, SLC6A6, BAIAP2, RTN4, GRIN2A, ADCY1, GRIK2, PRKAR2B, DLGAP1, CDH11, DLGAP3, BCR, DLGAP4, LRRC4C, CPLX2, ARHGAP44, PAFAH1B1
GO:0007612	learning	25	0.01440922190201729	4.566393260917756	2.7355756721281728e-11	3.3062167573341096e-08	7.480668677253311	3.3062167573341096e-07	CNTNAP2, NTRK2, ATP8A1, FYN, PRKN, ATXN1, PPP3CB, PLCB1, GRM5, SYNJ1, SLC24A2, SLC8A3, APP, GABRB3, NRXN1, SHANK2, SYT11, GRIN2A, SLC12A5, PRKAR2B, DRD1, PAK5, NRXN3, NLGN4Y, SORCS3
GO:0060078	regulation of postsynaptic membrane potential	22	0.012680115273775217	4.503408526284408	5.786638538524273e-10	4.662487558440291e-07	6.3313823140696766	6.993731337660436e-06	GABRB1, KCNK1, GABRA2, GABRG3, KCND2, GABRG2, GRIA1, GRM1, GRM5, GRIA2, GRID1, GRIA3, GRID2, GABRB2, GABBR1, GRIN2A, RGS7BP, KCNA2, HCN1, GLRB, RGS7, GABRA4
GO:0048013	ephrin receptor signaling pathway	19	0.01095100864553314	4.4231338644968075	1.2195735841561828e-08	7.3698831690558125e-06	5.132539396732067	0.00014739766338111625	EPHA7, ARHGEF7, SIPA1L1, NTRK3, EPHB1, FYN, TIAM1, NGEF, EPHA10, EFNA5, ANKS1B, PTK2, CHN1, EPHA4, KALRN, EPHA5, PTPN11, ANKS1A, EPHA6
