Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5469944496968563	-3.0300489876271044	<0.0001	<0.0001	PL21
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5124128430344297	-2.8829284558215424	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.4987099860007128	-2.8610363649346846	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A07	DB07232	Veliparib	0.43409170706197925	2.6327817360288908	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.47912859097071175	-2.6299673049621393	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.44496727362612026	-2.526481936687703	<0.0001	<0.0001	NPC.CAS9
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.41609937116295675	-2.5195682704326	<0.0001	<0.0001	THP1
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4018718032483426	-2.5090049806075823	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3722597001909644	2.50534503499934	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.42690327382760657	2.487263984679413	<0.0001	<0.0001	JURKAT
LJP009_NEU_24H:A03	DB02546	Vorinostat	-0.4279394741661057	-2.4253650558541877	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.42454333124839666	-2.424986061535464	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.41573297057319725	-2.424785805507093	<0.0001	<0.0001	U937
CPC012_NEU_24H:BRD-K02130563-001-06-4:10	DB06603	Panobinostat	-0.44813679069719886	-2.4189108344600774	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.38942784920536194	-2.4035828149771783	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.43433606907057176	2.399612206472343	<0.0001	<0.0001	NPC
CPC012_NEU_24H:BRD-K68202742-001-06-6:10	DB04297	Trichostatin A	-0.4490031782046518	-2.3841136746603144	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.43547060790616876	-2.380818523166599	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K81418486:10	DB02546	Vorinostat	-0.4304612121004339	-2.370114650857719	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4122985921921002	-2.349395733128743	<0.0001	<0.0001	NOMO1
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.39872897752167574	2.3326415725979217	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.4195227446982309	-2.323029912512922	<0.0001	<0.0001	NEU
NMH001_NEU_24H:BRD-A19037878-001-02-3:10	DB04297	Trichostatin A	-0.42593420412254435	-2.3178978275175677	<0.0001	<0.0001	NEU
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.42234958095848063	-2.3153623364016447	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4036406968417384	-2.3064855456330484	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3387411220236655	2.295728854295603	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.338988058467422	2.2862315348749247	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.3868381471184001	-2.283110979733465	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K99792991-001-29-9:10	DB00756	Hexachlorophene	0.3811987940157859	2.281244154350946	<0.0001	<0.0001	NPC
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.3662332064747108	-2.2808320779283995	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A03	DB02546	Vorinostat	-0.3999631644279873	-2.2748544302615277	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.33478579459807617	-2.2659553905143976	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K81418486:10	DB02546	Vorinostat	-0.39992010994678306	-2.2573252539004587	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.39371715786847405	-2.2539852773322284	<0.0001	<0.0001	NEU
LJP009_NEU_24H:I22	DB11363	Alectinib	-0.4063207862804059	-2.2428087506941643	<0.0001	<0.0001	NEU
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.43525891558635393	2.238923513529778	<0.0001	<0.0001	NPC
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.373284231814663	2.2356562104531728	<0.0001	<0.0001	NEU
NMH002_NEU_24H:BRD-A19037878-001-02-3:10	DB04297	Trichostatin A	-0.3876139791652327	-2.2259119796358617	<0.0001	<0.0001	NEU
LJP009_NPC_24H:K10	DB11962	GSK-1059615	0.39000735554772875	2.2213948295358614	<0.0001	<0.0001	NPC
CPC006_PL21_6H:BRD-K61250553-003-13-2:10	DB00836	Loperamide	0.38534790753664855	2.218443084443067	<0.0001	<0.0001	PL21
NMH002_NEU_24H:BRD-K68202742-001-08-2:10	DB04297	Trichostatin A	-0.3967260953147961	-2.212832151497185	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:P24	DB11886	Infigratinib	0.4073701238483751	2.211130172209505	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.37036605195577854	-2.2097845135789447	<0.0001	<0.0001	NEU
LJP008_NPC_24H:B03	DB00877	Sirolimus	0.43221716193764526	2.2053466384766933	<0.0001	<0.0001	NPC
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.3450317019450104	-2.201919593319169	<0.0001	<0.0001	NEU
LJP007_NPC_24H:D11	DB08875	Cabozantinib	0.3736889754495893	2.1926133082944452	<0.0001	<0.0001	NPC
NMH002_NEU_24H:BRD-K45528773-001-04-9:10	DB02565	4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide	-0.3894626809321023	-2.1884545647558484	<0.0001	<0.0001	NEU
