ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00933	DB07080	Mesoridazine	TO-901317	2.0	N		False	False
DB00933	DB08175	Mesoridazine	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.8333333333333335	N		False	False
DB04599	DB01626	Aniracetam	Pargyline	1.6666666666666665	N	C	True	False
DB01200	DB01626	Bromocriptine	Pargyline	1.5166666666666666	G, N	C	False	False
DB00933	DB03880	Mesoridazine	Batimastat	1.5	N		False	False
DB00762	DB00933	Irinotecan	Mesoridazine	1.5	L	N	False	False
DB04599	DB03880	Aniracetam	Batimastat	1.5	N		False	False
DB08597	DB00933	Dorsomorphin	Mesoridazine	1.5		N	False	False
DB00933	DB01626	Mesoridazine	Pargyline	1.5	N	C	True	False
DB01030	DB00933	Topotecan	Mesoridazine	1.5	L	N	False	False
DB04842	DB07080	Fluspirilene	TO-901317	1.5	N		False	False
DB04599	DB01030	Aniracetam	Topotecan	1.5	N	L	False	False
DB04599	DB00762	Aniracetam	Irinotecan	1.5	N	L	False	False
DB01184	DB07080	Domperidone	TO-901317	1.5	A		False	False
DB01626	DB00248	Pargyline	Cabergoline	1.4704545454545455	C	G, N	False	False
DB00933	DB07780	Mesoridazine	Farnesyl diphosphate	1.4444444444444446	N		True	False
DB00925	DB01626	Phenoxybenzamine	Pargyline	1.4375	C	C	False	False
DB08597	DB04842	Dorsomorphin	Fluspirilene	1.4333333333333336		N	False	False
DB01626	DB01614	Pargyline	Acepromazine	1.4166666666666665	C	N	True	False
DB00933	DB07557	Mesoridazine	3,20-Pregnanedione	1.4166666666666665	N		False	False
DB01622	DB01626	Thioproperazine	Pargyline	1.4166666666666665	N	C	True	False
DB00933	DB07841	Mesoridazine	Geranylgeranyl diphosphate	1.4126984126984126	N		True	False
DB00933	DB01262	Mesoridazine	Decitabine	1.4	N	L	False	False
DB00933	DB07863	Mesoridazine	2-chloro-5-nitro-N-phenylbenzamide	1.4	N		False	False
DB01392	DB01626	Yohimbine	Pargyline	1.375	G	C	True	False
DB01626	DB06153	Pargyline	Pizotifen	1.3627450980392157	C	N	False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB08597	DB00248	Dorsomorphin	Cabergoline	1.3340909090909092		G, N	False	False
DB00679	DB01626	Thioridazine	Pargyline	1.3333333333333335	N	C	True	False
DB08175	DB01184	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Domperidone	1.3333333333333335		A	False	False
DB04842	DB01262	Fluspirilene	Decitabine	1.3333333333333335	N	L	False	False
DB08175	DB04842	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Fluspirilene	1.3333333333333333		N	False	False
DB08597	DB01200	Dorsomorphin	Bromocriptine	1.3166666666666664		G, N	False	False
DB00247	DB01626	Methysergide	Pargyline	1.3125	N	C	True	False
DB00246	DB01626	Ziprasidone	Pargyline	1.3076923076923077	N	C	True	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB00363	DB01626	Clozapine	Pargyline	1.2975734355044701	N	C	False	False
DB08597	DB01614	Dorsomorphin	Acepromazine	1.2916666666666665		N	False	False
DB00734	DB01626	Risperidone	Pargyline	1.2916666666666665	N	C	True	False
DB00762	DB00248	Irinotecan	Cabergoline	1.2886363636363638	L	G, N	False	False
DB01030	DB00248	Topotecan	Cabergoline	1.2886363636363638	L	G, N	False	False
DB00933	DB00594	Mesoridazine	Amiloride	1.287878787878788	N	C	False	False
DB04599	DB01262	Aniracetam	Decitabine	1.2857142857142856	N	L	False	False
DB00408	DB01626	Loxapine	Pargyline	1.28125	N	C	True	False
