# Reference distribution mean: 0.5704577990071876 and standard deviation: 1.5366575299087482
# Threshold: 0.84
# 21.07% of reference distribution below threshold, 26.26% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB00746	-7.859026979751538	-5.485597548374553	Deferoxamine
DB03754	-7.859026979751538	-5.485597548374553	Tromethamine
DB12274	-7.859026979751538	-5.485597548374553	Aducanumab
DB05938	-7.859026979751538	-5.485597548374553	Edonerpic
DB05846	-7.859026979751538	-5.485597548374553	Mito-4509
DB09148	-7.859026979751538	-5.485597548374553	Florbetaben (18F)
DB09151	-7.859026979751538	-5.485597548374553	Flutemetamol (18F)
DB05150	-7.859026979751538	-5.485597548374553	CAD106
DB02235	-7.859026979751538	-5.485597548374553	L-methionine (R)-S-oxide
DB09149	-7.859026979751538	-5.485597548374553	Florbetapir (18F)
DB06782	-7.859026979751538	-5.485597548374553	Dimercaprol
DB05088	-7.859026979751538	-5.485597548374553	Tetrathiomolybdate
DB16640	-7.445417556701687	-5.216435802832974	Almonertinib
DB13164	-7.445417556701687	-5.216435802832974	Olmutinib
DB05101	-7.445417556701687	-5.216435802832974	Matuzumab
DB11737	-7.445417556701687	-5.216435802832974	Icotinib
DB11828	-7.445417556701687	-5.216435802832974	Neratinib
DB05424	-7.445417556701687	-5.216435802832974	Canertinib
DB16390	-7.445417556701687	-5.216435802832974	Mobocertinib
DB07602	-7.445417556701687	-5.216435802832974	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB09330	-7.445417556701687	-5.216435802832974	Osimertinib
DB09559	-7.445417556701687	-5.216435802832974	Necitumumab
DB05524	-7.445417556701687	-5.216435802832974	Pelitinib
DB01269	-7.445417556701687	-5.216435802832974	Panitumumab
DB05374	-7.445417556701687	-5.216435802832974	Rindopepimut
DB00317	-7.445417556701687	-5.216435802832974	Gefitinib
DB11963	-7.445417556701687	-5.216435802832974	Dacomitinib
DB12202	-7.445417556701687	-5.216435802832974	Zalutumumab
DB07502	-7.00397413672268	-4.929160719486835	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB07495	-7.00397413672268	-4.929160719486835	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB02359	-7.00397413672268	-4.929160719486835	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB02550	-7.00397413672268	-4.929160719486835	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
