Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
AML001_HL60_6H:BRD-A19500257:0.37037	DB02424	Geldanamycin	0.5556308686506478	2.658147866231648	<0.0001	<0.0001	HL60
AML001_HL60_6H:BRD-A19500257:3.33333	DB02424	Geldanamycin	0.5321589552406678	2.5174154931131913	<0.0001	<0.0001	HL60
AML001_HL60_6H:BRD-A19500257:1.11111	DB02424	Geldanamycin	0.5282403610495566	2.4618523900323983	<0.0001	<0.0001	HL60
CPC006_SKM1_6H:BRD-K61033289-001-01-2:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.4976098674665534	2.4489323798792038	<0.0001	<0.0001	SKM1
CPC006_U937_6H:BRD-K61033289-001-01-2:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.5096070992032096	2.4480782894711854	<0.0001	<0.0001	U937
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4945144086781949	-2.3340194396596172	<0.0001	<0.0001	PL21
NMH001_NPC_6H:BRD-A33749298-002-01-7:10	DB03585	Oxyphenbutazone	0.48979247367805606	2.3247566841141336	<0.0001	<0.0001	NPC
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4829727099296758	-2.315593093545594	<0.0001	<0.0001	U937
AML001_U937_6H:BRD-A19500257:10	DB02424	Geldanamycin	0.4756039322713612	2.2649606422285773	<0.0001	<0.0001	U937
AML001_U937_6H:BRD-A19500257:0.37037	DB02424	Geldanamycin	0.468449514064535	2.257068824760823	<0.0001	<0.0001	U937
DOSBIO002_NEU_24H:BRD-A19500257:10	DB02424	Geldanamycin	0.46367576161025864	2.24335773994627	<0.0001	<0.0001	NEU
CPC006_SKM1_6H:BRD-K81473043-001-04-7:0.35	DB05134	Tanespimycin	0.45138037784322826	2.209006569618207	<0.0001	<0.0001	SKM1
AML001_HL60_6H:BRD-A19500257:10	DB02424	Geldanamycin	0.4614247433090154	2.201939668024468	<0.0001	<0.0001	HL60
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4405050332714237	-2.1926921775786137	<0.0001	<0.0001	U937
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.41280334093929305	-2.1489250321601507	<0.0001	<0.0001	NPC.TAK
KMS002_THP1_6H:BRD-K81418486-001-01-2:9.99	DB02546	Vorinostat	0.41734157934422683	2.141281882694506	<0.0001	<0.0001	THP1
CPC006_SKM1_6H:BRD-A19500257:10	DB02424	Geldanamycin	0.4304535166460981	2.1384931637319835	<0.0001	<0.0001	SKM1
CPC006_PL21_6H:BRD-K52075040-001-03-0:44.4	DB01034	Cerulenin	0.4546623831029023	2.1267986323866315	<0.0001	<0.0001	PL21
CPC015_NPC_24H:BRD-K76205745-001-04-1:10	DB00678	Losartan	-0.4140500606639348	-2.1255935842915714	<0.0001	<0.0001	NPC
CPC006_THP1_6H:BRD-K88510285-001-01-2:0.04	DB00188	Bortezomib	0.45413805558429604	2.118316367515642	<0.0001	<0.0001	THP1
CPC006_PL21_6H:BRD-K78659596-001-01-3:10	DB09570	Ixazomib	0.46876762533070226	2.1123456405032575	<0.0001	<0.0001	PL21
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4384298861608622	-2.108355239269533	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.39784306924067164	-2.1052770218943655	<0.0001	<0.0001	NPC.TAK
LJP007_JURKAT_24H:A04	DB05134	Tanespimycin	0.4440904215624204	2.1015567521481517	<0.0001	<0.0001	JURKAT
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.42914251872712	-2.0984767329066334	<0.0001	<0.0001	NPC.TAK
CPC016_NEU_24H:BRD-K86204871-001-02-2:10	DB00251	Terconazole	-0.42849183689814535	-2.094330153787448	<0.0001	<0.0001	NEU
DOSBIO002_NPC_24H:BRD-A19500257:0.37037	DB02424	Geldanamycin	0.4305184265529623	2.0845063346994808	<0.0001	<0.0001	NPC
CPC006_U937_6H:BRD-K88510285-001-01-2:0.04	DB00188	Bortezomib	0.4148131069412151	2.08395707293322	<0.0001	<0.0001	U937
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.40671331155813695	-2.0831474354850994	<0.0001	<0.0001	THP1
CPC006_PL21_6H:BRD-K33583600-001-09-6:10	DB03285	Isoliquiritigenin	0.4128658163278263	2.061413726454872	<0.0001	<0.0001	PL21
CPC014_NEU_24H:BRD-K33551950-001-01-6:10	DB03758	Radicicol	0.4410776444603226	2.0611177483438334	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-K31342827-001-05-4:12.12	DB03777	Bisindolylmaleimide I	-0.43281615145825375	-2.0580625097827467	<0.0001	<0.0001	THP1
LPROT002_NPC.TAK_6H:K06	DB06803	Niclosamide	0.4213316188322759	2.0556897829738165	<0.0001	<0.0001	NPC.TAK
NMH001_NEU_6H:BRD-A33749298-002-01-7:10	DB03585	Oxyphenbutazone	0.4287182786329195	2.05470041559565	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:O04	DB07101	PD-0325901	0.43000336255486793	2.0530079287855685	<0.0001	<0.0001	JURKAT
CPC006_SKM1_6H:BRD-K33583600-001-09-6:10	DB03285	Isoliquiritigenin	0.41561590665649495	2.0498869051516113	<0.0001	<0.0001	SKM1
CPC013_NPC_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.40302639081944985	-2.0467725622224067	<0.0001	<0.0001	NPC
CPC006_SKM1_6H:BRD-A79768653-001-02-1:10	DB00877	Sirolimus	0.4185628492362313	2.03409264300494	<0.0001	<0.0001	SKM1
CPC006_U937_6H:BRD-A19500257:10	DB02424	Geldanamycin	0.4137144548303184	2.0304587034990873	<0.0001	<0.0001	U937
LJP007_JURKAT_24H:O01	DB07101	PD-0325901	0.41104969891087084	2.011158153635202	<0.0001	<0.0001	JURKAT
CPC006_PL21_6H:BRD-K15108141-001-01-7:0.08	DB00441	Gemcitabine	-0.41297758096964865	-2.0107212723539774	<0.0001	<0.0001	PL21
LJP007_NPC.CAS9_24H:M22	DB12874	Quizartinib	0.39548493894993736	2.0021356171116578	<0.0001	<0.0001	NPC.CAS9
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.3773252213548512	-1.9950213314983851	<0.0001	<0.0001	WSUDLCL2
CPC015_NPC_24H:BRD-A04553218-050-08-9:10	DB13679	Dexchlorpheniramine	0.36998360784833706	1.9912987259683432	<0.0001	<0.0001	NPC
CPC006_U937_6H:BRD-K33583600-001-09-6:10	DB03285	Isoliquiritigenin	0.40641501315993817	1.9832012435977286	<0.0001	<0.0001	U937
NMH002_NPC_6H:BRD-K61559475-001-07-7:10	DB14122	Dihydroxymethoxychalcone	0.37552005028922214	1.981402509695471	<0.0001	<0.0001	NPC
CPC006_PL21_6H:BRD-K61033289-001-01-2:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.4089100495256453	1.9802083307627771	<0.0001	<0.0001	PL21
LPROT003_NPC_6H:J01	DB08881	Vemurafenib	-0.39400336514665785	-1.9758665903516917	<0.0001	<0.0001	NPC
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.405943196343974	-1.9743003296792387	<0.0001	<0.0001	NOMO1
CPC018_NPC_24H:BRD-K51662849-001-03-9:10	DB02255	Ilomastat	0.37080004235894526	1.9712406694430002	<0.0001	<0.0001	NPC
CPC006_THP1_6H:BRD-K61033289-001-01-2:10	DB08435	(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	0.40702814382141056	1.9668054709484448	<0.0001	<0.0001	THP1
CPC006_SKM1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.35147125374260274	-1.9633152351053498	<0.0001	<0.0001	SKM1
NMH002_NEU_24H:BRD-K18910433-001-24-2:10	DB00783	Estradiol	-0.3989159458520118	-1.9545846016052404	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M07	DB05575	Motesanib	0.3357235862829187	1.9510425827268207	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:F01	DB12848	PF-04217903	0.39432974785238534	1.9495596855160326	<0.0001	<0.0001	JURKAT
LJP007_JURKAT_24H:E01	DB11743	Ipatasertib	0.39602468053910356	1.9410265617872826	<0.0001	<0.0001	JURKAT
CPC006_U937_6H:BRD-K78659596-001-01-3:10	DB09570	Ixazomib	0.4019855859820741	1.9379853748887892	<0.0001	<0.0001	U937
CPC006_PL21_6H:BRD-K81473043-001-04-7:0.35	DB05134	Tanespimycin	0.3709119286746749	1.9372886183787488	<0.0001	<0.0001	PL21
CPC016_NPC_24H:BRD-K11399644-003-03-0:10	DB00914	Phenformin	0.3839038016654621	1.9372249597355706	<0.0001	<0.0001	NPC
CPC016_NPC_24H:BRD-A22684332-003-03-1:10	DB01366	Procaterol	-0.3801884814155261	-1.9338842522616477	<0.0001	<0.0001	NPC
CPC006_NOMO1_6H:BRD-K88510285-001-01-2:0.04	DB00188	Bortezomib	0.4031186265117444	1.9316915605296097	<0.0001	<0.0001	NOMO1
AML001_U937_6H:BRD-A19500257:1.11111	DB02424	Geldanamycin	0.38935246056045925	1.9313292596738671	<0.0001	<0.0001	U937
CPC006_PL21_6H:BRD-A58048407-001-10-5:10	DB00393	Nimodipine	-0.36999206494368725	-1.931246568392038	<0.0001	<0.0001	PL21
LJP008_NPC_24H:L22	DB05015	Belinostat	-0.39659853732552924	-1.9277804598102966	<0.0001	<0.0001	NPC
AML001_U937_6H:BRD-A19500257:3.33333	DB02424	Geldanamycin	0.3944173931432591	1.9247031254453242	<0.0001	<0.0001	U937
LJP009_NPC_24H:B21	DB16107	BI 2536	0.39974031423032463	1.9217480354810221	<0.0001	<0.0001	NPC
CPC017_NPC_24H:BRD-K48970916-001-03-0:10	DB01406	Danazol	0.38072456492772744	1.9179668272108825	<0.0001	<0.0001	NPC
AML001_U937_24H:BRD-K93754473:4.48614	DB00675	Tamoxifen	0.376520138936387	1.917179511695842	<0.0001	<0.0001	U937
DOSBIO001_NPC_24H:BRD-A19500257:1.11111	DB02424	Geldanamycin	0.4106820507146093	1.9164630532683942	<0.0001	<0.0001	NPC
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.3714841456600644	-1.9147546546993615	<0.0001	<0.0001	NPC.CAS9
AML001_U937_6H:BRD-K19706299:3.33333	DB00374	Treprostinil	0.3980792089641656	1.9079928626250253	<0.0001	<0.0001	U937
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.3699515149234112	-1.900259138241292	<0.0001	<0.0001	NPC.CAS9
CPC006_PL21_6H:BRD-A75409952:10	DB08059	Wortmannin	0.43454039979545117	1.898766413179242	<0.0001	<0.0001	PL21
DOSBIO001_NEU_24H:BRD-A19500257:10	DB02424	Geldanamycin	0.4031419188295824	1.8949497820654764	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-K96354014-001-09-6:10	DB01115	Nifedipine	-0.37290213316308884	-1.894903170327447	<0.0001	<0.0001	THP1
CPC015_NPC_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.3854997290781452	-1.8928424041075682	<0.0001	<0.0001	NPC
