# Reference distribution mean: 1.355723674876585 and standard deviation: 0.7480387002189478
# Threshold: 0.89
# 2.51% of reference distribution below threshold, 3.11% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB00746	-7.859026979751538	-12.318548026901555	Deferoxamine
DB03754	-7.859026979751538	-12.318548026901555	Tromethamine
DB09151	-7.859026979751538	-12.318548026901555	Flutemetamol (18F)
DB09148	-7.859026979751538	-12.318548026901555	Florbetaben (18F)
DB09149	-7.859026979751538	-12.318548026901555	Florbetapir (18F)
DB02235	-7.859026979751538	-12.318548026901555	L-methionine (R)-S-oxide
DB05150	-7.859026979751538	-12.318548026901555	CAD106
DB05088	-7.859026979751538	-12.318548026901555	Tetrathiomolybdate
DB06782	-7.859026979751538	-12.318548026901555	Dimercaprol
DB12274	-7.859026979751538	-12.318548026901555	Aducanumab
DB05846	-7.859026979751538	-12.318548026901555	Mito-4509
DB05938	-7.859026979751538	-12.318548026901555	Edonerpic
DB11942	-7.247792581767846	-11.501432016988183	Selinexor
DB07601	-7.00397413672268	-11.175488392716067	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB07495	-7.00397413672268	-11.175488392716067	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB03749	-7.00397413672268	-11.175488392716067	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB03504	-7.00397413672268	-11.175488392716067	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB07502	-7.00397413672268	-11.175488392716067	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB03899	-7.00397413672268	-11.175488392716067	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB03809	-7.00397413672268	-11.175488392716067	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB02550	-7.00397413672268	-11.175488392716067	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB12442	-7.00397413672268	-11.175488392716067	Alvespimycin
DB06956	-7.00397413672268	-11.175488392716067	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB06957	-7.00397413672268	-11.175488392716067	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06958	-7.00397413672268	-11.175488392716067	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
