	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AB1, HSP90AA1	-11.075480442309313	<0.0001
1	DB02424	Geldanamycin		HSP90B1, HSP90AB1, HSP90AA1	-7.5421675637251715	<0.0001
2	DB03758	Radicicol		DLAT, HSP90B1, PDK3, HSP90AB1	-3.100524477893306	<0.0001
3	DB12695	Phenethyl Isothiocyanate		ATP5MG, HSPA4, TUBB1, CYB5B, RANBP1, TPM1, MT-ND1, USP14, YWHAB, ACTB, PAPPA, TUBB3, SF3A3, SUCLG2, ACTA2, PSMC3, TPM3, TUBA3C, PSMA3, S100A10, TUBB4B, YWHAH, FBXO41, YWHAQ, TUBA4A, VCP, UCHL1, DIABLO, HSPE1, HSPB1, HNRNPK, YWHAZ, HSPH1, HNRNPF, SMARCE1, TPD52L2, VIM, NUDC, TXN, YWHAE, ATP5ME, TUBB2A, TPM4, TUBA1A, ATP5F1B	-1.0251267974510794	<0.0001
4	DB08756	Y-27632		ROCK1, ROCK2, PRKACA, PKIA	-2.51006098766696	0.0049378585678351485
5	DB02709	Resveratrol	Being investigated for the treatment of Herpes labialis infections (cold sores).	NR1I3, CSNK2A1, PTGS1, ITGB3, PTGS2, KHSRP, NR1I2, PI4K2B, SIRT1, NQO2, PPARA, ALOX15, ESR1, ITGA5, AKT1, YARS1, MTNR1B, ALOX5, SNCA, AHR, SLC2A1, MTNR1A, CLEC14A, APP, CBR1, PPARG	-0.8282090280699304	0.005845367554071483
6	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE		PTK2	-9.220094118146951	0.02605868191232678
7	DB08080	Latrunculin B		SPIRE2, MRTFA, ACTA1	-2.428215571248154	0.027566061703706495
8	DB04216	Quercetin		CSNK2A1, CYP1B1, RUVBL2, SF3B3, NR1I2, CEBPB, ACTB, HIBCH, EIF3F, SHBG, NQO2, ESR2, ESR1, ATP5F1C, HSP90AA1, UBA1, HCK, PIK3CG, UGT3A1, ATP5F1A, CSNK2B, PIM1, AHR, STK17B, HSPA2, CBR1, ATP5F1B	-0.9794948082972147	0.03912881860752184
9	DB06152	Nylidrin	Nylidrin is mainly indicated in conditions like arteriosclerosis, cerebrovascular disease, peripheral vascular disease, Raynaud's disease, thrombo-angitis obliterans, and thrombophlebitis [L2285]. It may sometimes be used in the treatment of peripheral vascular disorders in addition premature labor (however, the drug is not approved for premature labor)[A32531].	IFNAR2, CACNA1I	-3.0049494647506725	0.08276803364723075
10	DB12340	Navitoclax		BCL2L2, BCL2, BAD	-2.868750440707189	0.0940354452962829
11	DB01229	Paclitaxel	Used in the treatment of Kaposi's sarcoma and cancer of the lung, ovarian, and breast. Abraxane® is specfically indicated for the treatment of metastatic breast cancer and locally advanced or metastatic non-small cell lung cancer.	TUBB1, MAP4, BCL2, NR1I2, MAP2, MAPT	-1.8949509953825028	0.1165403205774818
12	DB01248	Docetaxel	For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. It is also used in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer. Furthermore, docetaxel has uses in the treatment of gastric adenocarinoma and head and neck cancer. 	TUBB1, MAP4, BCL2, NR1I2, MAP2, MAPT	-1.8949509953825028	0.1580236496559291
13	DB12191	Obatoclax		BCL2	-8.991996939510576	0.17922271191563838
14	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-11.175488392716067	0.20047406937209067
