Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.48312647773248774	-2.733549861498532	<0.0001	<0.0001	PL21
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.39485424234574185	-2.5177999569794944	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.40203278123636654	-2.4721224162377267	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4226336090372213	-2.454213110918956	<0.0001	<0.0001	NPC.CAS9
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4204692960826235	-2.422483438849412	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.4059984090132434	-2.372546444761152	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.34074868632445093	2.3570697511496723	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.33521017465267244	-2.3565803482101364	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.3802256485639946	-2.3420420531384414	<0.0001	<0.0001	THP1
NMH002_NPC_6H:BRD-A62336480-003-01-3:10	DB14068	Dexniguldipine	0.40570853373234234	2.2794958419941986	<0.0001	<0.0001	NPC
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.36421725789333953	-2.2648635503510492	<0.0001	<0.0001	NPC.TAK
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.3872708416687567	-2.258962907263747	<0.0001	<0.0001	NOMO1
CPC014_NEU_24H:BRD-K19540840-001-02-9:10	DB11805	Saracatinib	-0.36518598973721567	-2.213052652837088	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D19	DB06616	Bosutinib	-0.3336514277295031	-2.206323554701998	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.33161325098717326	-2.1864071872244994	<0.0001	<0.0001	NPC.TAK
LPROT002_NPC.TAK_6H:K06	DB06803	Niclosamide	0.37313952976894854	2.184969474523803	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.36430182437935055	2.1704158209093705	<0.0001	<0.0001	NEU
