# Reference distribution mean: 0.47996539179436987 and standard deviation: 1.6106617233072555
# Threshold: 0.55
# 21.15% of reference distribution below threshold, 17.19% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB09149	-7.859026979751538	-5.1773704253820725	Florbetapir (18F)
DB09148	-7.859026979751538	-5.1773704253820725	Florbetaben (18F)
DB09151	-7.859026979751538	-5.1773704253820725	Flutemetamol (18F)
DB05088	-7.859026979751538	-5.1773704253820725	Tetrathiomolybdate
DB05846	-7.859026979751538	-5.1773704253820725	Mito-4509
DB12274	-7.859026979751538	-5.1773704253820725	Aducanumab
DB05150	-7.859026979751538	-5.1773704253820725	CAD106
DB03754	-7.859026979751538	-5.1773704253820725	Tromethamine
DB02235	-7.859026979751538	-5.1773704253820725	L-methionine (R)-S-oxide
DB05938	-7.859026979751538	-5.1773704253820725	Edonerpic
DB06782	-7.859026979751538	-5.1773704253820725	Dimercaprol
DB00746	-7.859026979751538	-5.1773704253820725	Deferoxamine
DB09369	-7.751045117971802	-5.1103285008009065	Polyestradiol phosphate
DB03802	-7.751045117971802	-5.1103285008009065	1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB00269	-7.751045117971802	-5.1103285008009065	Chlorotrianisene
DB05233	-7.751045117971802	-5.1103285008009065	AP1081
DB02715	-7.751045117971802	-5.1103285008009065	Compound 18
DB08737	-7.751045117971802	-5.1103285008009065	(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL
DB12450	-7.751045117971802	-5.1103285008009065	Propyl Gallate
DB07991	-7.751045117971802	-5.1103285008009065	N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE
DB05662	-7.751045117971802	-5.1103285008009065	NP-50301
DB07567	-7.751045117971802	-5.1103285008009065	(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL
DB11541	-7.751045117971802	-5.1103285008009065	Ractopamine
DB09317	-7.751045117971802	-5.1103285008009065	Synthetic Conjugated Estrogens, A
DB00947	-7.751045117971802	-5.1103285008009065	Fulvestrant
DB04471	-7.751045117971802	-5.1103285008009065	2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB04575	-7.751045117971802	-5.1103285008009065	Quinestrol
DB04938	-7.751045117971802	-5.1103285008009065	Ospemifene
DB03742	-7.751045117971802	-5.1103285008009065	Compound 4-D
