GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0035235	ionotropic glutamate receptor signaling pathway	11	0.010280373831775701	9.207192198293377	5.362962897645658e-09	6.481676958094542e-06	5.188312617674838	6.481676958094542e-05	GRIA3, GRID2, GRIA1, GRIK1, APP, CPEB4, GRIN2B, GRIN2A, GRIA2, GRIK2, GRID1
GO:0019228	neuronal action potential	12	0.011214953271028037	7.452155562255049	2.0440301728463667e-08	1.7645820477872276e-05	4.7533581434401295	0.0002470414866902119	DRD1, KCNA2, GPR88, GRIA1, KCNQ3, SCN1A, ANK3, KCNA1, KCND2, GPRIN3, SCN2A, GRIK2
GO:0035249	synaptic transmission, glutamatergic	13	0.012149532710280374	5.958767245215843	1.162617027808466e-07	7.806327443385066e-05	4.107553235802307	0.001405138939809312	GRIA3, GRID2, GRIA1, PRKN, CACNB4, GRIK2, GRIK1, GRIN2B, GRIN2A, GRIA2, CDH8, DSCAM, GRID1
GO:0060291	long-term synaptic potentiation	18	0.016822429906542057	5.873309044828132	5.620578589807458e-10	1.1321718806068824e-06	5.946087635751477	6.793031283641294e-06	DRD1, GRIA3, CALM2, GRIA1, CAMK2B, CAMK2D, BRAF, SNAP25, VAMP2, CAMK2A, GRIN2A, GRIN2B, CALM1, LARGE1, SLC8A3, NTRK2, MAPK1, NF1
GO:0060078	regulation of postsynaptic membrane potential	16	0.014953271028037384	5.310731550112795	2.5514525840998454e-08	1.9273034957144208e-05	4.715049890878738	0.0003083685593143073	KCNA2, GRIA3, GRID2, GRIA1, GABRB1, GLRB, GRIK1, GABRG3, GRM5, KCND2, GABRA4, GRIN2A, GRIA2, RGS7BP, GABRG2, GRID1
GO:0007612	learning	17	0.01588785046728972	5.034982027318476	2.25712345006395e-08	1.8186396011648602e-05	4.740253356314761	0.000272795940174729	DRD1, PRKN, PAK5, APP, CNTNAP2, PLCB1, GRM5, SLC8A3, GRIN2A, NRXN3, NTRK2, ATP8A1, FYN, NLGN4Y, NRXN1, ATXN1, GABRB3
GO:0050804	modulation of chemical synaptic transmission	24	0.022429906542056073	3.882635671090866	8.82156292802451e-09	8.884784129008686e-06	5.051353119656007	0.00010661740954810422	EPHA7, CDKL5, FYN, PRKN, GRIA1, PPP3CA, NLGN1, NTNG1, GRIK1, GRM5, CACNA1A, GRIA2, DLGAP2, GRID1, GRIA3, GRID2, RTN4, GRIN2A, GRIK2, DLGAP1, CDH11, LRRC4C, ARHGAP44, PAFAH1B1
GO:0001764	neuron migration	26	0.024299065420560748	3.791942792410082	3.6248666245031356e-09	5.476267252968113e-06	5.261515365567789	4.3810138023744895e-05	NRCAM, ASTN2, DCX, CDKL5, FYN, ASTN1, PCM1, DCC, ADGRL3, MAP1B, CELSR2, ABI2, BBS1, LARGE1, GPM6A, HSP90AA1, MYH10, FZD3, LRP12, NEO1, RAPGEF2, SDCCAG8, AUTS2, FAT3, NTRK2, PAFAH1B1
GO:0031175	neuron projection development	30	0.028037383177570093	3.632339975312996	6.8894068780256e-10	1.1895053075402485e-06	5.9246336158122554	8.32653715278174e-06	PTPRG, CNTNAP2, CYFIP2, CAMSAP2, STMN2, PTPRK, VPS13B, NLGN1, MAP1B, RAPGEF6, FRYL, APP, ALCAM, HERC1, GPM6A, CNTN1, PTPRT, MAP2, GSK3B, SH3GL2, MYH10, GPRIN3, NEDD4L, LRP12, RAPGEF2, FRY, RASGRF1, BLOC1S6, NRXN1, PPP1R9A
GO:0007268	chemical synaptic transmission	41	0.038317757009345796	3.3025417432448285	1.2931578353341386e-11	7.814552798924199e-08	7.107095870174112	1.5629105597848398e-07	GLS, PDE7B, CACNB4, AKAP9, PENK, SDCBP, GRIN2B, GRM7, KCND2, GABRG2, DLG1, GRIA1, SLITRK5, GRIK1, SNAP25, DTNA, GRM5, EXOC4, CACNA1A, FGF12, APP, LARGE1, GABRB3, RPS6KA2, KCNQ3, CACNA1E, GRIN2A, HTR1E, SLC1A2, MAPK1, CDH8, GRIK2, DLGAP1, GLRB, SYT1, DLG2, SV2C, PCDHB14, NRXN1, TAC1, PAFAH1B1
