GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0098839	postsynaptic density membrane	38	0.03551401869158879	6.147506479227205	2.608219532940848e-20	8.215891528763671e-18	17.085345303194902	4.9295349172582027e-17	EPHA7, PRRT2, NRCAM, ADGRB3, NETO1, ADAM22, GRIN2B, DLG1, DCC, GRIA1, SLITRK5, ASIC2, GRIK1, CACNG5, ATP2B2, GRM5, KCNH1, GRIA2, GRID1, LRRTM3, GRIA3, CACNA1C, GRID2, SYNDIG1, SLC16A7, ERBB4, GRIN2A, RGS7BP, GPR158, GRIK2, LIN7A, IQSEC1, DLG2, PTPRO, LRRC4C, NEO1, NLGN4Y, NSG2
GO:0043197	dendritic spine	40	0.037383177570093455	5.203081586259156	2.182776473175805e-18	4.125447534302271e-16	15.38452893168733	4.125447534302271e-15	SEPTIN11, DNM3, KCNN2, PRRT2, ZNF804A, SIPA1L1, ARHGAP32, KCND2, GPHN, GABRG2, PPFIA2, GRIA1, PPP3CA, NLGN1, ASIC2, MAP1B, CPEB4, CAMK2A, GRM5, ABI2, SLC8A3, ANKS1B, GRIA2, APP, GABRB3, GRID1, GRIA3, GPM6A, GRID2, SYNDIG1, MYH10, ZMYND8, GRIN2A, DGKI, DRD1, TANC2, CTTNBP2, PTPRO, NTRK2, ARHGAP44
GO:0098982	GABA-ergic synapse	26	0.024299065420560748	4.509337374757936	6.633169798947373e-11	7.374524070594433e-09	8.132266002493413	1.2536690920010534e-07	NSF, MKLN1, GABRB1, GABRG3, CNTNAP2, CNTN5, KCND2, GPHN, GABRG2, GNAO1, NLGN1, CNR1, SLC4A10, ATP2B2, PLCB1, GABRB3, GRID1, KIF5C, CACNA2D1, ERBB4, DRD1, GLRB, PTPRO, CACNA2D3, GABRA4, NRXN1
GO:0042734	presynaptic membrane	34	0.03177570093457944	4.4527051942272236	1.1648134870983306e-13	1.4676649937438966e-11	10.833373064291848	2.2014974906158446e-10	PRRT2, CNTNAP2, CNTN5, PPFIA2, ATP2B1, GRIA1, GNAO1, CNR1, DENND1A, GRIK1, SNAP25, ADAM23, KCNH1, ZDHHC17, RIMS2, PICALM, CNTN1, FLRT2, ERBB4, GRIN2A, SLC1A2, RGS7BP, GPR158, GRIK2, KCNA2, DRD1, ERC1, KCNA1, SYT1, KCNJ3, VAMP2, NRXN3, RIMS1, NRXN1
GO:0014069	postsynaptic density	58	0.05420560747663551	4.311124742900444	1.2653869524164302e-21	5.978953350167632e-19	18.223374835080236	2.3915813400670533e-18	ARHGAP44, DNM3, CAMK2B, CTNND2, NETO1, SIPA1L1, ARHGAP32, GRIN2B, FYN, INSYN2A, PRKN, GPHN, DLG1, OPCML, PPFIA2, GRIA1, NLGN1, CAMK2D, CACNG5, SOS1, MAP1B, CPEB4, CPEB3, CAMK2A, ADD2, SLC8A3, ANKS1B, GRIA2, DLGAP2, DAPK1, CACNA1C, RTN3, KALRN, SYNDIG1, LRRC7, ADD1, SLC8A1, SPTBN1, RTN4, GRIN2A, DGKI, CNKSR2, DNAJC6, GRIK2, DLGAP1, BMPR2, PLEKHA5, IQSEC1, RTN1, CTNNA2, DTNB, SYT1, DLG2, CABP1, PKP4, NTRK2, MAGI2, PPP1R9A
GO:0008076	voltage-gated potassium channel complex	18	0.016822429906542057	4.029363181916975	3.4972875129879957e-07	2.643949359818925e-05	4.577746867250625	0.0006609873399547312	KCNA2, CALM2, KCNAB1, KCNQ3, DPP6, KCNIP4, AKAP9, KCNA1, SNAP25, DLG2, KCNJ3, KCNH4, VAMP2, CNTNAP2, CALM1, KCND2, KCNH1, KCNMA1
GO:0045211	postsynaptic membrane	48	0.044859813084112146	3.949005511622334	1.7323132470534866e-16	2.976429124482809e-14	13.52630445452412	3.2740720369310896e-13	EPHA7, NRCAM, GABRB1, GABRG3, GRIN2B, GRM7, KCND2, GPHN, GABRG2, UTRN, GRIA1, GNAO1, NLGN1, ADGRL3, ANK3, DGKB, CACNG5, GRIK1, LRRTM4, GRM5, SLC8A3, GRIA2, GABRB3, GRID1, LRRTM3, GRIA3, PICALM, GRID2, CNTN1, LRRC7, ANK2, FAIM2, NRGN, FLRT2, ERBB4, CNKSR2, GRIN2A, GPR158, GRIK2, DRD1, KCNA2, IL1RAPL1, GLRB, SYT1, LRRC4C, GABRA4, KCNMA1, SYNE1
GO:0030424	axon	84	0.07850467289719626	3.8966692939984235	1.4363786553208667e-27	2.714755658556438e-24	23.566269252968684	2.7147556585564383e-24	ZNF804A, PRKN, GABRG2, STMN2, CNR1, ANK3, SNAP25, SLC4A10, SLC8A3, PUM1, MYCBP2, KIF1B, MAP7D2, CADM2, SLC8A1, MAPK8, SCN2A, SLC1A2, RGS7BP, DCTN1, GRIK2, RUFY3, TANC2, SYT1, WDFY3, NTRK2, AGTPBP1, SCN8A, DST, NRCAM, ADAM22, GRM7, DIP2B, NF1, COBL, PPFIA2, HPCA, SCN1A, MAP1B, APP, ALCAM, STAU2, TUBB3, NMNAT2, MYH10, DSCAM, PTPRO, KLHL24, SEPTIN8, CNTNAP2, CNTN5, DCC, CPEB4, KCNH1, SLC38A1, AGBL4, GPM6A, CNTN1, GSK3B, NRGN, ROBO1, EPHA5, SHTN1, IL1RAPL1, BMPR2, DLG2, ATP1A3, PAFAH1B1, SEPTIN11, PRRT2, PENK, HTT, UCHL1, ADGRL3, NIN, MAP7, FZD3, IGF1R, DGKI, KCNA2, KCNA1, CTNNA2, DYRK1A, TAC1
GO:0098794	postsynapse	42	0.03925233644859813	3.4702097789900126	1.343978521237629e-12	1.5875746282119493e-10	9.799265850376864	2.540119405139119e-09	PUM2, SNX14, ZNF804A, NCKAP1, MKLN1, ADGRB3, ARHGEF7, GABRG3, ELMO1, PRKN, ATXN1, GPHN, GABRG2, FRRS1L, GRIA1, NLGN1, HPCA, MAP1B, SLC4A10, CPEB4, CPEB3, SLC8A3, APP, GRIA2, STAU2, KIF1B, GSK3B, SLC8A1, NRGN, SPTBN1, SH3GL2, TRIO, RTN4, GRIN2A, DGKI, RGS7BP, ERBIN, BRAF, DTNB, GABRA4, PPP3R1, ARHGAP44
GO:0043025	neuronal cell body	64	0.059813084112149535	3.4512317076363255	2.1585482719282967e-18	4.125447534302271e-16	15.38452893168733	4.079656233944481e-15	BRINP1, PUM2, KCNN2, SORBS2, AKAP9, ZNF804A, EPHA7, PENK, ARHGEF7, CNTNAP2, XRN1, VTI1B, KCND2, VTI1A, PRKN, STMN2, COBL, BRINP3, GRIA1, UCHL1, SCN1A, ASIC2, FBXW11, MAP1B, SLC4A10, SOS1, FLNB, PTBP2, GRM5, CACNA1A, SLC38A1, SLC8A3, GRIA2, ALCAM, PICALM, KIF5C, GPM6A, STAU2, TUBB3, MAP2, HSP90AA1, SLC8A1, NRGN, MYH10, FZD3, ATP1A3, CACNA1E, RTN4, CNKSR2, DCTN1, DSCAM, GRIK2, EPHA5, LMTK2, BMPR2, RAPGEF2, RUFY3, RTN1, KCNA1, VPS13A, SLC25A27, NRXN1, TAC1, PAFAH1B1
