GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0001112	Leber optic atrophy	7	0.0065420560747663555	13.475981308411216	1.0463323226776656e-07	8.216504277393242e-06	5.085312914326975	0.0010763620603385145	MT-ATP6, MT-ND5, MT-ND4, MT-CO3, MT-CYB, MT-ND4L, MT-ND2
HP:0000576	Centrocecal scotoma	9	0.008411214953271028	13.327893601725378	1.5769479484511291e-09	1.782644345683161e-07	6.748935294017144	1.6222063545716766e-05	OPA1, MT-ND2, MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND4L, MT-CO1
HP:0032036	Reduced contrast sensitivity	8	0.007476635514018692	12.834267912772587	2.1215376104529367e-08	1.9840233998844873e-06	5.702453210014108	0.0002182425739872936	MT-ND2, MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND4L, MT-CO1
HP:0031434	Abnormal prosody	7	0.0065420560747663555	12.25089209855565	2.7477217789141094e-07	1.9629037458117667e-05	4.70710099621646	0.002826581393968944	FOXP2, MT-ND5, MT-ND4, MT-ATP6, MT-ND3, GRIN2A, MT-ND2
HP:0004309	Ventricular preexcitation	8	0.007476635514018692	11.847016534867004	5.2636861154254555e-08	4.475003228874517e-06	5.34920664698899	0.0005414753906938166	MT-ND2, MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND4L, MT-CO1
HP:0007768	Central retinal vessel vascular tortuosity	7	0.0065420560747663555	11.229984423676013	6.297517003930451e-07	4.1795198335117774e-05	4.37887360952509	0.006478255741943255	MT-ATP6, MT-ND5, MT-ND4, MT-CO3, MT-CYB, MT-ND4L, MT-ND2
HP:0200125	Mitochondrial respiratory chain defects	11	0.010280373831775701	11.145548450565666	3.634721694628423e-10	4.673797759080323e-08	7.330330083988231	3.7390382072642585e-06	MT-ND5, CAMKMT, MT-ATP6, MT-ND4, PPM1B, PREPL, MT-CYB, MT-CO3, MT-ND4L, MT-CO1, MT-ND2
HP:0020120	Retinal nerve fiber edema	8	0.007476635514018692	10.267414330218068	2.3967788042552296e-07	1.7486286212321663e-05	4.757302417437122	0.002465566355937355	MT-ND2, MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND4L, MT-CO1
HP:0007270	Atypical absence seizure	16	0.014953271028037384	8.556178608515058	6.878706198570856e-12	1.2200215631844551e-09	8.913632493350446	7.07612506646984e-08	FRRS1L, CHD2, CACNB4, PPP3CA, SCN1A, KCNT2, OTUD7A, GRIN2A, CACNA1A, HNRNPU, SCN2A, MAPK10, KCNMA1, GABRB3, GABRG2, PAFAH1B1
HP:0002883	Hyperventilation	15	0.014018691588785047	8.49326553051127	3.591704183034587e-11	5.354762453750261e-09	8.271259790436927	3.69478609308768e-07	CAMK2B, MT-ND5, MT-ND4, MT-ATP6, MT-ND3, SYT1, CPLANE1, CNTNAP2, CDKL5, DEPDC5, NRXN1, ARL13B, GABRB3, GABRG2, MT-ND2
HP:0031546	Cardiac conduction abnormality	12	0.011214953271028037	8.25060080106809	5.094571396569372e-09	5.293722823889811e-07	6.276238801834543	5.240785595650913e-05	MT-ND5, MT-ATP6, MT-CO2, MT-ND4, MT-ND3, CREBBP, MT-CO3, ATP1A3, CACNA1A, SCN2A, MT-CO1, MT-ND2
HP:0002266	Focal clonic seizure	10	0.009345794392523364	8.021417445482866	1.379830469947743e-07	1.0514308181001802e-05	4.97821929768596	0.0014194316044352433	WWOX, FRRS1L, SCN8A, PRRT2, KCNQ3, DMXL2, ST3GAL3, ADAM22, GRIN2A, SCN2A
HP:0011182	Interictal epileptiform activity	20	0.018691588785046728	7.857715048636277	1.1531981173323843e-13	3.206202441350875e-11	10.494009059528379	1.1862949032998238e-09	ADARB1, CHD2, SCN8A, PRRT2, CNTNAP2, GRM7, NBEA, DEPDC5, GABRG2, FRRS1L, GRIA1, SCN1A, MAP1B, KANSL1, CAMK2A, GOSR2, GRIA3, KCNQ3, SCN2A, GRIN2A
HP:0010794	Impaired visuospatial constructive cognition	11	0.010280373831775701	7.563050734312416	6.697555425357063e-08	5.468075607987945e-06	5.262165489000899	0.0006889775266064811	MT-ND5, MT-ND4, MT-CO2, BPTF, PSMD12, MT-CO3, GABRG2, GABRB3, HTT, MT-CO1, NF1
