Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5377493022192203	-2.8959390088712733	<0.0001	<0.0001	PL21
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.45450536380619755	-2.7542333396945375	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.4609522291605231	2.714645820448724	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.49361478128532843	-2.6983357108476316	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.48160849553639606	-2.6835034361173467	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.5007347675184063	-2.6715061371653244	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.4000535822223783	2.604112645885418	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.39640334859560866	2.6021434733936446	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.43242922765984054	-2.585344154216015	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4539373777989666	-2.5306963087033103	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4408608764598008	2.5167831586253904	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.4437381034846606	2.5113356649157494	<0.0001	<0.0001	JURKAT
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.42748474668363706	-2.5076277605237554	<0.0001	<0.0001	THP1
CPC014_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4493731357790334	-2.4894289683774318	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4487858127506612	-2.48562503869416	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.4624942812165139	2.4756760740193466	<0.0001	<0.0001	NPC
LJP008_NEU_24H:A11	DB07232	Veliparib	0.37369938209003667	2.4589971622756397	<0.0001	<0.0001	NEU
LJP009_NEU_24H:A03	DB02546	Vorinostat	-0.4462092686118606	-2.45332213555455	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.36808025609177	-2.440344434215415	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.3986204521334924	2.4355582304612278	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.3932519711807551	-2.425139901692978	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.42261511591712025	-2.4239558243266655	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.43361117461547466	-2.394608369821913	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.39312965078029005	-2.387070830869985	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A03	DB02546	Vorinostat	-0.4314721789292709	-2.3801384734663706	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4180299144169617	-2.372323376478493	<0.0001	<0.0001	U937
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4292812581143678	-2.3704346065747255	<0.0001	<0.0001	NOMO1
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.4399806766474165	-2.367700776745881	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K08547377-003-03-2:10	DB00762	Irinotecan	-0.44337041030722807	-2.366954449596077	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K68202742-001-06-6:10	DB04297	Trichostatin A	-0.4579788778132993	-2.3630867874803507	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K81418486:10	DB02546	Vorinostat	-0.4406863381844715	-2.360890186235489	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.44178681248669344	-2.346140860971795	<0.0001	<0.0001	NEU
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.4659959973258914	2.344268408127945	<0.0001	<0.0001	NPC
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4394532393273561	-2.3398385319007864	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.42232617385026466	-2.326904623411399	<0.0001	<0.0001	NPC.CAS9
