ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB08597	DB00800	Dorsomorphin	Fenoldopam	1.35		C	False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB08597	DB00679	Dorsomorphin	Thioridazine	1.2083333333333335		N	False	False
DB08597	DB04513	Dorsomorphin	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.2000000000000002			False	False
DB04599	DB01388	Aniracetam	Mibefradil	1.193939393939394	N	C	False	False
DB08597	DB00939	Dorsomorphin	Meclofenamic acid	1.1857142857142855		M	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB08597	DB00875	Dorsomorphin	Flupentixol	1.1749999999999998		N	False	False
DB08597	DB08073	Dorsomorphin	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	1.1666666666666665			False	False
DB08597	DB07859	Dorsomorphin	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	1.1666666666666665			False	False
DB08597	DB04599	Dorsomorphin	Aniracetam	1.1666666666666665		N	False	False
DB04599	DB04942	Aniracetam	Tamibarotene	1.1666666666666665	N		False	False
DB08597	DB08756	Dorsomorphin	Y-27632	1.1666666666666665			False	False
DB08175	DB00875	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Flupentixol	1.162878787878788		N	False	False
DB04599	DB02659	Aniracetam	Cholic Acid	1.1609523809523807	N	A	False	False
DB04149	DB00800	(R)-Rolipram	Fenoldopam	1.15		C	False	False
DB00800	DB04942	Fenoldopam	Tamibarotene	1.15	C		False	False
DB00459	DB00800	Acitretin	Fenoldopam	1.1452380952380954	D	C	False	False
DB04599	DB07863	Aniracetam	2-chloro-5-nitro-N-phenylbenzamide	1.1428571428571428	N		False	False
DB04942	DB00925	Tamibarotene	Phenoxybenzamine	1.1375000000000002		C	False	False
DB07841	DB12093	Geranylgeranyl diphosphate	Tetrahydropalmatine	1.1349206349206349			True	False
DB04599	DB07859	Aniracetam	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	1.125	N		False	False
DB04599	DB08756	Aniracetam	Y-27632	1.125	N		False	False
DB04599	DB08073	Aniracetam	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	1.125	N		False	False
DB07863	DB00800	2-chloro-5-nitro-N-phenylbenzamide	Fenoldopam	1.1136363636363638		C	False	False
DB04149	DB01069	(R)-Rolipram	Promethazine	1.1118881118881119		R, V, D	False	False
DB04599	DB00459	Aniracetam	Acitretin	1.1103896103896103	N	D	False	False
DB08597	DB00555	Dorsomorphin	Lamotrigine	1.1076388888888888		N	False	False
DB08597	DB00715	Dorsomorphin	Paroxetine	1.1071428571428572		N	False	False
DB04599	DB00393	Aniracetam	Nimodipine	1.1071428571428572	N	C	False	False
DB04149	DB00622	(R)-Rolipram	Nicardipine	1.0941176470588234		C	False	False
DB04599	DB07780	Aniracetam	Farnesyl diphosphate	1.0909090909090908	N		False	False
DB08597	DB00818	Dorsomorphin	Propofol	1.0857142857142856		N	False	False
DB04149	DB00818	(R)-Rolipram	Propofol	1.0857142857142856		N	False	False
DB08597	DB01622	Dorsomorphin	Thioproperazine	1.0833333333333335		N	False	False
DB08597	DB04946	Dorsomorphin	Iloperidone	1.0804195804195802		N	False	False
DB01622	DB07841	Thioproperazine	Geranylgeranyl diphosphate	1.0616883116883118	N		False	False
DB07863	DB00875	2-chloro-5-nitro-N-phenylbenzamide	Flupentixol	1.0568181818181817		N	False	False
DB12093	DB07780	Tetrahydropalmatine	Farnesyl diphosphate	1.0555555555555554			True	False
DB15399	DB02659	BMS-754807	Cholic Acid	1.0548654244306417		A	False	False
DB15399	DB00800	BMS-754807	Fenoldopam	1.0499999999999998		C	False	False
DB01239	DB04942	Chlorprothixene	Tamibarotene	1.0489510489510492	N		False	False
DB08597	DB00477	Dorsomorphin	Chlorpromazine	1.0465838509316767		N	False	False
DB04149	DB00939	(R)-Rolipram	Meclofenamic acid	1.0428571428571427		M	False	False
DB04599	DB01645	Aniracetam	Genistein	1.0407239819004526	N		False	False
DB04599	DB07841	Aniracetam	Geranylgeranyl diphosphate	1.0389610389610389	N		False	False
DB00622	DB04942	Nicardipine	Tamibarotene	1.035294117647059	C		False	False
DB01388	DB04942	Mibefradil	Tamibarotene	1.0349650349650348	C		False	False
DB00850	DB08597	Perphenazine	Dorsomorphin	1.0333333333333337	N		False	False
DB07863	DB01239	2-chloro-5-nitro-N-phenylbenzamide	Chlorprothixene	1.0324675324675328		N	False	False
DB07863	DB00925	2-chloro-5-nitro-N-phenylbenzamide	Phenoxybenzamine	1.0284090909090908		C	False	False
DB00508	DB07841	Triflupromazine	Geranylgeranyl diphosphate	1.0238095238095237	N		False	False
DB01622	DB07780	Thioproperazine	Farnesyl diphosphate	1.022727272727273	N		False	False
DB01092	DB00800	Ouabain	Fenoldopam	1.022727272727273	C	C	False	False
DB04599	DB00255	Aniracetam	Diethylstilbestrol	1.0213675213675215	N	L, G	False	False
DB02659	DB00939	Cholic Acid	Meclofenamic acid	1.0117216117216117	A	M	False	False
DB02659	DB04942	Cholic Acid	Tamibarotene	1.0113871635610767	A		False	False
DB08597	DB02659	Dorsomorphin	Cholic Acid	1.0113871635610767		A	False	False
DB04599	DB00939	Aniracetam	Meclofenamic acid	1.011111111111111	N	M	False	False
DB02659	DB00800	Cholic Acid	Fenoldopam	1.0102627257799672	A	C	False	False
DB08175	DB01239	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Chlorprothixene	1.0086580086580088		N	False	False
DB04513	DB01092	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	Ouabain	1.0		C	False	False
DB04149	DB08916	(R)-Rolipram	Afatinib	1.0		L	False	False
DB08597	DB02116	Dorsomorphin	Olomoucine	1.0			False	False
DB04149	DB08877	(R)-Rolipram	Ruxolitinib	1.0		L	False	False
DB08597	DB01092	Dorsomorphin	Ouabain	1.0		C	False	False
DB05134	DB04942	Tanespimycin	Tamibarotene	1.0			False	False
DB04149	DB04599	(R)-Rolipram	Aniracetam	1.0		N	False	False
DB04149	DB01092	(R)-Rolipram	Ouabain	1.0		C	False	False
DB04149	DB08895	(R)-Rolipram	Tofacitinib	1.0		L	False	False
DB04149	DB07780	(R)-Rolipram	Farnesyl diphosphate	1.0			False	False
DB01092	DB07863	Ouabain	2-chloro-5-nitro-N-phenylbenzamide	1.0	C		False	False
DB01092	DB08877	Ouabain	Ruxolitinib	1.0	C	L	False	False
DB01092	DB04942	Ouabain	Tamibarotene	1.0	C		False	False
DB01092	DB08895	Ouabain	Tofacitinib	1.0	C	L	False	False
DB04942	DB08916	Tamibarotene	Afatinib	1.0		L	False	False
DB08756	DB08895	Y-27632	Tofacitinib	1.0		L	False	False
DB07863	DB08877	2-chloro-5-nitro-N-phenylbenzamide	Ruxolitinib	1.0		L	False	False
DB15399	DB08756	BMS-754807	Y-27632	1.0			False	False
DB08877	DB04942	Ruxolitinib	Tamibarotene	1.0	L		False	False
DB15399	DB04942	BMS-754807	Tamibarotene	1.0			False	False
DB08597	DB08877	Dorsomorphin	Ruxolitinib	1.0		L	False	False
DB07594	DB04599	CCT-018159	Aniracetam	1.0		N	False	False
DB07594	DB01092	CCT-018159	Ouabain	1.0		C	False	False
DB07594	DB04149	CCT-018159	(R)-Rolipram	1.0			False	False
DB08877	DB08756	Ruxolitinib	Y-27632	1.0	L		False	False
DB07594	DB04942	CCT-018159	Tamibarotene	1.0			False	False
DB15399	DB04149	BMS-754807	(R)-Rolipram	1.0			False	False
DB15399	DB07859	BMS-754807	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	1.0			False	False
DB15399	DB04599	BMS-754807	Aniracetam	1.0		N	False	False
DB15399	DB08073	BMS-754807	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	1.0			False	False
DB15399	DB01092	BMS-754807	Ouabain	1.0		C	False	False
DB15399	DB08597	BMS-754807	Dorsomorphin	1.0			False	False
DB07863	DB07780	2-chloro-5-nitro-N-phenylbenzamide	Farnesyl diphosphate	1.0			False	False
DB07863	DB08895	2-chloro-5-nitro-N-phenylbenzamide	Tofacitinib	1.0		L	False	False
DB07859	DB08877	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Ruxolitinib	1.0		L	False	False
DB08073	DB08877	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	Ruxolitinib	1.0		L	False	False
DB07859	DB08895	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Tofacitinib	1.0		L	False	False
DB08073	DB08895	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	Tofacitinib	1.0		L	False	False
DB08597	DB13345	Dorsomorphin	Dihydroergocristine	1.0		C	False	False
DB08597	DB08895	Dorsomorphin	Tofacitinib	1.0		L	False	False
DB04599	DB07557	Aniracetam	3,20-Pregnanedione	1.0	N		False	False
DB08521	DB04599	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine	Aniracetam	1.0		N	False	False
DB08521	DB08597	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine	Dorsomorphin	1.0			False	False
DB08597	DB04942	Dorsomorphin	Tamibarotene	1.0			False	False
DB04942	DB07780	Tamibarotene	Farnesyl diphosphate	1.0			False	False
DB04942	DB08895	Tamibarotene	Tofacitinib	1.0		L	False	False
DB15399	DB07863	BMS-754807	2-chloro-5-nitro-N-phenylbenzamide	1.0			False	False
DB02116	DB08756	Olomoucine	Y-27632	1.0			False	False
DB08597	DB04149	Dorsomorphin	(R)-Rolipram	1.0			False	False
DB04513	DB04942	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	Tamibarotene	1.0			False	False
DB04599	DB01092	Aniracetam	Ouabain	1.0	N	C	False	False
DB04149	DB04942	(R)-Rolipram	Tamibarotene	1.0			False	False
DB04149	DB07863	(R)-Rolipram	2-chloro-5-nitro-N-phenylbenzamide	1.0			False	False
DB04149	DB04513	(R)-Rolipram	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.0			False	False
DB05134	DB04149	Tanespimycin	(R)-Rolipram	1.0			False	False
DB05134	DB01092	Tanespimycin	Ouabain	1.0		C	False	False
DB05134	DB04599	Tanespimycin	Aniracetam	1.0		N	False	False
DB08597	DB12093	Dorsomorphin	Tetrahydropalmatine	1.0			False	False
