Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.5023471768565322	-2.7197453358489634	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.4674062635242327	-2.718907206161869	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5661905963106654	-2.700899905973656	<0.0001	<0.0001	PL21
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.5066556686115252	-2.6982825276434674	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.49957042011401964	-2.679646894677499	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.5350813079758105	-2.6288595434501723	<0.0001	<0.0001	NPC.TAK
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5385625862750458	-2.613581583527336	<0.0001	<0.0001	U937
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.5125809789177018	2.5946416674578505	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.5237379994687279	-2.589739714416992	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.5065662496215667	-2.5717915129859255	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B03	DB00877	Sirolimus	-0.4496498787799035	-2.5691540524155454	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I01	DB01268	Sunitinib	-0.44440131662510074	-2.5324845318078313	<0.0001	<0.0001	NEU
NMH001_NEU_24H:BRD-A47564106-001-07-5:10	DB12161	Deutetrabenazine	-0.472018634790005	-2.513109304522158	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.47739861657542615	-2.5002268693729	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.4312970891597069	2.4860982017317754	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.4948102348797898	2.479670960255329	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:H08	DB09053	Ibrutinib	0.4128812944405456	2.4780908667575914	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5041942541906805	-2.468955977356383	<0.0001	<0.0001	NOMO1
LJP008_NEU_24H:L24	DB05015	Belinostat	-0.4884518125209557	-2.46254590017025	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.5136968003415893	-2.457114999501711	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4715663723949911	-2.45256155234906	<0.0001	<0.0001	THP1
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.42616547595320087	2.4329220397761357	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.496828595329562	-2.430802627777442	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-A30142024-001-01-1:10	DB04447	1,4-Dithiothreitol	0.4617837790363789	2.410152469762065	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4934163175097773	-2.4059891019899036	<0.0001	<0.0001	NPC.CAS9
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.43975180207275333	-2.404106455696907	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.46893912032987595	-2.4000922931206614	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.42423466248297725	-2.3972292708490697	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.45491005779069393	-2.393806460314493	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.4643413022875428	-2.3742169815190866	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.49991666848292704	-2.369141544024103	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K81473043-001-07-0:10	DB05134	Tanespimycin	-0.45754438697406924	-2.365715530563215	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4678949855390619	-2.3523272174051586	<0.0001	<0.0001	U937
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.42983405673953035	-2.3438471307588404	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.44427185496544747	-2.3287408548473185	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.4466462477450402	2.3178925944341815	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A03	DB02546	Vorinostat	-0.47213624837031765	-2.315105466380286	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K28428262-001-01-7:10	DB11958	Brivanib	-0.4379802413024944	-2.314288937442837	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.41387073595345586	2.312427784558534	<0.0001	<0.0001	NEU
LJP009_NEU_24H:H11	DB08912	Dabrafenib	0.48782810021081446	2.3111538360130703	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-A62336480-003-01-3:10	DB14068	Dexniguldipine	0.4848296738517712	2.3072517647874813	<0.0001	<0.0001	NPC
NMH002_NEU_6H:BRD-K71879491-001-29-1:10	DB00982	Isotretinoin	-0.46328550373668975	-2.3030387331742395	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O05	DB07101	PD-0325901	0.38555204943964205	2.298843859811618	<0.0001	<0.0001	NEU
LJP008_NEU_24H:B03	DB00877	Sirolimus	-0.3815288684344453	-2.298235497727514	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.413987788942009	-2.2879512017730526	<0.0001	<0.0001	NPC.TAK
CPC015_NPC_24H:BRD-A48430263-003-06-5:10	DB01132	Pioglitazone	0.43313160229078845	2.2832705227345813	<0.0001	<0.0001	NPC
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.5026743160679319	2.282699283635581	<0.0001	<0.0001	NPC
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.40934091774752207	-2.2824777821441824	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D01	DB11775	PF-03758309	-0.4302374558452515	-2.2753012940795108	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M01	DB02709	Resveratrol	-0.44365739842732405	-2.273038959406825	<0.0001	<0.0001	NEU
CPC015_NPC_24H:BRD-K82036761-003-07-0:10	DB01104	Sertraline	0.47659862809439335	2.268094097207443	<0.0001	<0.0001	NPC
LJP007_NEU_24H:I24	DB13005	Rebastinib	-0.36857926697030213	-2.263457813830356	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M07	DB05575	Motesanib	0.3826692608620479	2.2616463253713843	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E03	DB11743	Ipatasertib	-0.4224319972893681	-2.255084773899347	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E19	DB08901	Ponatinib	-0.4029687534752251	-2.2483346092115797	<0.0001	<0.0001	NEU
LPROT002_NPC.TAK_6H:E22	DB06195	Seliciclib	-0.43150866263704984	-2.247702949736119	<0.0001	<0.0001	NPC.TAK
LJP009_NEU_24H:D02	DB11775	PF-03758309	-0.47714914656645757	-2.2461118380951035	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K02	DB12064	BMS-777607	0.3956479059352632	2.2406687624991792	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M10	DB05575	Motesanib	0.36902928925751843	2.2385128819652955	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K08316444-001-06-8:10	DB11457	Rotenone	0.4246324244122307	2.2342929924786272	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.3875371630233131	2.223004232969815	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.38721633716463516	-2.2184929989154423	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.42132145706443125	-2.218442892406706	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:M19	DB12874	Quizartinib	-0.41191043057196985	-2.2145654964379275	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D04	DB11775	PF-03758309	-0.423072764697621	-2.208169293353681	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P04	DB09054	Idelalisib	0.38421509663996367	2.202440822872484	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K99792991-001-29-9:10	DB00756	Hexachlorophene	0.42831855550017406	2.2020523262841234	<0.0001	<0.0001	NPC
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4619245861961378	-2.186202772854126	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.4577161905092751	2.185395495216185	<0.0001	<0.0001	NPC
NMH002_NPC_24H:BRD-K68202742-001-08-2:10	DB04297	Trichostatin A	-0.43946848701113367	-2.1833012292567058	<0.0001	<0.0001	NPC
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.4189952399501012	-2.1802732402958904	<0.0001	<0.0001	NPC.CAS9
DOSBIO001_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.443556023724938	-2.1798380051321042	<0.0001	<0.0001	NEU
