# Reference distribution mean: 1.3527612094559311 and standard deviation: 0.7543335053860715
# Threshold: 0.89
# 2.76% of reference distribution below threshold, 3.97% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02235	-7.859026979751538	-12.211824244095896	L-methionine (R)-S-oxide
DB09151	-7.859026979751538	-12.211824244095896	Flutemetamol (18F)
DB09148	-7.859026979751538	-12.211824244095896	Florbetaben (18F)
DB09149	-7.859026979751538	-12.211824244095896	Florbetapir (18F)
DB12274	-7.859026979751538	-12.211824244095896	Aducanumab
DB03754	-7.859026979751538	-12.211824244095896	Tromethamine
DB05150	-7.859026979751538	-12.211824244095896	CAD106
DB00746	-7.859026979751538	-12.211824244095896	Deferoxamine
DB05846	-7.859026979751538	-12.211824244095896	Mito-4509
DB05088	-7.859026979751538	-12.211824244095896	Tetrathiomolybdate
DB06782	-7.859026979751538	-12.211824244095896	Dimercaprol
DB05938	-7.859026979751538	-12.211824244095896	Edonerpic
DB11737	-7.445417556701687	-11.663513158751538	Icotinib
DB09330	-7.445417556701687	-11.663513158751538	Osimertinib
DB16640	-7.445417556701687	-11.663513158751538	Almonertinib
DB09559	-7.445417556701687	-11.663513158751538	Necitumumab
DB05101	-7.445417556701687	-11.663513158751538	Matuzumab
DB00317	-7.445417556701687	-11.663513158751538	Gefitinib
DB01269	-7.445417556701687	-11.663513158751538	Panitumumab
DB12202	-7.445417556701687	-11.663513158751538	Zalutumumab
DB11828	-7.445417556701687	-11.663513158751538	Neratinib
DB11963	-7.445417556701687	-11.663513158751538	Dacomitinib
DB05374	-7.445417556701687	-11.663513158751538	Rindopepimut
DB13164	-7.445417556701687	-11.663513158751538	Olmutinib
DB05424	-7.445417556701687	-11.663513158751538	Canertinib
DB05524	-7.445417556701687	-11.663513158751538	Pelitinib
DB07602	-7.445417556701687	-11.663513158751538	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB16390	-7.445417556701687	-11.663513158751538	Mobocertinib
DB07317	-7.00397413672268	-11.078303279000705	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB07325	-7.00397413672268	-11.078303279000705	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
DB07601	-7.00397413672268	-11.078303279000705	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB07495	-7.00397413672268	-11.078303279000705	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB02359	-7.00397413672268	-11.078303279000705	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB07502	-7.00397413672268	-11.078303279000705	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
