GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0001112	Leber optic atrophy	8	0.032388663967611336	66.71740890688258	1.6821472965128503e-14	4.284071210562641e-11	10.368143318863204	1.730424923922769e-10	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-ND2
HP:0000816	Abnormality of Krebs cycle metabolism	6	0.024291497975708502	62.54757085020243	7.678049307739078e-11	4.388005179372883e-08	7.3577328684784264	7.89840932287119e-07	MT-ATP6, MT-ND5, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0032036	Reduced contrast sensitivity	9	0.03643724696356275	62.547570850202426	9.444482354084672e-16	9.715538997646902e-12	11.012533100652417	9.715538997646902e-12	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0000576	Centrocecal scotoma	9	0.03643724696356275	57.7362192463407	3.0375308392286294e-15	1.041569324771497e-11	10.982311818981954	3.124707974314491e-11	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0004309	Ventricular preexcitation	9	0.03643724696356275	57.7362192463407	3.0375308392286294e-15	1.041569324771497e-11	10.982311818981954	3.124707974314491e-11	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007768	Central retinal vessel vascular tortuosity	8	0.032388663967611336	55.59784075573549	1.8123855520128997e-13	2.663430024793814e-10	9.574558708770319	1.86440101735567e-09	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-ND2
HP:0012429	Aplasia/Hypoplasia of the cerebral white matter	6	0.024291497975708502	55.59784075573549	2.2803167030137556e-10	1.066109724384086e-07	6.972198095269823	2.3457617923902505e-06	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0031434	Abnormal prosody	7	0.02834008097165992	53.07066617592933	1.037186213448395e-11	8.207334290572031e-09	8.085797877092887	1.066953457774364e-07	MT-ND5, MT-ATP6, MT-ND4, MT-ND3, MT-ND1, MAPT, MT-ND2
HP:0100611	Multiple glomerular cysts	6	0.024291497975708502	50.038056680161944	5.643635285818247e-10	2.3222430474084923e-07	6.634092328686818	5.8056076185212305e-06	MT-ATP6, MT-ND5, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0020120	Retinal nerve fiber edema	9	0.03643724696356275	50.03805668016194	2.082274331954234e-14	4.284071210562641e-11	10.368143318863204	2.1420356052813203e-10	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007327	Mixed demyelinating and axonal polyneuropathy	6	0.024291497975708502	45.48914243651085	1.2291535283186332e-09	4.214767448604593e-07	6.375226382741249	1.264430234581378e-05	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0012766	Widened cerebral subarachnoid space	6	0.024291497975708502	41.69838056680162	2.4336683214917866e-09	7.586407885813943e-07	6.119963811014181	2.503514602318601e-05	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0200125	Mitochondrial respiratory chain defects	9	0.03643724696356275	39.503728958022585	3.6859063652785544e-13	4.739614847452562e-10	9.324256948710351	3.791691877962049e-09	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007067	Distal peripheral sensory neuropathy	6	0.024291497975708502	38.4908128308938	4.474378449123036e-09	1.2439981380034776e-06	5.90518026968975	4.602793110612867e-05	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0001427	Mitochondrial inheritance	10	0.04048582995951417	36.25946136243619	5.1094581530866397e-14	8.760166003467042e-11	10.057487663956735	5.256099602080226e-10	MT-ND5, MT-ATP6, MT-CO2, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007159	Fluctuations in consciousness	6	0.024291497975708502	35.74146905725853	7.751710240793046e-09	1.9449230060253187e-06	5.711097586482333	7.974184324703807e-05	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0007763	Retinal telangiectasia	9	0.03643724696356275	35.74146905725853	1.148529992944452e-12	1.0740843670381434e-09	8.968961604390579	1.1814928037419578e-08	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0005157	Concentric hypertrophic cardiomyopathy	6	0.024291497975708502	33.3587044534413	1.2790095967056976e-08	2.9238159380692245e-06	5.534049970837617	0.0001315717172131151	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0003572	Low plasma citrulline	6	0.024291497975708502	33.3587044534413	1.2790095967056976e-08	2.9238159380692245e-06	5.534049970837617	0.0001315717172131151	MT-ATP6, MT-ND5, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0025268	Stuttering	7	0.02834008097165992	32.43207377417904	9.310265703923679e-10	3.4205251177236744e-07	6.465907216100786	9.577470329626289e-06	MT-ND5, MT-CO2, MT-ND4, MT-CO3, MT-ND1, MAPT, MT-CO1
HP:0000091	Abnormal renal tubule morphology	6	0.024291497975708502	31.273785425101217	2.0259189498153017e-08	4.341797549322918e-06	5.362330430826725	0.00020840628236750008	MT-ATP6, MT-ND5, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0001716	Wolff-Parkinson-White syndrome	9	0.03643724696356275	31.273785425101213	4.951396172471482e-12	4.244584368851177e-09	8.372164829601836	5.093501242621414e-08	MT-ND5, MT-CO2, MT-ND4, MT-CO3, MT-CYB, ATP1A3, MT-ND1, MT-CO1, FNIP1
HP:0031546	Cardiac conduction abnormality	10	0.04048582995951417	29.78455754771544	5.560741761788396e-13	6.355927833724137e-10	9.19682104248941	5.720335050351722e-09	MT-ND5, MT-ATP6, MT-CO2, MT-ND4, MT-ND3, MT-CO3, ATP1A3, MT-ND1, MT-CO1, MT-ND2
HP:0004885	Episodic respiratory distress	6	0.024291497975708502	29.434150988330554	3.099612072450876e-08	6.307542067597805e-06	5.200139844311828	0.0003188570938930216	MT-ATP6, MT-ND5, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0007183	Focal T2 hyperintense basal ganglia lesion	7	0.02834008097165992	27.798920377867745	3.2989583012568627e-09	9.696109727151243e-07	6.0134024784060625	3.393638404502935e-05	MT-ATP6, MT-ND5, GFAP, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0003481	Segmental peripheral demyelination/remyelination	6	0.024291497975708502	27.798920377867745	4.602866780156698e-08	8.609034648631264e-06	5.065045544281214	0.00047349690567471953	MT-ATP6, MT-ND5, MT-ND4, MT-ND3, MT-ND1, MT-ND2
HP:0012841	Retinal vascular tortuosity	9	0.03643724696356275	27.798920377867745	1.7200943627044154e-11	1.2639007649385944e-08	7.898287023309507	1.769461070914032e-07	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0002401	Stroke-like episode	7	0.02834008097165992	26.535333087964666	4.789213443102057e-09	1.2964904918208121e-06	5.887230663904191	4.9266638689190855e-05	MT-ND5, MT-CO2, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-CO1
HP:0100027	Recurrent pancreatitis	6	0.024291497975708502	26.33581930534839	6.65992318985965e-08	1.2019408746330917e-05	4.920116895438225	0.0006851062985408623	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
HP:0001345	Psychotic mentation	6	0.024291497975708502	22.744571218255427	1.7770441417793783e-07	3.0508100022966374e-05	4.5155848384157755	0.0018280453086484466	MT-CO2, MT-ND5, MT-ND4, MT-CO3, MT-ND1, MT-CO1
