Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5337220353149853	-2.516777508484273	<0.0001	<0.0001	U937
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.4729979057020402	-2.419858995995557	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K02130563-001-06-4:10	DB06603	Panobinostat	-0.5201155845905493	-2.3450696302583403	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.505898580687763	-2.3440690250619336	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5063265814081311	-2.3425990912020644	<0.0001	<0.0001	PL21
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4703537832047779	2.307094644465981	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K08547377-003-03-2:10	DB00762	Irinotecan	-0.500313689476514	-2.3054407486769324	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.4754618724602017	2.3041615234406367	<0.0001	<0.0001	JURKAT
LJP009_NEU_24H:A03	DB02546	Vorinostat	-0.48807555024665933	-2.302305588868644	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D02	DB11775	PF-03758309	-0.5040678336955389	-2.2951249907863827	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:F06	DB12848	PF-04217903	0.4951782645283674	2.284596380280194	<0.0001	<0.0001	JURKAT
CPC012_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4739041093967625	-2.2490258482682486	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.44238575791611484	-2.246579461089519	<0.0001	<0.0001	NEU
CPC015_NPC_24H:BRD-K82036761-003-07-0:10	DB01104	Sertraline	0.48467730494479716	2.234947854955496	<0.0001	<0.0001	NPC
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.4771854507658175	-2.201864613012594	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.39091498036726935	-2.1987342975046387	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.43399390438248103	2.177654932684908	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:M15	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE	0.48007162164606443	2.175959969991528	<0.0001	<0.0001	NPC.CAS9
LJP009_NEU_24H:N11	DB08896	Regorafenib	0.45375108535524533	2.1627933542478823	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4207758746300974	-2.1597046565379077	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4472483692024393	-2.1462638698420116	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.4652290079511818	2.1388057587633806	<0.0001	<0.0001	NPC
DOSBIO001_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4464610114222513	-2.13179550777537	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I01	DB01268	Sunitinib	-0.38739382577984327	-2.1315357807394157	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.44518366564147727	-2.116112913678017	<0.0001	<0.0001	NPC.TAK
CPC006_PL21_6H:BRD-K15108141-001-01-7:0.08	DB00441	Gemcitabine	-0.44512194749852957	-2.111363936861971	<0.0001	<0.0001	PL21
LJP009_NEU_24H:H11	DB08912	Dabrafenib	0.45922847436690833	2.1083792870032787	<0.0001	<0.0001	NEU
LJP007_NPC_24H:K21	DB01590	Everolimus	0.4786962993892386	2.108021503069492	<0.0001	<0.0001	NPC
AML001_U937_24H:BRD-K93754473:4.48614	DB00675	Tamoxifen	0.42314424090308955	2.1046055368428243	<0.0001	<0.0001	U937
CPC014_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.44084502443318374	-2.101056358306794	<0.0001	<0.0001	NEU
NMH002_NEU_6H:BRD-K50590187-001-17-3:10	DB09120	Zucapsaicin	0.4799160930650799	2.099345277696301	<0.0001	<0.0001	NEU
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.45677832441788674	-2.093596180287508	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.4573497737567144	-2.090034574262574	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M06	DB02709	Resveratrol	0.40286875570545694	2.080799692683979	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.4399744210790798	-2.080537581240279	<0.0001	<0.0001	NEU
LJP009_NPC_24H:K10	DB11962	GSK-1059615	0.4386277234065497	2.07460384006242	<0.0001	<0.0001	NPC
CPC015_NPC_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4314390425387573	-2.0732635200535907	<0.0001	<0.0001	NPC
NMH002_NEU_24H:BRD-A93255169-001-21-8:10	DB01041	Thalidomide	0.41716031636598355	2.0703145560294356	<0.0001	<0.0001	NEU
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.46555973029540754	2.054086250956059	<0.0001	<0.0001	NPC
