ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB07863	DB01092	2-chloro-5-nitro-N-phenylbenzamide	Ouabain	1.0		C	False	False
DB07594	DB01092	CCT-018159	Ouabain	1.0		C	False	False
DB05134	DB01092	Tanespimycin	Ouabain	1.0		C	False	False
DB12695	DB01092	Phenethyl Isothiocyanate	Ouabain	0.8500000000000001		C	False	False
DB04216	DB01092	Quercetin	Ouabain	0.8407407407407408		C	False	False
DB08175	DB01092	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Ouabain	0.8333333333333335		C	False	False
DB02424	DB01092	Geldanamycin	Ouabain	0.8333333333333335		C	False	False
DB00608	DB01092	Chloroquine	Ouabain	0.7777777777777777	P	C	False	False
DB01782	DB01092	Pyrazolanthrone	Ouabain	0.75		C	False	False
DB01782	DB07863	Pyrazolanthrone	2-chloro-5-nitro-N-phenylbenzamide	0.75			False	False
DB07863	DB12695	2-chloro-5-nitro-N-phenylbenzamide	Phenethyl Isothiocyanate	0.7458333333333333			False	False
DB01088	DB01092	Iloprost	Ouabain	0.7159090909090908	B	C	False	False
DB01645	DB01092	Genistein	Ouabain	0.6730769230769231		C	False	False
DB01229	DB01092	Paclitaxel	Ouabain	0.6666666666666665	L	C	False	False
DB01248	DB01092	Docetaxel	Ouabain	0.6666666666666665	L	C	False	False
DB08175	DB12695	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Phenethyl Isothiocyanate	0.6624999999999999			False	False
DB01092	DB13954	Ouabain	Estradiol cypionate	0.6461538461538463	C		False	False
DB01088	DB08175	Iloprost	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	0.6401515151515151	B		False	False
DB05134	DB01088	Tanespimycin	Iloprost	0.625		B	False	False
DB01088	DB07594	Iloprost	CCT-018159	0.625	B		False	False
DB00783	DB01092	Estradiol	Ouabain	0.5857142857142856	G	C	False	False
DB01782	DB08175	Pyrazolanthrone	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	0.5833333333333335			False	False
