# Reference distribution mean: 1.4939615877033616 and standard deviation: 0.695415839828856
# Threshold: 0.89
# 2.06% of reference distribution below threshold, 3.4% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02840	-7.00397413672268	-12.219934085075499	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB03504	-7.00397413672268	-12.219934085075499	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB03093	-7.00397413672268	-12.219934085075499	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB03137	-7.00397413672268	-12.219934085075499	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB03899	-7.00397413672268	-12.219934085075499	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB04054	-7.00397413672268	-12.219934085075499	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB03749	-7.00397413672268	-12.219934085075499	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB03809	-7.00397413672268	-12.219934085075499	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB04254	-7.00397413672268	-12.219934085075499	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB07601	-7.00397413672268	-12.219934085075499	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB07495	-7.00397413672268	-12.219934085075499	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB02550	-7.00397413672268	-12.219934085075499	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB12442	-7.00397413672268	-12.219934085075499	Alvespimycin
DB07502	-7.00397413672268	-12.219934085075499	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB04505	-7.00397413672268	-12.219934085075499	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB04588	-7.00397413672268	-12.219934085075499	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB08789	-7.00397413672268	-12.219934085075499	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB07324	-7.00397413672268	-12.219934085075499	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07317	-7.00397413672268	-12.219934085075499	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB07325	-7.00397413672268	-12.219934085075499	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
