GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0051292	nuclear pore complex assembly	10	0.003125	5.851988636363636	7.64424671669254e-08	2.3097091454486507e-05	4.636442706029794	0.0009238836581794603	AHCTF1, NUP153, NUP93, NUP205, TPR, RTN4, NDC1, FXR1, NUP107, NUP98
GO:0018105	peptidyl-serine phosphorylation	22	0.006875	4.165238970588235	1.2291478866730903e-10	5.713646676281142e-08	7.243086619271054	1.485548135833097e-06	NEK6, TBK1, CSNK2A1, ROCK1, PRKDC, GSK3B, MORC3, RPS6KB1, TNKS, TTBK2, HIPK3, UHMK1, MAPK8, SRPK2, PDK3, TLK2, IKBKB, PRKCD, STK4, TGFBR1, HIPK2, SMG1
GO:0070936	protein K48-linked ubiquitination	46	0.014375	3.0526868556701032	1.3558762485903038e-13	9.639482553213183e-11	10.01594627837058	1.6387120340462412e-09	UBE3A, KBTBD2, TRIM38, RFFL, UBE3C, ARIH2, KCMF1, FBXO9, UBE2H, CDC16, NT5C2, PRKN, UBR5, BTRC, UBE2K, ASB3, ANAPC5, UBE2G2, CUL3, UBE2R2, ANAPC1, UBR4, ANAPC10, CDC27, UBE2D3, RBX1, ANAPC4, UBE2B, CUL1, UBE2E3, RNF216, NEDD4L, UBE2E2, FBXO38, UBE2G1, HACE1, MYCBP2, UBE2D2, ANAPC16, TTC3, ITCH, RNF115, PELI1, ZNRF2, UBE2E1, HUWE1
GO:0006513	protein monoubiquitination	22	0.006875	3.013151595744681	4.2173619187672295e-07	9.994320813768771e-05	4.0002467139875595	0.005097103615022074	TRIM56, MSL2, PRKN, UBE2W, CUL3, UBE2N, UBE2R2, CBL, RNF220, UBE2D3, UBE3D, RBX1, UBE4B, CUL1, UBE2E3, UBE2E2, ITCH, FANCL, TRIM37, RAD18, UBE2E1, HUWE1
GO:0008286	insulin receptor signaling pathway	31	0.0096875	2.733600171232877	3.357066747660385e-08	1.0403463772364979e-05	4.982822040819162	0.0004057350871222342	RAF1, FOXO1, IGF1R, MAPK1, MAP2K1, C2CD5, GSK3B, APPL1, GRB2, AP3S1, NAMPT, IRS2, SOS1, IDE, PDK4, FER, PTPN2, PIK3CA, PHIP, ZNF106, AKT3, PIK3C2A, PDE3B, RHOQ, NDEL1, STXBP4, PIK3R1, SMARCC1, SOS2, INSR, GAB1
GO:0051056	regulation of small GTPase mediated signal transduction	49	0.0153125	2.6959161324786325	7.178263332093392e-12	3.772021331812206e-09	8.423425859873698	8.675649063168073e-08	SRGAP3, ARHGAP5, PREX1, FGD3, ARAP1, ARHGAP32, VAV1, ARHGAP15, FAM13A, ITSN1, SIPA1L3, ARHGAP18, RAP1GAP2, ARHGAP21, ARHGAP26, PREX2, RALGAPA2, SRGAP2, MCF2L, GARNL3, FAM13B, ARHGEF12, ARHGEF10L, ARHGAP31, DOCK8, ARHGEF11, KALRN, ARHGAP24, RALGAPB, ARHGAP25, ARHGAP35, ABR, ARHGAP20, ARHGEF9, ARHGAP6, STARD13, TRIO, AKAP13, GNA13, SIPA1L1, DOCK2, FGD4, DEF6, SPATA13, TIAM2, MYO9B, RALGAPA1, SWAP70, ARHGAP22
GO:0042147	retrograde transport, endosome to Golgi	35	0.0109375	2.6821614583333333	8.126630982910838e-09	3.1683374857890444e-06	5.499168564327011	9.821846205946038e-05	CLTC, PIKFYVE, SPAG9, WASHC1, VPS26A, RIC1, RHOBTB3, SNX2, HEATR5A, VTI1A, VPS54, TBC1D5, TMEM87A, RAB6A, MON2, GCC2, VPS35, SNX1, VPS29, STX6, GOSR1, GBF1, SNX5, ERC1, EVI5, VPS50, ANKFY1, RAB7A, RCSD1, HEATR5B, VPS53, SORL1, SNX6, STX16, DENND5A
GO:0006897	endocytosis	93	0.0290625	2.648931139380531	1.3087064862846932e-20	2.2601557229223414e-17	16.645861637279143	1.58170265932368e-16	C9orf72, HEATR5A, ITSN1, FCHSD2, CDC42, RAB20, MIB1, ATP9B, EPS15, RABEP1, FCHO1, CSNK1G1, DNM1L, USP33, SNX5, GAPVD1, ANKFY1, RHOQ, TBC1D2B, SORL1, ABL1, FNBP1L, MSR1, RAB22A, EEA1, MTMR9, LRP1, EPN2, MRC2, SNX9, CLINT1, SYNRG, HIP1, FNBP1, ESYT2, RABGEF1, OPHN1, BCL2L1, LRRK2, MYO19, LRP6, EHD4, DGKD, EHBP1, SCAMP1, PACSIN2, RAC1, LY75, RIN3, RAB31, RUFY1, RUBCN, FCHO2, PIK3C2A, RAB7A, DENND1B, ITSN2, FKBP15, MYO1F, WASF2, SYNJ1, OCIAD1, ATP6V1H, AP2A2, DENND1A, DPYSL2, PIK3CB, LMBRD1, AP2B1, RAB1A, LRP8, SNX18, SORT1, DNM2, STAB1, PICALM, SNX10, PIK3CG, PIK3C3, SH3GLB1, MYO1E, RIN2, MYO5A, PPT1, MYO1D, AAK1, RABGAP1L, HEATR5B, CSNK1G3, CLCN5, SH3KBP1, REPS1, LIPA
GO:0006470	protein dephosphorylation	29	0.0090625	2.6292737676056337	2.5411937841095325e-07	6.547804016902407e-05	4.183904327985142	0.003071286807474781	PTPN9, PTPN12, PTEN, SSH2, PPP3CA, MTM1, PTPRN2, PPP1R12A, PTPRC, BTRC, PPP2CA, PTPN18, PTPRE, PPM1D, FBXW11, PPP2R2A, PTPRK, PPM1B, PPP3CB, EPM2A, SSH1, PPP3CC, PTPN4, PPP1CB, CDC14B, CTTNBP2NL, MTMR3, PPM1A, PTPN14
GO:0032456	endocytic recycling	31	0.0096875	2.591594967532467	1.4659344189946892e-07	4.218400806659479e-05	4.374852158629056	0.0017717283387969813	WASHC1, VPS26A, RAB8B, EIPR1, EHD4, SNX3, DENND1A, CCDC93, COMMD10, EHBP1, VTI1A, STX12, RAB12, VPS35, VPS29, CMTM6, VPS35L, RAB14, STX6, STX16, SNX4, EPS15, SNX30, EPG5, COMMD1, ACAP2, SNX27, VPS50, VPS53, VPS39, DENND1B
GO:0017148	negative regulation of translation	38	0.011875	2.5480533854166665	1.0416793032948063e-08	3.934292518631571e-06	5.405133352981837	0.00012589736059621029	QKI, CSNK2A1, GIGYF2, EIF2AK3, EIF2AK2, ILF3, PUS7, SAMD4A, PRKCH, ZFP36L2, DDX3X, LSM14A, SHMT1, FMR1, RPS3, CELF1, SYNCRIP, RBM4, ZFP36L1, CPEB3, LARP1, HELZ, PURA, PAIP2, XRN1, FXR1, CYFIP1, IREB2, NCL, RPL13A, CAPRIN1, SERBP1, PRKCA, DHX36, CALR, DDX6, DHFR, CNOT1
