GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0030904	retromer complex	14	0.004375	4.096392045454546	4.286477474691479e-07	1.373125835113033e-05	4.86228966160442	0.0008101442427166895	RAB7A, SNX1, VPS35, VPS26A, VPS29, DENND4C, SNX3, SNX2, SNX27, SNX6, TBC1D5, SNX5, ANKFY1, DENND5A
GO:0000118	histone deacetylase complex	22	0.006875	3.1470694444444445	1.6068806724361585e-07	5.521826310735163e-06	5.257917258232003	0.00030370044709043397	ZNF217, TBL1X, HDAC4, HDAC2, NRIP1, TBL1XR1, HDAC8, SIN3A, KDM3B, MBD2, RCOR1, RCOR3, RBBP4, KDM3A, TRERF1, HDAC9, CBX5, RERE, NCOR1, JMJD1C, PHF21A, MIER1
GO:0036464	cytoplasmic ribonucleoprotein granule	30	0.009375	2.925994318181818	8.189520540377707e-09	3.599579958445085e-07	6.443748174891773	1.5478193821313867e-05	TDRD7, AGO3, IQGAP1, AGO4, ROCK2, HNRNPU, RPS6, TUBB, ACTB, DHX9, RPL6, LSM14A, SMG5, CDC42, ZC3H12C, FMR1, RAC1, DCP2, RPLP0, FXR1, NCL, STAU1, PABPC1, CAPRIN1, DCP1A, DDX6, BTBD1, RPL28, TUT4, AGO2
GO:0016605	PML body	48	0.015	2.8609722222222222	8.381554290839009e-13	7.920568804842864e-11	10.101243629024863	1.5841137609685727e-09	CHEK2, SP3, NR2C1, ZBTB16, ATRX, MRE11, CSNK2A1, TCF7L2, SMC6, PTEN, MORC3, PIAS2, USP7, SP100, CASP8AP2, EIF3E, SKIL, NSMCE2, SQSTM1, NBN, SIMC1, ZMYM2, SLF2, HIPK1, ZNF451, RNF111, HIPK3, RPA1, RPA2, RB1, N4BP1, UBN1, SMC5, RFWD3, WDFY3, MTOR, TOPBP1, CBX5, CIITA, HMBOX1, CALCOCO2, BASP1, PIAS1, ATR, HIPK2, CHFR, TENM2, KAT6A
GO:0031252	cell leading edge	28	0.00875	2.8162695312500006	7.089085662770293e-08	2.627131745614873e-06	5.580518147633083	0.00013398371902635853	IQGAP1, DST, DDX3X, MACF1, BCAS3, CDC42, PAFAH1B1, CFL1, CD2AP, SHTN1, DOCK8, MYH9, GBF1, SSH1, CYFIP1, CLASP2, PABPC1, CAPRIN1, AAK1, ARPC2, NDEL1, CDC42BPB, ABI1, CCDC88A, ABL1, RAPH1, IQGAP2, SLK
GO:0022626	cytosolic ribosome	43	0.0134375	2.7959501262626265	3.242086143178364e-11	2.3567472348488877e-09	8.627686993800193	6.127542810607108e-08	NEMF, EIF2AK4, HBS1L, USP10, RPS6, RPL7A, RPS16, RPS19, ETF1, GSPT1, RPL36, RPL18, RPS24, RPL6, RPSA, RPL34, RPS3, RPS11, RPLP0, RPL37, RPS2, RPS9, RPL37A, RPL35, UBA52, RPL13A, RPL9, RPL17, RPL5, RPS29, RPL13, ABCE1, RPLP1, RPL21, RPL27A, ASCC3, RPS18, RPS5, RPS8, LTN1, RPL3, RPL28, RPS28
GO:0030136	clathrin-coated vesicle	33	0.0103125	2.7950945723684213	6.216025141544755e-09	2.7972113136951393e-07	6.55327472386615	1.1748287517519587e-05	CLTC, ADAM10, DENND1A, SNX3, GAS7, VTI1A, SCAMP1, LMBRD1, EPN2, STX6, SCYL2, SNX18, SNX9, EPS15, SORT1, SYNRG, CLINT1, DNM2, PICALM, FCHO1, HIP1, NUMB, RNF216, MYO1E, FCHO2, VPS41, AAK1, PIK3C2A, AFTPH, HEATR5B, GGA2, AP1G1, DENND1B
GO:0035861	site of double-strand break	44	0.01375	2.749866504854369	3.77174424771827e-11	2.6402209734027892e-09	8.5783597233145	7.128596628187531e-08	SMCHD1, XRCC4, SMC6, MRE11, PARP1, ZGRF1, EPC1, ARPC5, ATF2, NBN, RAD50, RIF1, SLF2, SLF1, RNF169, RNF168, SHLD2, WDR70, RPA1, RPA2, ACTR2, SMC5, RFWD3, UIMC1, REV1, RNF138, TOPBP1, ATM, SAMHD1, ARPC2, MBTD1, ACTR3, MMS22L, STK38, PELI1, SMARCAD1, ARPC3, ZBTB7A, SMARCA5, SHLD1, RAD18, CGAS, UFL1, HELLS
GO:0045335	phagocytic vesicle	35	0.0109375	2.7475800304878044	3.783324860165268e-09	1.7876209964280892e-07	6.747724552993941	7.150483985712357e-06	CYBB, RAB8B, LRRK2, RAB22A, PDIA3, SNX3, APPL1, APPL2, STX12, CTSS, RAP1A, STX8, SYT11, LAMP1, GSN, RAB14, SRGAP2, CDC42, STX6, ITGAV, RAB20, NOD1, KIF5B, TRIM14, ITGB5, FMNL1, RAB31, PIK3C3, MTOR, UVRAG, ABCA1, RAB7A, CLCN3, STXBP4, STXBP3
GO:0010494	cytoplasmic stress granule	41	0.0128125	2.7208730670103094	2.5788420726872983e-10	1.4335327992291159e-08	7.843592365946477	4.874011517378993e-07	PUM2, G3BP1, QKI, GIGYF2, ROCK1, C9orf72, LARP1B, PUM1, CSDE1, RC3H2, LARP4B, DDX3X, MBNL1, LSM14A, PABPC4, FMR1, G3BP2, CELF1, STAU2, RBM4, RBFOX1, LARP1, NUFIP2, HNRNPK, EIF4A1, FXR1, STAU1, PABPC1, CAPRIN1, KPNB1, YTHDF3, RPTOR, DHX36, ATXN2, RC3H1, PRRC2C, DDX6, DDX1, HIPK2, TIAL1, LARP4
