GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0007768	Central retinal vessel vascular tortuosity	10	0.003125	5.364322916666667	3.941378278309856e-07	1.6616786208595692e-05	4.779452967726147	0.004054495834897349	MT-ND4, NEK1, MT-ATP6, MT-ND5, SELENOI, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0004309	Ventricular preexcitation	10	0.003125	4.951682692307693	1.4680089483386188e-06	5.655958071745083e-05	4.2474938186731865	0.015101408051559372	MT-CO1, MT-ND4, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, PRKAG2, MT-ND2, MT-CO3, MT-CYB
HP:0000576	Centrocecal scotoma	10	0.003125	4.951682692307693	1.4680089483386188e-06	5.655958071745083e-05	4.2474938186731865	0.015101408051559372	OPA1, MT-CO1, MT-ND4, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0100033	Tics	11	0.0034375	4.425566406250001	2.5503304197194464e-06	9.27040601683885e-05	4.032901244602943	0.026235249027653944	VPS13A, GATAD2B, MAPK1, POGZ, FRYL, ACBD6, ARID2, ZBTB20, ZSWIM6, CHD8, KMT5B
HP:0007183	Focal T2 hyperintense basal ganglia lesion	14	0.004375	4.291458333333334	1.8202830020626446e-07	8.071228983714839e-06	5.093060331423157	0.0018725251242218425	MT-ND3, IARS2, NDUFS4, MT-ND4, MT-ATP6, MT-ND5, SPG11, GFAP, MT-ND1, PDSS2, LRPPRC, MT-ND2, NDUFS1, PRNP
HP:0012209	Juvenile myelomonocytic leukemia	12	0.00375	4.291458333333333	1.4317232673963337e-06	5.5577876421532393e-05	4.255098051225963	0.014728137251706085	RAF1, RASA2, ARHGAP26, MAP2K1, NF1, BRAF, KRAS, CBL, SOS2, SPRED2, PTPN11, SOS1
HP:0002236	Frontal upsweep of hair	18	0.005625	4.291458333333333	3.0125814391985643e-09	1.6842622426649797e-07	6.773590287138401	3.099042526503563e-05	EP300, OGT, MED27, POLA1, YY1, BRD4, FRMPD4, CREBBP, FOXP1, HDAC4, FBXO11, TCF4, UBR1, MED13L, HERC2, CAMTA1, PPP2R3C, TRIO
HP:0011869	Abnormal platelet function	13	0.0040625	3.9849255952380953	1.7744145524107237e-06	6.66182573016391e-05	4.176406732410093	0.018253402500649114	GNAS, RAF1, RASA2, WIPF1, BRAF, KRAS, LYST, CBL, PTPN11, SOS2, SPRED2, SOS1, SAMD9L
HP:0000391	Thickened helices	24	0.0075	3.152908163265306	4.21550956000399e-08	2.0455163605547666e-06	5.689197042555126	0.00043364946843761046	RAF1, MAP2K1, EDEM3, AFF4, DYRK1A, SMS, TCF4, SPOP, DIS3L2, DDX3X, SIN3A, CBL, SPRED2, SOS1, RB1, RASA2, PPP1CB, BRAF, KRAS, TAF1, SOS2, PTPN11, MARK2, SUPT16H
HP:0002263	Exaggerated cupid's bow	20	0.00625	3.140091463414634	6.143264115574746e-07	2.497856045727961e-05	4.602432594123399	0.006319575795691741	SMARCA2, RALA, MED27, HNRNPU, TBCK, CHD8, SLC1A3, ZMIZ1, EXOC2, POGZ, DNMT3A, CAMSAP1, HNRNPK, TRIP12, CACNA1A, CLCN3, JARID2, KMT2A, MYT1L, SUPT16H
