Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.47546393411944904	-3.049693532271147	<0.0001	<0.0001	WSUDLCL2
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5297808041263824	-3.0341052409875617	<0.0001	<0.0001	PL21
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.48075025903685625	-3.0004329116054533	<0.0001	<0.0001	THP1
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.472992548668589	-2.858498308570031	<0.0001	<0.0001	U937
CPC006_SKM1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.40398645853118037	-2.8579372323289793	<0.0001	<0.0001	SKM1
CPC006_SKM1_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.43016025301334015	-2.811691439300911	<0.0001	<0.0001	SKM1
CPC006_U937_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.4193334307222006	-2.7418141857949445	<0.0001	<0.0001	U937
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.46864781352667034	-2.7259593806030895	<0.0001	<0.0001	U937
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.4336717940856202	-2.701432054510295	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.45504344505222144	-2.6730552115462025	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.4118991805603925	-2.6539633040224158	<0.0001	<0.0001	NPC.TAK
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.41345799081485024	-2.5850914208308824	<0.0001	<0.0001	NPC.TAK
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4238461262613635	-2.50118903908777	<0.0001	<0.0001	NOMO1
AML001_U937_24H:BRD-K43389675:0.37037	DB00694	Daunorubicin	-0.40823149804180314	-2.4571587873526206	<0.0001	<0.0001	U937
CPC006_WSUDLCL2_6H:BRD-K73319509-001-02-3:40	DB12848	PF-04217903	0.387061606605224	2.4018028731120484	<0.0001	<0.0001	WSUDLCL2
CPC006_U937_6H:BRD-A26711594-003-06-4:10	DB00622	Nicardipine	0.397448335689959	2.386302154145536	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:D19	DB06616	Bosutinib	-0.3670663318348568	-2.3787571926661584	<0.0001	<0.0001	NPC.TAK
CPC006_PL21_6H:BRD-A58048407-001-10-5:10	DB00393	Nimodipine	-0.37200277884893507	-2.3628084460198147	<0.0001	<0.0001	PL21
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.3776298776364063	-2.360985569365746	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.391857748652049	-2.316755193875969	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.3268442128932391	-2.3065139794706506	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:P13	DB05294	Vandetanib	-0.3438549469455734	-2.305401474807214	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.3479057299613749	-2.2985141304776833	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.3748046070447336	2.29595803630677	<0.0001	<0.0001	JURKAT
LJP007_NPC_24H:D11	DB08875	Cabozantinib	0.3677803733779367	2.2322977996660858	<0.0001	<0.0001	NPC
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3196709634474172	2.22522041787954	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.3428747229769692	-2.2225657746052145	<0.0001	<0.0001	NEU
AML001_HL60_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.3542235299401978	-2.2166378253014782	<0.0001	<0.0001	HL60
LJP007_NPC.CAS9_24H:F13	DB12247	AZD-4547	-0.3358702879775087	-2.2139836142502203	<0.0001	<0.0001	NPC.CAS9
AML001_HL60_24H:BRD-A19037878:1.11111	DB04297	Trichostatin A	-0.32174141718578053	-2.2115668502428845	<0.0001	<0.0001	HL60
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.3151870657414167	2.193227076310503	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-K31342827-001-05-4:12.12	DB03777	Bisindolylmaleimide I	-0.34116605112064896	-2.1889436538859295	<0.0001	<0.0001	U937
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3171296746549136	2.1875785922222466	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P07	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	0.3424309965268173	2.1530152901168655	<0.0001	<0.0001	NEU
CPC006_WSUDLCL2_6H:BRD-K81651477-001-03-5:20	DB13063	Parthenolide	-0.3416759803841304	-2.1346561467616887	<0.0001	<0.0001	WSUDLCL2
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.30865372062121915	-2.134652493375193	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O02	DB07101	PD-0325901	0.29494289081523933	2.1325668652225085	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K01976263-003-04-5:0.63	DB01735	3-Chloroalaninate	0.3417388806043652	2.1225601259166953	<0.0001	<0.0001	PL21
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.32283026842960943	-2.118139676276568	<0.0001	<0.0001	NEU
LJP007_NPC_24H:B17	DB12200	Tivantinib	0.35706172811839715	2.113628210375503	<0.0001	<0.0001	NPC
LJP007_JURKAT_24H:E01	DB11743	Ipatasertib	0.354371985169602	2.1134007064245686	<0.0001	<0.0001	JURKAT
NMH002_NPC_6H:BRD-A62336480-003-01-3:10	DB14068	Dexniguldipine	0.3698749502700803	2.105838310191647	<0.0001	<0.0001	NPC
CPC014_NEU_24H:BRD-K01507359-001-05-4:10	DB01045	Rifampicin	0.3256882598155121	2.1046972141494433	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-K76188144-001-01-2:160	DB08263	N-(carboxycarbonyl)-D-phenylalanine	0.3766357776101959	2.102720852879496	<0.0001	<0.0001	U937
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.33524808320321337	2.1025604070990958	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K56700933-001-01-3:10	DB12695	Phenethyl Isothiocyanate	0.3431182638279653	2.102541068154075	<0.0001	<0.0001	PL21
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.3165077804492865	-2.100233292794808	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M04	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE	0.3001533953132641	2.0970050926212567	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K12	DB11962	GSK-1059615	0.3179664358900325	2.095628212036504	<0.0001	<0.0001	NEU
AML001_HL60_24H:BRD-A19037878:0.37037	DB04297	Trichostatin A	-0.3206680770907529	-2.0924589311976853	<0.0001	<0.0001	HL60
AML001_HL60_6H:BRD-A19500257:0.37037	DB02424	Geldanamycin	0.3593973801492657	2.0921911221075646	<0.0001	<0.0001	HL60
LJP009_NPC_24H:K10	DB11962	GSK-1059615	0.35483906497713624	2.090526048381644	<0.0001	<0.0001	NPC
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.2979450192714133	2.082346900725773	<0.0001	<0.0001	NEU
CPC017_NPC_24H:BRD-A88080608-001-03-4:10	DB02187	Equilin	0.2751426415304508	2.0813479808206194	<0.0001	<0.0001	NPC
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.35282358543779874	-2.079511238469405	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K71799949-001-29-9:10	DB00564	Carbamazepine	-0.29013991964317787	-2.0745979636278453	<0.0001	<0.0001	NPC
LJP007_NEU_24H:D05	DB12494	SGI-1776	0.29383059608229944	2.073906205758333	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.31610960753060713	-2.056609655328055	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:E20	DB12021	Dinaciclib	-0.33346470753898505	-2.0565717679862745	<0.0001	<0.0001	NPC.CAS9
CPC016_NEU_24H:BRD-A29322418-237-03-2:10	DB09015	Canrenoic acid	-0.338864912320753	-2.0562822894388426	<0.0001	<0.0001	NEU
CPC015_NPC_24H:BRD-K76205745-001-04-1:10	DB00678	Losartan	-0.32593800413200863	-2.052683241899737	<0.0001	<0.0001	NPC
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.3415650053062841	2.051235940792688	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P22	DB11886	Infigratinib	-0.30408221873830177	-2.047365336365999	<0.0001	<0.0001	NEU
