GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0051010	microtubule plus-end binding	14	0.004375	4.291458333333334	1.8202830020626446e-07	1.8092854589251827e-05	4.742492907183524	0.0008684570202840878	APC, TTBK2, DST, STIM1, MAPRE2, CLIP2, CKAP5, CLASP1, CLIP4, FBXW11, PAFAH1B1, CLASP2, NUMA1, CLIP1
GO:0016922	nuclear receptor binding	24	0.0075	3.4331666666666667	4.760084319836768e-09	6.308433969428117e-07	6.200078438354363	2.271036228994122e-05	NCOA3, ACTN4, NCOA2, TCF7L2, CTNNB1, NCOA1, NCOA7, BAZ2A, NRIP1, SLC30A9, BCAS3, TRIM24, TACC1, ARID1A, EP300, NCOR2, NCOR1, ASAH1, NSD1, HIF1A, TAF1, SNW1, JUND, TRIP4
GO:0048156	tau protein binding	22	0.006875	3.2185937499999997	9.624272298689192e-08	1.043577344023776e-05	4.981475357966088	0.00045917403137046137	ROCK1, GSK3B, DYRK1A, ROCK2, ACTB, HSP90AB1, TTBK2, PPP2CA, PRKAA1, CREBBP, PPP2R2A, HSP90AA1, MARK3, PICALM, EP300, APOE, SNCA, CLU, TAOK1, SMAD2, MARK2, FKBP4
GO:0030295	protein kinase activator activity	20	0.00625	3.065327380952381	1.0016925273985277e-06	9.558150096436752e-05	4.0196261538170655	0.004779075048218375	MAP2K1, NEK9, MOB1A, RHEB, MOB3B, MOB1B, PIK3CA, PDE8A, PRKAG2, WNK1, NCKAP1L, RPTOR, CAB39, HMGB1, RPLP1, STRADA, MARK2, GPRC5B, INSR, MAP3K20
GO:0003725	double-stranded RNA binding	32	0.01	2.7103947368421055	2.594962514041734e-08	3.1745041421777217e-06	5.49832410191023	0.00012380566154493114	CLTC, AGO3, DHX15, EIF2AK2, AGO4, HNRNPU, ILF3, TUBA1B, HSPD1, DHX9, HSP90AB1, RC3H2, MTDH, MBNL1, LSM14A, STRBP, STAU2, ADARB1, MSN, LRRFIP1, EIF4A1, STAU1, DDX60L, PRKRIP1, DICER1, DHX36, HMGB1, RC3H1, ZFR, DDX1, ADAR, AGO2
GO:0035091	phosphatidylinositol binding	47	0.0146875	2.7013197544642855	1.7575799949502554e-11	2.891522122726782e-09	8.538873480607002	8.385414155907668e-08	ESYT2, PITPNC1, STAM2, MTM1, SNX3, ARHGAP32, SNX19, APPL1, SNX2, AIDA, APPL2, TLN1, PHF12, ITPR2, SNX1, KIF16B, BCAS3, PITPNB, MCF2L, SNX18, ITPR1, SNX9, SNX4, SNX10, SNX30, SGK3, SNX13, PLD1, HIP1, SNX24, MYO1E, SNX27, RPS6KC1, SNX5, SBF2, FCHO2, PIK3C2A, PXK, CCDC88A, SNX25, SNX14, STAM, SNX29, GGA2, SNX6, NUMA1, ZCCHC2
GO:0003712	transcription coregulator activity	58	0.018125	2.5927560763888886	6.474083797774684e-13	1.1879943768916545e-10	9.925185614986733	3.0887853799183016e-09	NRG1, NCOA3, BCLAF1, ZBTB16, PIAS2, NCOA2, GON4L, CNOT2, FUS, KAT6B, MED13, AFF4, NFKB1, KAT2B, ZBTB46, DHX9, ARID3A, TRRAP, MTDH, AFF1, TAF15, NRIP1, KDM7A, KDM2B, BTAF1, CREBBP, KDM3B, RYBP, AEBP2, CAMTA1, SUPT20H, ATF7IP, NPAT, ZXDC, EP300, YAF2, LPXN, KDM3A, RALY, PPARGC1B, EWSR1, MED4, SND1, NAB1, MED15, KDM2A, JMJD1C, BRD4, ATF7IP2, NSD1, PIAS1, TCERG1, DDX1, MED13L, MED14, PTPN14, THRAP3, KAT6A
GO:0019903	protein phosphatase binding	37	0.0115625	2.533786569148936	1.935445292538636e-08	2.495678240730225e-06	5.602811407484392	9.234009490701833e-05	TBK1, EIF2AK3, IQGAP1, PPME1, SNX3, AP3B1, BCL2, SIRPA, GRB2, CTNNB1, SHOC2, MTMR9, PPP6R3, ANAPC5, PTK2, JAK1, MAP3K5, MAPK14, IRS2, CFL1, PPP6R2, CDC27, RPA2, MARK3, MAPK8, TRAF3, HSP90AA1, ANAPC4, HSP90B1, YWHAZ, CSF1R, STAT3, MTMR3, STAT6, PIK3R1, YWHAE, STX17
GO:0005096	GTPase activator activity	106	0.033125	2.5086098345588237	3.970619185260974e-21	1.4572172409907775e-18	17.836475699066916	1.8943824132880106e-17	SRGAP3, HACD3, DOCK4, C9orf72, ARFGEF1, NRP1, SMAP1, RAB3GAP1, RAB3GAP2, ARHGAP21, GARNL3, TBC1D1, ARHGEF11, RABEP1, RGS12, RALGAPB, DNM1L, ABR, RGS7, RABGAP1, GAPVD1, WDR41, TBC1D4, RGS10, TBC1D2B, GNAQ, ARHGAP17, PIK3R1, RASA3, STXBP5, RALGAPA1, RGS18, PREX1, SEC23A, TBCK, FAM13A, TBC1D9, USP6NL, SRGAP1, ARHGAP26, SRGAP2, SOS1, FAM13B, DOCK5, ARHGEF12, ARHGEF10L, RASA2, ACAP2, ARHGAP25, ARHGAP20, ARHGAP6, DOCK7, SIPA1L1, DOCK2, SMAP2, STXBP5L, ARFGAP3, ARHGAP22, SRGAP2C, OPHN1, LRRK2, IQGAP1, RASGRP3, AGAP1, ARAP1, ARHGAP32, ARHGAP15, DOCK1, SIPA1L3, AGFG1, GIT2, NF1, PREX2, RALGAPA2, RASAL2, ARHGAP31, ARHGEF6, RIN3, ASAP1, GDI2, ARRB1, TBC1D22A, IQGAP2, SRGAP2B, ARHGAP5, DEPDC5, RANGAP1, TBC1D5, ARHGAP18, RAP1GAP2, RAPGEF2, TBC1D15, ARHGDIB, RASA1, TBC1D12, ARHGAP12, ARHGAP24, ARHGAP35, RIN2, EVI5, NCKAP1L, STARD13, RABGAP1L, TIAM2, MYO9B, ARAP2
GO:0003730	mRNA 3'-UTR binding	38	0.011875	2.470839646464647	2.798765759799586e-08	3.3382278600009562e-06	5.476484022670658	0.00013352911440003826	PUM2, QKI, FUS, HNRNPU, SECISBP2, PUM1, LARP4B, AUH, TAF15, SECISBP2L, PABPC4, RBM47, ZC3H14, FMR1, LRPPRC, FUBP1, CELF1, FUBP3, CPEB4, RBM4, CPEB3, LARP1, HNRNPC, RBMS1, HNRNPA3, HNRNPA2B1, CPEB2, FXR1, PABPC1, SERBP1, CELF2, DAZAP1, DHX36, RPL5, PARN, RC3H1, TIAL1, LARP4
