# Reference distribution mean: 0.25959695940232347 and standard deviation: 1.8270111410882541
# Threshold: 0.8
# 26.88% of reference distribution below threshold, 28.29% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB11541	-7.751045117971802	-4.384561154127724	Ractopamine
DB08737	-7.751045117971802	-4.384561154127724	(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL
DB00947	-7.751045117971802	-4.384561154127724	Fulvestrant
DB05662	-7.751045117971802	-4.384561154127724	NP-50301
DB06374	-7.751045117971802	-4.384561154127724	Elacestrant
DB03742	-7.751045117971802	-4.384561154127724	Compound 4-D
DB07991	-7.751045117971802	-4.384561154127724	N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE
DB00269	-7.751045117971802	-4.384561154127724	Chlorotrianisene
DB03802	-7.751045117971802	-4.384561154127724	1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB05233	-7.751045117971802	-4.384561154127724	AP1081
DB12450	-7.751045117971802	-4.384561154127724	Propyl Gallate
DB04471	-7.751045117971802	-4.384561154127724	2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB09369	-7.751045117971802	-4.384561154127724	Polyestradiol phosphate
DB07567	-7.751045117971802	-4.384561154127724	(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL
DB04938	-7.751045117971802	-4.384561154127724	Ospemifene
DB09070	-7.751045117971802	-4.384561154127724	Tibolone
DB02715	-7.751045117971802	-4.384561154127724	Compound 18
DB09318	-7.751045117971802	-4.384561154127724	Synthetic Conjugated Estrogens, B
DB04575	-7.751045117971802	-4.384561154127724	Quinestrol
DB01357	-7.751045117971802	-4.384561154127724	Mestranol
DB09317	-7.751045117971802	-4.384561154127724	Synthetic Conjugated Estrogens, A
DB15568	-7.5196924041165385	-4.257932088408147	Adagrasib
DB15569	-7.5196924041165385	-4.257932088408147	Sotorasib
DB11942	-7.247792581767846	-4.109109885722106	Selinexor
DB02623	-7.177782416195197	-4.070790379070959	Aminophosphonic acid-guanylate ester
DB03276	-7.007600613951853	-3.9776427247320942	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB00061	-7.007600613951853	-3.9776427247320942	Pegademase
DB03137	-7.00397413672268	-3.9756578012975208	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB03093	-7.00397413672268	-3.9756578012975208	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB04505	-7.00397413672268	-3.9756578012975208	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB06964	-7.00397413672268	-3.9756578012975208	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB06956	-7.00397413672268	-3.9756578012975208	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
