GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0006893	Golgi to plasma membrane transport	15	0.006756756756756757	4.799394221808015	5.214321579249122e-08	2.8645586639456767e-05	4.542942279308237	0.0006302029060680489	RAB3IP, RABEP1, EXOC1, COMMD1, STXBP5L, GOPC, VPS35L, ARFGEF2, RAB10, STXBP5, GOLGA7, EXOC2, EXOC4, EXOC5, EXOC6B
GO:0018105	peptidyl-serine phosphorylation	16	0.007207207207207207	4.366507684154743	1.0342926219786503e-07	5.2085252621808204e-05	4.283285225099656	0.0012500460629233968	TTBK2, CSNK2A1, ROCK1, SRPK2, PRKDC, SMG1, STK39, GSK3B, MORC3, TNKS, RPS6KB1, HIPK2, PRKX, TLK2, HIPK3, MAPK8
GO:0070936	protein K48-linked ubiquitination	38	0.017117117117117116	3.635005108200984	2.7598671927738246e-13	3.706194987984938e-10	9.431071735589644	3.3355754891864444e-09	UBE3A, RFFL, UBE3C, KCMF1, FBXO9, UBE2H, CDC16, NT5C2, PRKN, UBR5, BTRC, UBE2K, ASB3, ANAPC5, UBE2G2, CUL3, UBE2R2, ANAPC1, UBR4, ANAPC10, CDC27, UBE2D3, KLHL3, UBE2B, CUL1, UBE2E3, RNF216, UBE2E2, FBXO38, UBE2G1, HACE1, MYCBP2, ANAPC16, TTC3, ITCH, PELI1, UBE2E1, HUWE1
GO:0000209	protein polyubiquitination	49	0.022072072072072072	2.9716510628275334	9.056284569982825e-13	9.950386846619312e-10	9.002160034622491	1.0945425531281242e-08	UBE3A, PELI2, RMND5A, TNKS, BCL2, UBE3C, CTNNB1, MDM2, BTRC, UBE2H, PRKN, UBE2W, RC3H2, UBR5, SPOP, UBE2K, FBXL7, HLTF, UBE2G2, CUL3, TPP2, C10orf90, LNPEP, UBE2R2, SASH1, FBXW11, SHPRH, UBE2D3, WSB1, UBE3D, UBE4B, KLHL3, UBE2B, TRIM2, MKRN3, UBE2G1, SMURF1, TNKS2, NPEPPS, TRIP12, ITCH, PELI1, RC3H1, UBE4A, PIK3R1, TAF1, UBE2E1, CBFB, HUWE1
GO:0048511	rhythmic process	46	0.02072072072072072	2.9234666173022337	8.515422396092453e-12	7.3512425056552414e-09	8.133639250338314	1.0291739507917339e-07	UBE3A, CSNK2A1, NLGN1, NCOA2, PRKDC, USP9X, GSK3B, HNRNPU, KDM5A, LGR4, KAT2B, NR1D2, BTRC, DHX9, DDX5, CLOCK, TOP1, KLF9, NRIP1, HNRNPD, SIRT1, CREBBP, FBXW11, PROX1, OGT, ATG7, MAPK8, PSPC1, FBXL3, CREB1, ENOX2, EP300, DNM1L, ENOX1, MYCBP2, NCOR1, KDM2A, SFPQ, MAPK10, FBXW7, GFPT1, KMT2A, THRAP3, HUWE1, CUL4A, SETX
GO:0006511	ubiquitin-dependent protein catabolic process	74	0.03333333333333333	2.6821614583333333	7.880048804995646e-16	1.360546712245391e-12	11.866286542805835	9.523826985717738e-12	HUWE1, UBE3A, RNF19A, WWP1, ANKIB1, CACUL1, HERC3, RFFL, UBE3C, ARIH1, TRPC4AP, UBQLN1, ATE1, KCMF1, MDM2, PSMD11, RNF217, UBE2H, RNF13, PRKN, BTRC, RC3H2, RNF149, SQSTM1, UBE2K, FBXL7, UBE2G2, CUL3, UBR3, UBR2, RNF150, CUL5, UBE2R2, FBXW11, NDFIP2, UBR4, MIB1, UBE2D3, ATXN3, HECTD1, UBE4B, KLHL3, UBE2B, CUL1, UBA6, KLHL8, USP33, WWP2, FBXO11, UBE2G1, HACE1, HECW2, SMURF1, TRIP12, ARRB1, TTC3, NUB1, SMURF2, ITCH, CNOT4, COP1, FBXL4, RC3H1, UBE4A, RNF130, NDFIP1, FAF1, TAF1, UBR1, RNF144A, HERC4, UBE2E1, CUL4A, RBBP6
GO:0090263	positive regulation of canonical Wnt signaling pathway	33	0.014864864864864866	2.66262044653349	9.18711361416303e-08	4.827628484381495e-05	4.316266158912557	0.0011103545514077437	LGR5, WDR20, LGR4, NFKB1, TNKS, ADNP, RBPJ, USP47, UBR5, KANK1, XIAP, DDX3X, SBNO1, TBL1XR1, ZRANB1, RNF220, FAM53B, DAAM2, PPP2R3A, CSNK1G1, PPM1B, UBE2B, ZEB2, EDA, FGFR2, TNKS2, WNK1, SMURF2, USP34, USP8, SEMA5A, PPM1A, TTC21B
GO:0006338	chromatin remodeling	91	0.04099099099099099	2.590102525838722	4.5583976460357835e-18	1.377319848749712e-14	13.860965193790467	5.509279394998848e-14	SMARCA2, HDAC4, ARID2, CHD8, CHD6, KDM6A, JADE2, SETD5, DPF3, PSIP1, CFDP1, RERE, HMGB1, KDM2A, NSD1, YY1, PRMT3, IWS1, ATR, ATRX, USP16, DYRK1A, ASH1L, SF3B1, CLOCK, UTY, RPS6KA5, CHD1, ARID1A, RB1, USP22, WAC, EP300, RBBP4, BICRAL, RSF1, ATM, PRKCA, MAP3K7, BRD4, NIPBL, SMARCA5, MLLT10, SIRT2, HUWE1, BAZ2B, PRKDC, PRDM2, KMT2C, SS18, TOP1, HLTF, CECR2, CREBBP, KDM5D, BAZ1A, DEK, ZBTB1, KDM3A, BRD7, NSD3, GATAD2B, SMARCAD1, JARID2, SFPQ, ARID1B, ZBTB7A, KMT5B, NCOA3, CHD4, KDM5A, PWWP2A, BAZ1B, BMI1, KAT2B, ACTB, PBRM1, CHD2, MYSM1, RYBP, INO80D, HNRNPC, BPTF, JMJD1C, TP53BP1, KDM4C, CHD7, TAF1, SMARCC1, NFKBIZ, MIER1
GO:0006897	endocytosis	61	0.027477477477477478	2.504462648489197	6.9905833594009616e-12	6.499091575516925e-09	8.187147343558935	8.448819048172002e-08	RABGEF1, OCIAD1, BCL2L1, LRP6, APLP1, C9orf72, DENND1A, EEA1, HEATR5A, EHBP1, SGIP1, DPYSL2, MAGI2, ITSN1, SCAMP1, LMBRD1, RAB1A, LRP4, FCHSD2, EPN2, DNM3, MIB1, SNX9, EPS15, SORT1, SYNRG, PICALM, RHOU, RABEP1, FCHO1, CSNK1G1, HIP1, ANK2, PIK3C3, SH3GLB1, MYO6, DNM1L, MYO1E, RIN2, LRP1B, USP33, FCHO2, MYO1D, GAPVD1, PIK3C2A, RAB7A, RHOQ, FNBP1, HEATR5B, ITSN2, MTMR6, SH3KBP1, DNER, SORL1, ABL1, FNBP1L, APP, SH3GL3, LRP2, WASF2, LIPA
GO:0006325	chromatin organization	108	0.04864864864864865	2.2879303961495743	1.131052508138582e-16	2.278316768893817e-13	12.64238589333045	1.3669900613362902e-12	HNRNPU, HDAC4, ARID2, MSL2, CHD8, CHD6, KDM6A, SETD5, DPF3, TBL1XR1, PHF14, UIMC1, UBE2B, UBN2, MBTD1, STK38, ASXL1, HMGB1, MMS22L, KDM2A, NSD1, NUCKS1, BANP, MORF4L2, ATRX, TET2, USP16, TAF3, EPC1, ASH1L, PTMA, UTY, CHD1, ARID1A, AEBP2, RB1, USP22, WAC, RBBP4, RSF1, PHIP, KANSL1, NCOR1, SETD2, BRD4, HMGN3, SMARCA5, SIRT2, SMCHD1, RBL2, KMT2C, KAT6B, EMSY, KMT2E, TRRAP, HLTF, ARID4B, SIRT1, CECR2, KDM5D, TRIM24, RNF169, EHMT1, DEK, KDM3A, NSD3, HDAC9, TLK2, NR3C1, SMARCAD1, PHF21A, JARID2, ARID1B, ZBTB7A, KMT2A, KMT5B, SUZ12, CHD4, MORC3, KDM5A, BAZ1B, BMI1, MORF4L1, ZMYND8, DHX9, PBRM1, CHD2, MYSM1, HDAC8, ZMYND11, USP3, OGT, L3MBTL4, EP400, EPC2, BPTF, L3MBTL1, PHF20, JMJD1C, KDM4C, TDRD3, CHD7, TAF1, SMARCC1, MLLT3, NFKBIZ, TP53BP1, KAT6A
