GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0001112	Leber optic atrophy	8	0.0036036036036036037	7.423063063063063	6.626125980796574e-07	3.531759480023542e-05	4.452008880421573	0.006816295796445436	MT-ND4, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0000576	Centrocecal scotoma	10	0.0045045045045045045	7.137560637560638	4.364292107142039e-08	2.9152904484526078e-06	5.535318170278413	0.0004489547290617015	OPA1, MT-CO1, MT-ND4, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0032036	Reduced contrast sensitivity	9	0.004054054054054054	6.959121621621622	3.1362727352412376e-07	1.7534150884470982e-05	4.756115260584738	0.003226283762742661	MT-CO1, MT-ND4, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0007768	Central retinal vessel vascular tortuosity	9	0.004054054054054054	6.959121621621622	3.1362727352412376e-07	1.7534150884470982e-05	4.756115260584738	0.003226283762742661	MT-ND4, NEK1, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0200125	Mitochondrial respiratory chain defects	14	0.006306306306306306	6.837031768610716	1.888268509160957e-10	1.849963633689406e-08	7.732836808809555	1.9424618153738762e-06	PNPT1, PREPL, MT-CO1, PPM1B, CAMKMT, MT-ND4, MT-ATP6, CYP27A1, MT-ND5, MT-ND4L, MT-ND1, MT-ND2, MT-CO3, MT-CYB
HP:0004309	Ventricular preexcitation	9	0.004054054054054054	6.423804573804574	9.210920665427069e-07	4.7614442655903647e-05	4.322261294876486	0.009475274088524825	MT-CO1, MT-ND4, MT-ATP6, MT-ND5, MT-ND1, MT-ND4L, MT-ND2, MT-CO3, MT-CYB
HP:0002236	Frontal upsweep of hair	18	0.008108108108108109	6.185885885885886	6.4859278335475505e-12	8.23712834860539e-10	9.084224166909747	6.672073962370366e-08	EP300, OGT, MED27, POLA1, YY1, BRD4, FRMPD4, CREBBP, FOXP1, HDAC4, FBXO11, TCF4, UBR1, MED13L, MKRN3, HERC2, CAMTA1, TRIO
HP:0100033	Tics	10	0.0045045045045045045	5.799268018018018	8.990668374296516e-07	4.671060887191327e-05	4.33058447165487	0.009248700556638826	GATAD2B, POGZ, FRYL, SPTBN1, ACBD6, ARID2, ZBTB20, ZSWIM6, CHD8, KMT5B
HP:0007183	Focal T2 hyperintense basal ganglia lesion	12	0.005405405405405406	5.302187902187902	2.756648891546137e-07	1.5842260976164868e-05	4.800182836673339	0.0028357647147335113	MT-ND3, MT-ND4, MT-ATP6, MT-ND5, SPG11, GFAP, MT-ND1, PDSS2, LRPPRC, MT-ND2, NDUFS1, PRNP
HP:0000692	Tooth malposition	14	0.006306306306306306	4.8112445779112445	1.4069414016840445e-07	8.879267606824395e-06	5.051622854878193	0.0014473206199123766	SMCHD1, RAB3GAP2, MAP3K7, RIC1, FBN1, ZEB2, USP9X, CNOT2, BCAS3, ANKH, TCF4, BPTF, CA2, RAB3GAP1
HP:0031546	Cardiac conduction abnormality	13	0.005855855855855856	4.30802767052767	2.004435812243865e-06	9.487312113086198e-05	4.022856811787674	0.02061963120055264	MT-ND3, MT-CO1, EP300, MT-ND4, MT-CO2, MT-ATP6, MT-ND5, CREBBP, SLC1A3, MT-ND1, MT-ND2, CACNA1A, MT-CO3
HP:0011229	Broad eyebrow	13	0.005855855855855856	4.30802767052767	2.004435812243865e-06	9.487312113086198e-05	4.022856811787674	0.02061963120055264	FRA10AC1, EP300, POLA1, ZEB2, CHD1, CREBBP, HERC1, SPTBN1, FBXO11, BPTF, SON, RERE, ACTB
