Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5377203483789726	-3.026895127371293	<0.0001	<0.0001	PL21
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.43740916822474996	-2.7651611012110626	<0.0001	<0.0001	NPC.TAK
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4463179764956253	-2.7421780944699647	<0.0001	<0.0001	THP1
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.47808313628685883	-2.737544211779489	<0.0001	<0.0001	U937
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4575694770832962	-2.721653825544031	<0.0001	<0.0001	U937
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.39062238529945914	-2.6855048432126187	<0.0001	<0.0001	NEU
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.42427877386995994	-2.6698195016035773	<0.0001	<0.0001	WSUDLCL2
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.43595596052499364	-2.665432945363696	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.3532963957381419	2.6650155329725562	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4144430943681367	-2.638986591568327	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.3896001674576625	-2.6368540440947768	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.38454778937935663	2.630103420851336	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4202320526308369	-2.6116242651295316	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4009375659211352	-2.6044830228661966	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3760165210333793	2.5852187752830647	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.3737925737106844	2.5771898125068775	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4407794129631671	-2.54935396205046	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.37469061232648754	-2.5466933632446764	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D19	DB06616	Bosutinib	-0.3902507417899878	-2.5343290564263605	<0.0001	<0.0001	NPC.TAK
NMH002_NPC_24H:BRD-K99792991-001-29-9:10	DB00756	Hexachlorophene	0.4144810928419926	2.5234114062277033	<0.0001	<0.0001	NPC
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.44893753401609465	2.52216075780129	<0.0001	<0.0001	NPC
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.3734841473726644	2.505054287534252	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M07	DB05575	Motesanib	0.3556162610616969	2.4970926488467486	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4275669440566906	-2.4842008891005096	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.41868011952253087	2.4841177039051563	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.3809815551259673	-2.482915798148727	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D07	DB08875	Cabozantinib	0.3752905890146698	2.467215282798358	<0.0001	<0.0001	NEU
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.39962968807041704	2.463884198309145	<0.0001	<0.0001	NEU
LPROT002_NPC.TAK_6H:K06	DB06803	Niclosamide	0.421267386717112	2.457190758569279	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:H07	DB09053	Ibrutinib	0.4041045263485508	2.454608093904603	<0.0001	<0.0001	NEU
CPC006_SKM1_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.3821702503039137	-2.4470958701177166	<0.0001	<0.0001	SKM1
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.40862076902396965	2.4436062645588073	<0.0001	<0.0001	JURKAT
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.3738954913598521	-2.4338834843959876	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A26711594-003-06-4:10	DB00622	Nicardipine	0.41208216984836504	2.433568362491889	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.41823976997065815	-2.43224831935352	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.3767545766827004	2.430325816062674	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F04	DB12848	PF-04217903	0.3778430447579525	2.428034465797713	<0.0001	<0.0001	NEU
NMH002_NPC_6H:BRD-A62336480-003-01-3:10	DB14068	Dexniguldipine	0.4331127834109961	2.4267415844475604	<0.0001	<0.0001	NPC
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.46353147348517365	2.412752978079642	<0.0001	<0.0001	NPC
AML001_U937_24H:BRD-K43389675:0.37037	DB00694	Daunorubicin	-0.40169374667504937	-2.405279554388727	<0.0001	<0.0001	U937
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.3572509174670513	-2.3871638852483326	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K19540840-001-02-9:10	DB11805	Saracatinib	-0.3936086430135457	-2.3774695894085434	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O02	DB07101	PD-0325901	0.3354932231538431	2.374614850104772	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E24	DB08901	Ponatinib	-0.3773645182630335	-2.3610138460177064	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K01507359-001-05-4:10	DB01045	Rifampicin	0.3640703325510066	2.3594290869242	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A09	DB07232	Veliparib	0.3500540345791985	2.345792726146896	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:P24	DB11886	Infigratinib	0.42317245389744146	2.337318768788237	<0.0001	<0.0001	JURKAT
CPC006_U937_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.36253981026747395	-2.33708807164286	<0.0001	<0.0001	U937
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.3617196841387101	-2.335898800947094	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.37123390921283034	-2.3354861590914173	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.3860532259979729	-2.3329147553768395	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K15108141-001-01-7:0.08	DB00441	Gemcitabine	-0.3994425418289661	-2.317813366115379	<0.0001	<0.0001	PL21
CPC006_WSUDLCL2_6H:BRD-K73319509-001-02-3:40	DB12848	PF-04217903	0.3777258013165944	2.3168996098570123	<0.0001	<0.0001	WSUDLCL2
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.41483124655536147	-2.3161589124997706	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.3749516101061867	2.3107253306670974	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B12	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.3405523600037817	-2.309975938418847	<0.0001	<0.0001	NEU
LJP007_NPC_24H:D11	DB08875	Cabozantinib	0.3849981139407421	2.303869443223571	<0.0001	<0.0001	NPC
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.3779230683091535	2.302095757715639	<0.0001	<0.0001	NEU
