# Reference distribution mean: 0.5437526122623348 and standard deviation: 1.549858866142159
# Threshold: 0.52
# 18.3% of reference distribution below threshold, 18.82% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB03754	-7.859026979751538	-5.4216417866032565	Tromethamine
DB00746	-7.859026979751538	-5.4216417866032565	Deferoxamine
DB05150	-7.859026979751538	-5.4216417866032565	CAD106
DB09148	-7.859026979751538	-5.4216417866032565	Florbetaben (18F)
DB09151	-7.859026979751538	-5.4216417866032565	Flutemetamol (18F)
DB09149	-7.859026979751538	-5.4216417866032565	Florbetapir (18F)
DB05938	-7.859026979751538	-5.4216417866032565	Edonerpic
DB05846	-7.859026979751538	-5.4216417866032565	Mito-4509
DB06782	-7.859026979751538	-5.4216417866032565	Dimercaprol
DB12274	-7.859026979751538	-5.4216417866032565	Aducanumab
DB02235	-7.859026979751538	-5.4216417866032565	L-methionine (R)-S-oxide
DB05088	-7.859026979751538	-5.4216417866032565	Tetrathiomolybdate
DB11942	-7.247792581767846	-5.027261103731693	Selinexor
DB07601	-7.00397413672268	-4.869944556805025	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB06969	-7.00397413672268	-4.869944556805025	2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide
DB02359	-7.00397413672268	-4.869944556805025	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB03504	-7.00397413672268	-4.869944556805025	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB12442	-7.00397413672268	-4.869944556805025	Alvespimycin
DB07319	-7.00397413672268	-4.869944556805025	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB07502	-7.00397413672268	-4.869944556805025	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB07495	-7.00397413672268	-4.869944556805025	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB06958	-7.00397413672268	-4.869944556805025	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB06956	-7.00397413672268	-4.869944556805025	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB04588	-7.00397413672268	-4.869944556805025	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB04505	-7.00397413672268	-4.869944556805025	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB07317	-7.00397413672268	-4.869944556805025	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB08197	-7.00397413672268	-4.869944556805025	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB08194	-7.00397413672268	-4.869944556805025	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB04254	-7.00397413672268	-4.869944556805025	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB08789	-7.00397413672268	-4.869944556805025	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB04054	-7.00397413672268	-4.869944556805025	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB08788	-7.00397413672268	-4.869944556805025	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08786	-7.00397413672268	-4.869944556805025	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
