GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0001112	Leber optic atrophy	8	0.005878030859662013	12.10815576781778	1.4213249219684212e-08	1.313886530577859e-06	5.881442139549262	0.00014621169472289148	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-ND2
HP:0012429	Aplasia/Hypoplasia of the cerebral white matter	7	0.005143277002204262	11.771818107600621	1.7324987199127917e-07	1.2291182297753715e-05	4.910406340002536	0.0017822214331742888	MT-ND5, MT-ND4, MT-CO2, MT-CO3, MT-ND1, ZEB2, MT-CO1
HP:0000576	Centrocecal scotoma	10	0.0073475385745775165	11.64245746905556	3.655504471132288e-10	5.372024927791121e-08	7.269861980743268	3.760417449453785e-06	OPA1, MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0032036	Reduced contrast sensitivity	9	0.006612784717119765	11.35139603232917	4.290042903356167e-09	4.5496568398788554e-07	6.342021358984054	4.4131671346824895e-05	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007768	Central retinal vessel vascular tortuosity	9	0.006612784717119765	11.35139603232917	4.290042903356167e-09	4.5496568398788554e-07	6.342021358984054	4.4131671346824895e-05	MT-ND5, MT-ATP6, MT-ND4, NEK1, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-ND2
HP:0100611	Multiple glomerular cysts	7	0.005143277002204262	10.594636296840559	5.443353251250006e-07	3.293869111506401e-05	4.482293662385423	0.005599577489560881	MT-ND5, MT-ATP6, MT-ND4, MT-ND3, NPHP3, MT-ND1, MT-ND2
HP:0004309	Ventricular preexcitation	9	0.006612784717119765	10.478211722150004	1.3120150929902785e-08	1.226972660144636e-06	5.911165114274304	0.00013496699261590997	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0011195	EEG with focal sharp slow waves	7	0.005143277002204262	9.631487542582326	1.411039474309897e-06	7.443775934474826e-05	4.128206708067564	0.01451536307222591	CHD2, SCN1A, AKT3, CUX2, CACNA1A, MAPK10, PIK3CA
HP:0031434	Abnormal prosody	7	0.005143277002204262	9.631487542582326	1.411039474309897e-06	7.443775934474826e-05	4.128206708067564	0.01451536307222591	MT-ND5, MT-ATP6, MT-ND4, MT-ND3, MT-ND1, MAPT, MT-ND2
HP:0020120	Retinal nerve fiber edema	9	0.006612784717119765	9.081116825863335	8.133444771671952e-08	6.2735860545905945e-06	5.202484140425959	0.0008366874636618937	MT-ND5, MT-ATP6, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0200125	Mitochondrial respiratory chain defects	10	0.0073475385745775165	7.965891952511698	8.172066990523376e-08	6.2735860545905945e-06	5.202484140425959	0.0008406605313151397	MT-ND5, MT-ATP6, MT-ND4, PPM1B, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007763	Retinal telangiectasia	11	0.008082292432035268	7.927959133690214	1.9160966793669833e-08	1.729025135144575e-06	5.762198693264397	0.00019710886540648157	MT-ND5, MT-ATP6, MT-ND4, SMAD4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, SETD2, MT-ND2
HP:0031546	Cardiac conduction abnormality	14	0.010286554004408524	7.5675973548861135	4.718135890800334e-10	6.648693686118225e-08	7.177263675093877	4.853546390866304e-06	SLC1A3, MT-ND5, MT-ATP6, MT-CO2, MT-ND4, MT-ND3, CREBBP, MT-CO3, EP300, MT-ND1, CACNA1A, SCN2A, MT-CO1, MT-ND2
HP:0001427	Mitochondrial inheritance	10	0.0073475385745775165	6.580519439031403	7.92420770494979e-07	4.702548125065989e-05	4.32766675126006	0.008151632466081849	MT-ND5, MT-ATP6, MT-CO2, MT-ND4, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, MT-ND2
HP:0007270	Atypical absence seizure	14	0.010286554004408524	5.885909053800311	2.703349588375109e-08	2.3567251877639617e-06	5.627691056591472	0.0002780935721561475	CHD2, CACNB4, KCNB1, PPP3CA, SCN1A, KCNT2, CUX2, CACNA1A, HNRNPU, SCN2A, MAPK10, ZEB2, KCNMA1, CEP85L
HP:0009928	Thick nasal alae	14	0.010286554004408524	5.576124366758189	6.075107993749333e-08	4.959891740611063e-06	5.30452780273729	0.0006249463593169939	CHD2, TRPS1, ANTXR1, ARID2, SCN1A, SMARCE1, KANSL1, SOX4, ZSWIM6, RPS6KA3, ANKRD17, ARID1B, SMARCA2, NF1
HP:0007924	Slow decrease in visual acuity	12	0.00881704628949302	5.341833426978432	9.239959522374715e-07	5.318729527653129e-05	4.274192094213055	0.009505146360666869	MT-ND5, MT-ATP6, MT-ND4, BRAF, SMARCE1, MT-CO3, MT-CYB, MT-ND1, MT-ND4L, MT-CO1, PIK3CA, MT-ND2
HP:0011442	Abnormal central motor function	13	0.009551800146950772	5.045064903257409	6.934234670988369e-07	4.147236747701009e-05	4.382241171945996	0.007133247206045735	PTCH1, MT-ND5, MT-CO2, MT-ND4, SMARCE1, MT-CO3, MT-ND1, STAG2, FGFR1, PIK3CA, DISP1, MT-CO1, NF1
HP:0000289	Broad philtrum	14	0.010286554004408524	4.508355870995982	1.2228496938415644e-06	6.65579619076623e-05	4.176799985181991	0.012579454800548173	CDH11, CHD2, SNX14, ARID2, SCN1A, SMARCE1, SPTBN1, ROBO1, SOX4, ARID1B, TBL1XR1, ZNF462, SMARCA2, MAF
HP:0009765	Low hanging columella	18	0.01322556943423953	4.466123029113116	4.412722894924142e-08	3.6607806790390843e-06	5.436426289347448	0.0004539368042008465	CDH11, TRIP12, KAT6A, SETD2, ZMIZ1, ZNF148, LIFR, CREBBP, HIVEP2, TRIO, ITCH, ASXL3, CLCN3, AFF3, ZEB2, PUM1, EP300, SMARCA2
HP:0000574	Thick eyebrow	45	0.03306392358559882	4.338113133374205	1.4113286992383818e-17	1.2646210863117625e-14	13.898039581029447	1.4518338329065233e-13	CDK13, CNOT2, SPECC1L, SOX6, NRCAM, TBCK, NIPBL, AFF4, EP300, ASXL3, NFIX, DYM, VPS13B, BPTF, LEMD3, MBD5, SMARCE1, SMAD4, NOTCH2, SMARCA2, WAC, TRPS1, ARID2, KMT2C, CHST3, SPTBN1, ASCC3, TRIO, NBAS, CLCN3, ZSWIM6, PRKG2, IGF1R, TBL1XR1, RALGAPA1, CDH11, HDAC8, FRMD4A, CREBBP, MEF2C, SOX4, DENND5A, RPS6KA3, ARID1B, BCAS3
HP:0001601	Laryngomalacia	24	0.01763409257898604	4.223775267843412	9.135605311217142e-10	1.160221874524577e-07	6.93545895071486	9.397797183649074e-06	NRCAM, KAT6B, AFF4, SEMA3E, EP300, ASXL3, FBN1, NFIX, KAT6A, VPS13B, SETBP1, KANSL1, RFX7, CHD7, HDAC4, APC, MEIS2, RALGAPA1, KCNMA1, LRP4, JMJD1C, CREBBP, SOX4, SMAD2
HP:0001852	Sandal gap	27	0.019838354151359296	4.169900583304593	1.135459298239467e-10	2.0138741036188615e-08	7.695967682646656	1.1680469800989398e-06	FBXO11, EP300, KAT6A, TRIP12, VPS13B, SETBP1, BPTF, MBD5, SMARCE1, CHST11, RFX7, SMARCA2, CHST3, HERC2, TRIO, NBAS, PRKG2, IGF1R, MEIS2, PIK3CA, ADNP, MTX2, SMOC1, SUZ12, SETD5, CREBBP, ARID1B
HP:0002572	Episodic vomiting	17	0.012490815576781777	4.149972743002062	3.3845904698145703e-07	2.1897661737724835e-05	4.659602257242957	0.0034817282162982483	CDK13, MT-ND2, APTX, MT-ND4, MT-ND5, ADNP, MT-ND3, MT-ATP6, MT-CO2, CDK8, MT-CYB, MT-CO3, MT-ND1, ZEB2, MT-CO1, PIK3CA, NFIX
HP:0002779	Tracheomalacia	15	0.011021307861866276	4.127780375392426	1.7803833018753734e-06	9.203418606227119e-05	4.036050824171418	0.018314803026391966	HDAC4, CSGALNACT1, P4HA1, WDR26, TRIM2, KMT2C, CHST3, CHD6, XYLT1, KANSL1, AFF4, FBN1, PRRX1, SETD2, RALGAPA1
HP:0002174	Postural tremor	18	0.01322556943423953	4.127780375392425	1.678059635765414e-07	1.1987638522999176e-05	4.921266361308115	0.0017262199473118815	KCND3, ATXN2, MT-ND5, MT-ATP6, GRIK2, MT-ND4, FGF14, PPP2R2B, MT-CYB, MT-CO3, MT-ND1, TENM4, MT-ND4L, SCARB2, MT-CO1, PRKN, ATXN1, MT-ND2
HP:0011097	Epileptic spasm	20	0.014695077149155033	4.0905931648033045	4.128872820686628e-08	3.453147537105962e-06	5.461784865849165	0.0004247371470640334	CELF2, CHD2, NSF, UGDH, CASK, WWOX, PPP3CA, SETBP1, SCN1A, AKT3, PLCB1, KCNT2, PPFIBP1, SMARCA2, ST3GAL3, SCN2A, TBL1XR1, PIK3CA, SLC1A2, GRIK2
HP:0012760	Reduced social responsiveness	18	0.01322556943423953	3.9483116634188415	3.491955248064243e-07	2.2337238957632673e-05	4.650970509804581	0.0035921743636836865	CHD2, VPS13C, NLGN1, SCN1A, ADNP, LINGO1, POLA1, MBD5, SPTBN1, CREBBP, ZMYND11, OPHN1, EP300, DNAJC6, LRRK2, PRKN, GRIK2, NF1
HP:0000965	Cutis marmorata	19	0.013960323291697281	3.886063506563139	2.178536666359427e-07	1.5040675628751291e-05	4.822732654751815	0.0022410606686839424	ARHGAP31, SAMHD1, NIPBL, NFIA, SMAD3, FBN1, NFIX, SMAD4, AKT3, FTO, RBPJ, PTEN, PIK3CA, STAG1, POLA1, HDAC8, RPS6KA3, ARID1B, SMAD2
HP:0012547	Abnormal involuntary eye movements	17	0.012490815576781777	3.840273284569072	1.1255262564821301e-06	6.226277215146925e-05	4.205771546948008	0.011578288600431672	SCN3A, CELF2, WWOX, PPP3CA, KCNB1, SLC1A3, SCN1A, CACNA2D1, TBCK, TRAK1, CYFIP2, CACNA1A, NTRK2, FGF12, SLC1A2, SCN2A, CDK19
HP:0032792	Tonic seizure	21	0.015429831006612785	3.8293866133158643	6.684889601798084e-08	5.414760577456448e-06	5.266420741658845	0.000687674593336969	CHD2, NSF, PPP3CA, SCN1A, PLCB1, CACNA1A, FGF12, KCNT2, PPFIBP1, GRIA2, ST3GAL3, CLCN3, SCN2A, TBL1XR1, GRIK2, DMXL2, ADNP, CUX2, DENND5A, HNRNPU, CEP85L
HP:0002308	Chiari malformation	17	0.012490815576781777	3.7837986774430563	1.409049857030609e-06	7.443775934474826e-05	4.128206708067564	0.014494895879273873	PTCH1, SETD2, CLIP2, LEMD3, GNAQ, GTF2I, CWC27, NOTCH2, FBN1, EP300, SIK3, CREBBP, FGFR1, PIK3CA, TBL1XR1, SMARCA2, PPP1R12A
HP:0001642	Pulmonic stenosis	33	0.024246877296105803	3.5422796129254146	1.2211767361683063e-10	2.1291940821971807e-08	7.6717847495595315	1.2562245084963366e-06	ARHGAP31, CLIP2, TBCK, NIPBL, HIVEP2, EP300, SMAD3, FBN1, NF1, KAT6A, BPTF, SOS1, SMAD4, GTF2I, KANSL1, NOTCH2, FRYL, ZEB2, WAC, CHD7, CHST3, SPRED2, SMC5, LRP4, BRAF, SETD5, ADAMTS17, CREBBP, NPHP3, PGAP1, NRXN1, SMAD2, SPRED1
