Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5719083459972545	-3.123065101431351	<0.0001	<0.0001	PL21
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.497385618106909	-2.7682394532245453	<0.0001	<0.0001	U937
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.4540969559018397	-2.6255106726449555	<0.0001	<0.0001	U937
NMH002_NPC_6H:BRD-K35960502-001-16-8:10	DB06803	Niclosamide	0.48156450625588487	2.625456670030471	<0.0001	<0.0001	NPC
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.42631842488174027	-2.6195770697998095	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.46356109257710904	-2.5985688462035674	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.3879418931362275	2.59314345761124	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.45694606618691025	-2.5866912673063687	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.4562107437539542	-2.586077377967232	<0.0001	<0.0001	NPC.TAK
CPC014_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.4563189346146306	-2.5740530879031187	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4537166404443394	-2.5532033851408107	<0.0001	<0.0001	NOMO1
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.49731191168828637	2.5396740443912695	<0.0001	<0.0001	NPC
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.42799258126451617	-2.5201817079999533	<0.0001	<0.0001	NEU
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4216356508696711	-2.5139652199345295	<0.0001	<0.0001	THP1
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3774015408815959	2.5012633896382823	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.40969653976339593	-2.496976392979932	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.45952430655715776	-2.4816331684113835	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.45268295990315727	-2.4790199583109978	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.456179434527055	-2.4758939331977796	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.396588714358211	2.4672686755986897	<0.0001	<0.0001	NEU
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.45562842745653964	-2.4666014778126892	<0.0001	<0.0001	NEU
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.42285043118873367	-2.463941886282246	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.43721953296959787	-2.4634742752128513	<0.0001	<0.0001	NEU
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.3933077472374356	2.4583135782104315	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.3977557681810835	-2.456808753748746	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K68202742-001-06-6:10	DB04297	Trichostatin A	-0.4663608094276615	-2.4477985418356756	<0.0001	<0.0001	NEU
LJP009_NPC_24H:K10	DB11962	GSK-1059615	0.43281739736774055	2.4314892916077095	<0.0001	<0.0001	NPC
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.4058784590102285	2.428034519683747	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.3863503814879936	-2.4257290775348506	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K81418486:10	DB02546	Vorinostat	-0.43490569639016613	-2.422526673066973	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.41767135754220563	2.4189427151929768	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.4298481741712274	-2.4168434343311116	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A03	DB02546	Vorinostat	-0.42635775668561765	-2.3976302724117953	<0.0001	<0.0001	NEU
LJP008_NEU_24H:L24	DB05015	Belinostat	-0.41298323932797015	-2.3941097541829737	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:D24	DB06616	Bosutinib	0.4167139302787431	2.3888919389667307	<0.0001	<0.0001	JURKAT
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.40109969457561123	-2.38640469040486	<0.0001	<0.0001	NPC.CAS9
CPC016_NEU_24H:BRD-K81418486:10	DB02546	Vorinostat	-0.4367127379371687	-2.3780911485616487	<0.0001	<0.0001	NEU
LJP009_NEU_24H:N11	DB08896	Regorafenib	0.4211388405429009	2.375309830756187	<0.0001	<0.0001	NEU
