ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB04599	DB01388	Aniracetam	Mibefradil	1.193939393939394	N	C	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB04599	DB07996	Aniracetam	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.1666666666666665	N		False	False
DB04599	DB07997	Aniracetam	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	1.1666666666666665	N		False	False
DB04599	DB02659	Aniracetam	Cholic Acid	1.1609523809523807	N	A	False	False
DB00694	DB00622	Daunorubicin	Nicardipine	1.1529411764705884	L	C	False	False
DB00380	DB00622	Dexrazoxane	Nicardipine	1.1529411764705884	V	C	False	False
DB00773	DB00622	Etoposide	Nicardipine	1.1529411764705884	L	C	False	False
DB07863	DB04599	2-chloro-5-nitro-N-phenylbenzamide	Aniracetam	1.1428571428571428		N	False	False
DB08073	DB04599	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	Aniracetam	1.125		N	False	False
DB07859	DB04599	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Aniracetam	1.125		N	False	False
DB08756	DB04599	Y-27632	Aniracetam	1.125		N	False	False
DB04599	DB07995	Aniracetam	H-89	1.119047619047619	N		False	False
DB04599	DB00459	Aniracetam	Acitretin	1.1103896103896103	N	D	False	False
DB04599	DB00393	Aniracetam	Nimodipine	1.1071428571428572	N	C	False	False
DB04599	DB03756	Aniracetam	Doconexent	1.1	N		False	False
DB00694	DB02659	Daunorubicin	Cholic Acid	1.098343685300207	L	A	False	False
DB00380	DB02659	Dexrazoxane	Cholic Acid	1.098343685300207	V	A	False	False
DB00773	DB02659	Etoposide	Cholic Acid	1.098343685300207	L	A	False	False
DB04149	DB00622	(R)-Rolipram	Nicardipine	1.0941176470588234		C	False	False
DB04149	DB00281	(R)-Rolipram	Lidocaine	1.0873015873015874		C, S, R, N, D	False	False
DB04149	DB00818	(R)-Rolipram	Propofol	1.0857142857142856		N	False	False
DB00773	DB00818	Etoposide	Propofol	1.0857142857142856	L	N	False	False
DB00380	DB00818	Dexrazoxane	Propofol	1.0857142857142856	V	N	False	False
DB00694	DB00818	Daunorubicin	Propofol	1.0857142857142856	L	N	False	False
DB00694	DB00393	Daunorubicin	Nimodipine	1.0833333333333335	L	C	False	False
DB00773	DB00393	Etoposide	Nimodipine	1.0833333333333335	L	C	False	False
DB00380	DB00393	Dexrazoxane	Nimodipine	1.0833333333333335	V	C	False	False
DB15399	DB02659	BMS-754807	Cholic Acid	1.0548654244306417		A	False	False
DB04599	DB01645	Aniracetam	Genistein	1.0407239819004526	N		False	False
DB00380	DB01268	Dexrazoxane	Sunitinib	1.0375	V	L	True	False
DB00773	DB01268	Etoposide	Sunitinib	1.0375	L	L	False	False
DB00694	DB01268	Daunorubicin	Sunitinib	1.0375	L	L	False	False
DB00380	DB01388	Dexrazoxane	Mibefradil	1.0349650349650348	V	C	False	False
DB00694	DB01388	Daunorubicin	Mibefradil	1.0349650349650348	L	C	False	False
DB00773	DB01388	Etoposide	Mibefradil	1.0349650349650348	L	C	False	False
DB00773	DB06589	Etoposide	Pazopanib	1.0333333333333334	L	L	False	False
DB00694	DB06589	Daunorubicin	Pazopanib	1.0333333333333334	L	L	False	False
DB00380	DB06589	Dexrazoxane	Pazopanib	1.0333333333333334	V	L	True	False
DB04599	DB06589	Aniracetam	Pazopanib	1.0214285714285716	N	L	False	False
DB02659	DB07996	Cholic Acid	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.0113871635610767	A		False	False
DB02659	DB07997	Cholic Acid	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	1.0113871635610767	A		False	False
DB04599	DB01234	Aniracetam	Dexamethasone	1.011111111111111	N	C, A, S, R, H, D	False	False
DB04599	DB14649	Aniracetam	Dexamethasone acetate	1.011111111111111	N		False	False
DB15399	DB04149	BMS-754807	(R)-Rolipram	1.0			False	False
DB15399	DB08073	BMS-754807	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	1.0			False	False
DB15399	DB00694	BMS-754807	Daunorubicin	1.0		L	False	False
DB15399	DB07080	BMS-754807	TO-901317	1.0			False	False
DB15399	DB04599	BMS-754807	Aniracetam	1.0		N	False	False
DB04149	DB07080	(R)-Rolipram	TO-901317	1.0			False	False
DB07863	DB01092	2-chloro-5-nitro-N-phenylbenzamide	Ouabain	1.0		C	False	False
DB07863	DB00619	2-chloro-5-nitro-N-phenylbenzamide	Imatinib	1.0		L	False	False
DB08073	DB08877	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	Ruxolitinib	1.0		L	False	False
DB07557	DB04599	3,20-Pregnanedione	Aniracetam	1.0		N	False	False
DB01092	DB07594	Ouabain	CCT-018159	1.0	C		False	False
DB08073	DB08895	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	Tofacitinib	1.0		L	False	False
DB08073	DB07080	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	TO-901317	1.0			False	False
