# Reference distribution mean: 0.8858355401355335 and standard deviation: 1.2294170720741056
# Threshold: 0.65
# 11.39% of reference distribution below threshold, 13.97% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB09149	-7.859026979751538	-7.113015361934032	Florbetapir (18F)
DB09151	-7.859026979751538	-7.113015361934032	Flutemetamol (18F)
DB02235	-7.859026979751538	-7.113015361934032	L-methionine (R)-S-oxide
DB00746	-7.859026979751538	-7.113015361934032	Deferoxamine
DB03754	-7.859026979751538	-7.113015361934032	Tromethamine
DB05846	-7.859026979751538	-7.113015361934032	Mito-4509
DB05938	-7.859026979751538	-7.113015361934032	Edonerpic
DB05150	-7.859026979751538	-7.113015361934032	CAD106
DB09148	-7.859026979751538	-7.113015361934032	Florbetaben (18F)
DB12274	-7.859026979751538	-7.113015361934032	Aducanumab
DB05088	-7.859026979751538	-7.113015361934032	Tetrathiomolybdate
DB06782	-7.859026979751538	-7.113015361934032	Dimercaprol
DB12202	-7.445417556701687	-6.776588096976612	Zalutumumab
DB09330	-7.445417556701687	-6.776588096976612	Osimertinib
DB05101	-7.445417556701687	-6.776588096976612	Matuzumab
DB13164	-7.445417556701687	-6.776588096976612	Olmutinib
DB11737	-7.445417556701687	-6.776588096976612	Icotinib
DB05374	-7.445417556701687	-6.776588096976612	Rindopepimut
DB05524	-7.445417556701687	-6.776588096976612	Pelitinib
DB05424	-7.445417556701687	-6.776588096976612	Canertinib
DB07602	-7.445417556701687	-6.776588096976612	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB01269	-7.445417556701687	-6.776588096976612	Panitumumab
DB11963	-7.445417556701687	-6.776588096976612	Dacomitinib
DB00317	-7.445417556701687	-6.776588096976612	Gefitinib
DB16640	-7.445417556701687	-6.776588096976612	Almonertinib
DB11828	-7.445417556701687	-6.776588096976612	Neratinib
DB09559	-7.445417556701687	-6.776588096976612	Necitumumab
DB16390	-7.445417556701687	-6.776588096976612	Mobocertinib
DB11942	-7.247792581767846	-6.61584120365388	Selinexor
DB04254	-7.00397413672268	-6.417520836560044	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB02550	-7.00397413672268	-6.417520836560044	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB04054	-7.00397413672268	-6.417520836560044	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB03899	-7.00397413672268	-6.417520836560044	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB03093	-7.00397413672268	-6.417520836560044	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB03137	-7.00397413672268	-6.417520836560044	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB02840	-7.00397413672268	-6.417520836560044	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB07495	-7.00397413672268	-6.417520836560044	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB07502	-7.00397413672268	-6.417520836560044	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB08557	-7.00397413672268	-6.417520836560044	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB08436	-7.00397413672268	-6.417520836560044	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB08442	-7.00397413672268	-6.417520836560044	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB08443	-7.00397413672268	-6.417520836560044	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB12442	-7.00397413672268	-6.417520836560044	Alvespimycin
DB03749	-7.00397413672268	-6.417520836560044	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB03809	-7.00397413672268	-6.417520836560044	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB03504	-7.00397413672268	-6.417520836560044	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB06956	-7.00397413672268	-6.417520836560044	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB06957	-7.00397413672268	-6.417520836560044	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06958	-7.00397413672268	-6.417520836560044	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB06961	-7.00397413672268	-6.417520836560044	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB07601	-7.00397413672268	-6.417520836560044	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB08194	-7.00397413672268	-6.417520836560044	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB08197	-7.00397413672268	-6.417520836560044	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB07100	-7.00397413672268	-6.417520836560044	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06964	-7.00397413672268	-6.417520836560044	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB06969	-7.00397413672268	-6.417520836560044	2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide
DB08787	-7.00397413672268	-6.417520836560044	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08788	-7.00397413672268	-6.417520836560044	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08789	-7.00397413672268	-6.417520836560044	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB02359	-7.00397413672268	-6.417520836560044	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB08786	-7.00397413672268	-6.417520836560044	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB04588	-7.00397413672268	-6.417520836560044	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB04505	-7.00397413672268	-6.417520836560044	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB07324	-7.00397413672268	-6.417520836560044	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07325	-7.00397413672268	-6.417520836560044	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
DB07319	-7.00397413672268	-6.417520836560044	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB07317	-7.00397413672268	-6.417520836560044	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB15566	-6.9411900550683745	-6.366452665245012	Prednisolone acetate
DB00180	-6.9411900550683745	-6.366452665245012	Flunisolide
DB01260	-6.9411900550683745	-6.366452665245012	Desonide
DB00769	-6.9411900550683745	-6.366452665245012	Hydrocortamate
DB00896	-6.9411900550683745	-6.366452665245012	Rimexolone
DB14596	-6.9411900550683745	-6.366452665245012	Loteprednol etabonate
DB01410	-6.9411900550683745	-6.366452665245012	Ciclesonide
DB01384	-6.9411900550683745	-6.366452665245012	Paramethasone
DB01130	-6.9411900550683745	-6.366452665245012	Prednicarbate
DB00663	-6.9411900550683745	-6.366452665245012	Flumethasone
DB00596	-6.9411900550683745	-6.366452665245012	Ulobetasol
DB05423	-6.9411900550683745	-6.366452665245012	ORG-34517
