dataset,cell_type,N,iGSEA_tp,L2S2_tp,L2S2_dir_tp,best_single_tp,best_tool,consensus_tp,consensus_beats_best,consensus_ties_best,consensus_p
HL_cdHD_E_CTRL,interneuronOPN3,20,0,0,,0,iGSEA,0,False,True,
HL_cdHD_E_CTRL,microglia,20,0,3,,3,L2S2,1,False,False,0.2845349277071383
HL_cdHD_E_CTRL,microglia,50,0,3,,3,L2S2,2,False,False,0.18732702084121614
HL_puHD_E_CTRL,ast,20,1,2,,2,L2S2,2,False,True,0.0609436214653929
HL_puHD_E_CTRL,ast,50,1,4,,4,L2S2,3,False,False,0.074434116678149
HL_puHD_E_CTRL,d1msn,20,0,1,,1,L2S2,1,False,True,0.25675407561674257
HL_puHD_E_CTRL,d1msn,50,0,1,,1,L2S2,1,False,True,0.5375854378869582
HL_puHD_E_CTRL,d2msn,20,0,1,,1,L2S2,1,False,True,0.2589544710097161
HL_puHD_E_CTRL,d2msn,50,0,1,,1,L2S2,1,False,True,0.5412818162259481
HL_puHD_E_CTRL,hybridMSN,20,0,1,,1,L2S2,1,False,True,0.30519413635811454
HL_puHD_E_CTRL,hybridMSN,50,1,2,,2,L2S2,2,False,True,0.21746715318390966
HL_puHD_E_CTRL,interneuronSST,20,0,1,,1,L2S2,0,False,False,1.0
HL_puHD_E_CTRL,microglia,20,0,2,,2,L2S2,1,False,False,0.285205074127738
HL_puHD_E_CTRL,microglia,50,0,3,,3,L2S2,1,False,False,0.5841767609868694
HL_puHD_E_CTRL,pericyte,20,1,0,,1,iGSEA,1,False,True,0.5405405405405405
HL_puHD_E_CTRL,tcell,20,1,0,,1,iGSEA,1,False,True,0.3076923076923077
RL_cdHDJ_E_CTRL,interneuronCALB2,20,0,0,0.0,0,iGSEA,0,False,True,
RL_cdHDJ_E_CTRL,interneuronOPN3,20,0,0,0.0,0,iGSEA,0,False,True,1.0
RL_cdHD_E_CTRL,ast,20,0,2,1.0,2,L2S2,1,False,False,0.5099468106463098
RL_cdHD_E_CTRL,endothelia,20,1,0,1.0,1,iGSEA,0,False,False,1.0
RL_cdHD_E_CTRL,ependymal,20,0,2,0.0,2,L2S2,2,False,True,0.04456327985739751
RL_cdHD_E_CTRL,hybridMSN,20,0,1,,1,L2S2,0,False,False,1.0
RL_cdHD_E_CTRL,interneuronCALB2,20,0,0,0.0,0,iGSEA,0,False,True,1.0
RL_cdHD_E_CTRL,interneuronOPN3,20,0,0,0.0,0,iGSEA,0,False,True,1.0
